,Totales Territoriales,Comunidades y Ciudades Autónomas,Provincias,Viajeros y pernoctaciones,Periodo,Total,Año,Mes
13319,Total Nacional,"03 Asturias, Principado de",,Viajero,2021M05,57.485,2021,5
13320,Total Nacional,"03 Asturias, Principado de",,Viajero,2021M04,24.039,2021,4
13321,Total Nacional,"03 Asturias, Principado de",,Viajero,2021M03,22.056,2021,3
13322,Total Nacional,"03 Asturias, Principado de",,Viajero,2021M02,14.992,2021,2
13323,Total Nacional,"03 Asturias, Principado de",,Viajero,2021M01,15.411,2021,1
13324,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M12,14.588,2020,12
13325,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M11,11.924,2020,11
13326,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M10,63.277,2020,10
13327,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M09,126.640,2020,9
13328,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M08,234.956,2020,8
13329,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M07,177.341,2020,7
13330,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M06,28.131,2020,6
13331,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M05,3.657,2020,5
13332,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M04,0,2020,4
13333,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M03,32.867,2020,3
13334,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M02,84.317,2020,2
13335,Total Nacional,"03 Asturias, Principado de",,Viajero,2020M01,68.357,2020,1
13336,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M12,89.067,2019,12
13337,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M11,94.853,2019,11
13338,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M10,147.078,2019,10
13339,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M09,213.469,2019,9
13340,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M08,287.007,2019,8
13341,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M07,233.637,2019,7
13342,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M06,182.535,2019,6
13343,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M05,154.869,2019,5
13344,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M04,149.855,2019,4
13345,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M03,101.316,2019,3
13346,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M02,71.163,2019,2
13347,Total Nacional,"03 Asturias, Principado de",,Viajero,2019M01,56.785,2019,1
13348,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M12,87.687,2018,12
13349,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M11,98.195,2018,11
13350,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M10,147.816,2018,10
13351,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M09,211.921,2018,9
13352,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M08,281.174,2018,8
13353,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M07,220.611,2018,7
13354,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M06,179.118,2018,6
13355,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M05,152.586,2018,5
13356,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M04,133.726,2018,4
13357,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M03,117.171,2018,3
13358,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M02,73.544,2018,2
13359,Total Nacional,"03 Asturias, Principado de",,Viajero,2018M01,59.379,2018,1
13360,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M12,88.787,2017,12
13361,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M11,88.611,2017,11
13362,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M10,150.705,2017,10
13363,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M09,205.658,2017,9
13364,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M08,281.467,2017,8
13365,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M07,235.571,2017,7
13366,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M06,165.407,2017,6
13367,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M05,147.415,2017,5
13368,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M04,162.162,2017,4
13369,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M03,95.636,2017,3
13370,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M02,75.028,2017,2
13371,Total Nacional,"03 Asturias, Principado de",,Viajero,2017M01,63.221,2017,1
13372,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M12,84.950,2016,12
13373,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M11,84.842,2016,11
13374,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M10,145.994,2016,10
13375,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M09,201.929,2016,9
13376,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M08,274.810,2016,8
13377,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M07,234.591,2016,7
13378,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M06,163.765,2016,6
13379,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M05,137.340,2016,5
13380,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M04,113.424,2016,4
13381,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M03,121.754,2016,3
13382,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M02,74.436,2016,2
13383,Total Nacional,"03 Asturias, Principado de",,Viajero,2016M01,63.319,2016,1
13384,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M12,83.419,2015,12
13385,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M11,89.992,2015,11
13386,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M10,134.966,2015,10
13387,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M09,194.143,2015,9
13388,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M08,279.953,2015,8
13389,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M07,227.425,2015,7
13390,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M06,168.303,2015,6
13391,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M05,130.942,2015,5
13392,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M04,136.507,2015,4
13393,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M03,95.350,2015,3
13394,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M02,65.323,2015,2
13395,Total Nacional,"03 Asturias, Principado de",,Viajero,2015M01,58.998,2015,1
13396,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M12,75.661,2014,12
13397,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M11,77.622,2014,11
13398,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M10,123.199,2014,10
13399,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M09,184.822,2014,9
13400,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M08,259.387,2014,8
13401,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M07,192.717,2014,7
13402,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M06,144.319,2014,6
13403,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M05,129.977,2014,5
13404,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M04,118.997,2014,4
13405,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M03,76.295,2014,3
13406,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M02,58.772,2014,2
13407,Total Nacional,"03 Asturias, Principado de",,Viajero,2014M01,51.938,2014,1
13408,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M12,65.989,2013,12
13409,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M11,76.884,2013,11
13410,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M10,113.467,2013,10
13411,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M09,162.229,2013,9
13412,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M08,250.088,2013,8
13413,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M07,191.239,2013,7
13414,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M06,136.050,2013,6
13415,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M05,118.607,2013,5
13416,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M04,89.383,2013,4
13417,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M03,101.425,2013,3
13418,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M02,56.908,2013,2
13419,Total Nacional,"03 Asturias, Principado de",,Viajero,2013M01,45.766,2013,1
14220,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2025M04,159.008,2025,4
14221,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2025M03,111.479,2025,3
14222,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2025M02,87.532,2025,2
14223,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2025M01,76.688,2025,1
14224,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M12,100.710,2024,12
14225,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M11,115.968,2024,11
14226,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M10,173.419,2024,10
14227,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M09,231.263,2024,9
14228,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M08,296.551,2024,8
14229,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M07,259.286,2024,7
14230,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M06,201.598,2024,6
14231,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M05,184.260,2024,5
14232,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M04,145.049,2024,4
14233,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M03,139.515,2024,3
14234,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M02,87.370,2024,2
14235,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2024M01,79.730,2024,1
14236,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M12,99.718,2023,12
14237,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M11,104.376,2023,11
14238,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M10,179.554,2023,10
14239,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M09,236.526,2023,9
14240,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M08,275.162,2023,8
14241,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M07,256.240,2023,7
14242,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M06,203.011,2023,6
14243,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M05,165.341,2023,5
14244,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M04,172.835,2023,4
14245,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M03,105.354,2023,3
14246,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M02,81.250,2023,2
14247,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2023M01,68.071,2023,1
14248,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M12,85.895,2022,12
14249,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M11,94.412,2022,11
14250,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M10,161.014,2022,10
14251,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M09,201.227,2022,9
14252,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M08,274.811,2022,8
14253,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M07,242.167,2022,7
14254,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M06,177.752,2022,6
14255,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M05,143.685,2022,5
14256,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M04,138.486,2022,4
14257,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M03,84.443,2022,3
14258,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M02,71.141,2022,2
14259,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2022M01,55.447,2022,1
14260,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M12,78.371,2021,12
14261,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M11,86.192,2021,11
14262,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M10,160.175,2021,10
14263,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M09,195.792,2021,9
14264,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M08,279.921,2021,8
14265,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M07,226.256,2021,7
14266,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M06,115.496,2021,6
14267,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M05,57.485,2021,5
14268,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M04,24.039,2021,4
14269,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M03,22.056,2021,3
14270,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M02,14.992,2021,2
14271,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2021M01,15.411,2021,1
14272,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M12,14.588,2020,12
14273,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M11,11.924,2020,11
14274,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M10,63.277,2020,10
14275,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M09,126.640,2020,9
14276,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M08,234.956,2020,8
14277,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M07,177.341,2020,7
14278,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M06,28.131,2020,6
14279,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M05,3.657,2020,5
14280,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M04,0,2020,4
14281,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M03,32.867,2020,3
14282,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M02,84.317,2020,2
14283,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2020M01,68.357,2020,1
14284,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M12,89.067,2019,12
14285,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M11,94.853,2019,11
14286,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M10,147.078,2019,10
14287,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M09,213.469,2019,9
14288,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M08,287.007,2019,8
14289,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M07,233.637,2019,7
14290,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M06,182.535,2019,6
14291,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M05,154.869,2019,5
14292,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M04,149.855,2019,4
14293,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M03,101.316,2019,3
14294,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M02,71.163,2019,2
14295,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2019M01,56.785,2019,1
14296,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M12,87.687,2018,12
14297,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M11,98.195,2018,11
14298,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M10,147.816,2018,10
14299,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M09,211.921,2018,9
14300,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M08,281.174,2018,8
14301,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M07,220.611,2018,7
14302,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M06,179.118,2018,6
14303,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M05,152.586,2018,5
14304,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M04,133.726,2018,4
14305,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M03,117.171,2018,3
14306,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M02,73.544,2018,2
14307,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2018M01,59.379,2018,1
14308,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M12,88.787,2017,12
14309,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M11,88.611,2017,11
14310,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M10,150.705,2017,10
14311,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M09,205.658,2017,9
14312,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M08,281.467,2017,8
14313,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M07,235.571,2017,7
14314,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M06,165.407,2017,6
14315,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M05,147.415,2017,5
14316,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M04,162.162,2017,4
14317,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M03,95.636,2017,3
14318,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M02,75.028,2017,2
14319,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2017M01,63.221,2017,1
14320,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M12,84.950,2016,12
14321,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M11,84.842,2016,11
14322,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M10,145.994,2016,10
14323,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M09,201.929,2016,9
14324,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M08,274.810,2016,8
14325,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M07,234.591,2016,7
14326,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M06,163.765,2016,6
14327,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M05,137.340,2016,5
14328,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M04,113.424,2016,4
14329,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M03,121.754,2016,3
14330,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M02,74.436,2016,2
14331,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2016M01,63.319,2016,1
14332,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M12,83.419,2015,12
14333,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M11,89.992,2015,11
14334,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M10,134.966,2015,10
14335,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M09,194.143,2015,9
14336,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M08,279.953,2015,8
14337,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M07,227.425,2015,7
14338,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M06,168.303,2015,6
14339,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M05,130.942,2015,5
14340,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M04,136.507,2015,4
14341,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M03,95.350,2015,3
14342,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M02,65.323,2015,2
14343,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2015M01,58.998,2015,1
14344,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M12,75.661,2014,12
14345,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M11,77.622,2014,11
14346,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M10,123.199,2014,10
14347,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M09,184.822,2014,9
14348,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M08,259.387,2014,8
14349,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M07,192.717,2014,7
14350,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M06,144.319,2014,6
14351,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M05,129.977,2014,5
14352,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M04,118.997,2014,4
14353,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M03,76.295,2014,3
14354,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M02,58.772,2014,2
14355,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2014M01,51.938,2014,1
14356,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M12,65.989,2013,12
14357,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M11,76.884,2013,11
14358,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M10,113.467,2013,10
14359,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M09,162.229,2013,9
14360,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M08,250.088,2013,8
14361,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M07,191.239,2013,7
14362,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M06,136.050,2013,6
14363,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M05,118.607,2013,5
14364,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M04,89.383,2013,4
14365,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M03,101.425,2013,3
14366,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M02,56.908,2013,2
14367,Total Nacional,"03 Asturias, Principado de",33 Asturias,Viajero,2013M01,45.766,2013,1
15168,Total Nacional,"04 Balears, Illes",,Viajero,2025M04,803.616,2025,4
15169,Total Nacional,"04 Balears, Illes",,Viajero,2025M03,333.877,2025,3
15170,Total Nacional,"04 Balears, Illes",,Viajero,2025M02,167.349,2025,2
15171,Total Nacional,"04 Balears, Illes",,Viajero,2025M01,67.535,2025,1
15172,Total Nacional,"04 Balears, Illes",,Viajero,2024M12,100.207,2024,12
15173,Total Nacional,"04 Balears, Illes",,Viajero,2024M11,120.469,2024,11
15174,Total Nacional,"04 Balears, Illes",,Viajero,2024M10,1.372.357,2024,10
15175,Total Nacional,"04 Balears, Illes",,Viajero,2024M09,1.759.286,2024,9
15176,Total Nacional,"04 Balears, Illes",,Viajero,2024M08,2.067.814,2024,8
15177,Total Nacional,"04 Balears, Illes",,Viajero,2024M07,2.029.972,2024,7
15178,Total Nacional,"04 Balears, Illes",,Viajero,2024M06,1.904.461,2024,6
15179,Total Nacional,"04 Balears, Illes",,Viajero,2024M05,1.738.780,2024,5
15180,Total Nacional,"04 Balears, Illes",,Viajero,2024M04,761.737,2024,4
15181,Total Nacional,"04 Balears, Illes",,Viajero,2024M03,375.281,2024,3
15182,Total Nacional,"04 Balears, Illes",,Viajero,2024M02,148.843,2024,2
15183,Total Nacional,"04 Balears, Illes",,Viajero,2024M01,69.271,2024,1
15184,Total Nacional,"04 Balears, Illes",,Viajero,2023M12,87.937,2023,12
15185,Total Nacional,"04 Balears, Illes",,Viajero,2023M11,113.029,2023,11
15186,Total Nacional,"04 Balears, Illes",,Viajero,2023M10,1.189.276,2023,10
15187,Total Nacional,"04 Balears, Illes",,Viajero,2023M09,1.691.128,2023,9
15188,Total Nacional,"04 Balears, Illes",,Viajero,2023M08,1.979.182,2023,8
15189,Total Nacional,"04 Balears, Illes",,Viajero,2023M07,1.972.703,2023,7
15190,Total Nacional,"04 Balears, Illes",,Viajero,2023M06,1.814.007,2023,6
15191,Total Nacional,"04 Balears, Illes",,Viajero,2023M05,1.492.772,2023,5
15192,Total Nacional,"04 Balears, Illes",,Viajero,2023M04,766.096,2023,4
15193,Total Nacional,"04 Balears, Illes",,Viajero,2023M03,230.407,2023,3
15194,Total Nacional,"04 Balears, Illes",,Viajero,2023M02,124.782,2023,2
15195,Total Nacional,"04 Balears, Illes",,Viajero,2023M01,75.909,2023,1
15196,Total Nacional,"04 Balears, Illes",,Viajero,2022M12,80.696,2022,12
15197,Total Nacional,"04 Balears, Illes",,Viajero,2022M11,111.194,2022,11
15198,Total Nacional,"04 Balears, Illes",,Viajero,2022M10,1.072.128,2022,10
15199,Total Nacional,"04 Balears, Illes",,Viajero,2022M09,1.618.513,2022,9
15200,Total Nacional,"04 Balears, Illes",,Viajero,2022M08,1.954.444,2022,8
15201,Total Nacional,"04 Balears, Illes",,Viajero,2022M07,1.904.858,2022,7
15202,Total Nacional,"04 Balears, Illes",,Viajero,2022M06,1.742.424,2022,6
15203,Total Nacional,"04 Balears, Illes",,Viajero,2022M05,1.378.649,2022,5
15204,Total Nacional,"04 Balears, Illes",,Viajero,2022M04,627.500,2022,4
15205,Total Nacional,"04 Balears, Illes",,Viajero,2022M03,202.457,2022,3
15206,Total Nacional,"04 Balears, Illes",,Viajero,2022M02,92.624,2022,2
15207,Total Nacional,"04 Balears, Illes",,Viajero,2022M01,42.131,2022,1
15208,Total Nacional,"04 Balears, Illes",,Viajero,2021M12,57.392,2021,12
15209,Total Nacional,"04 Balears, Illes",,Viajero,2021M11,88.317,2021,11
15210,Total Nacional,"04 Balears, Illes",,Viajero,2021M10,761.539,2021,10
15211,Total Nacional,"04 Balears, Illes",,Viajero,2021M09,1.004.077,2021,9
15212,Total Nacional,"04 Balears, Illes",,Viajero,2021M08,1.176.822,2021,8
15213,Total Nacional,"04 Balears, Illes",,Viajero,2021M07,1.055.103,2021,7
15214,Total Nacional,"04 Balears, Illes",,Viajero,2021M06,587.951,2021,6
15215,Total Nacional,"04 Balears, Illes",,Viajero,2021M05,220.486,2021,5
15216,Total Nacional,"04 Balears, Illes",,Viajero,2021M04,73.347,2021,4
15217,Total Nacional,"04 Balears, Illes",,Viajero,2021M03,31.237,2021,3
15218,Total Nacional,"04 Balears, Illes",,Viajero,2021M02,14.724,2021,2
15219,Total Nacional,"04 Balears, Illes",,Viajero,2021M01,11.383,2021,1
15220,Total Nacional,"04 Balears, Illes",,Viajero,2020M12,18.997,2020,12
15221,Total Nacional,"04 Balears, Illes",,Viajero,2020M11,23.073,2020,11
15222,Total Nacional,"04 Balears, Illes",,Viajero,2020M10,65.438,2020,10
15223,Total Nacional,"04 Balears, Illes",,Viajero,2020M09,162.409,2020,9
