Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M11;602.651
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M10;1.041.370
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M09;1.034.823
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M08;960.421
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M07;871.970
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M06;912.234
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M05;1.086.401
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M04;973.352
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M03;750.108
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M02;553.058
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2024M01;471.847
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M12;459.144
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M11;565.192
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M10;992.345
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M09;984.701
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M08;915.299
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M07;834.062
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M06;841.096
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M05;963.125
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M04;872.429
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M03;614.154
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M02;423.258
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Viajero;2023M01;383.406
Encuesta de Ocupación Hotelera;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;Pernoctaciones;2025M01;1.295.152
