Tipo de alojamiento;Viajeros y pernoctaciones;Total Nacional;Comunidades y Ciudades Autónomas;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M10;961.581
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M09;989.249
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M08;845.787
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M07;936.220
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M06;1.010.384
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M05;951.054
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M04;1.028.904
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M03;975.377
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M02;903.932
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en España;2023M01;920.267
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M12;1.036.620
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M11;1.207.176
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M10;1.513.433
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M09;1.413.773
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M08;1.218.321
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M07;1.308.779
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M06;1.340.056
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M05;1.475.264
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M04;1.400.156
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M03;1.217.395
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M02;979.198
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2024M01;935.087
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M12;971.683
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M11;1.101.546
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M10;1.374.053
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M09;1.312.414
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M08;1.144.964
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M07;1.253.390
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M06;1.229.297
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M05;1.273.608
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M04;1.218.991
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M03;1.064.832
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M02;801.952
Encuesta de Ocupación Hotelera;Pernoctaciones;Total Nacional;13 Madrid, Comunidad de;Total;Residentes en el Extranjero;2023M01;816.381
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M12;117.619
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M11;102.962
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M10;181.907
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M09;429.992
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M08;1.074.106
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M07;867.810
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M06;446.605
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M05;304.112
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M04;239.910
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M03;222.759
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M02;113.638
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2024M01;81.796
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M12;72.632
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M11;100.338
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M10;196.346
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M09;382.371
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M08;1.020.149
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M07;789.241
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M06;404.638
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M05;209.014
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M04;341.813
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M03;119.827
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M02;108.771
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en España;2023M01;56.810
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M12;254.467
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M11;210.656
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M10;228.743
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M09;199.332
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M08;140.731
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M07;128.575
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M06;131.053
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M05;195.893
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M04;206.517
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M03;253.909
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M02;286.358
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2024M01;291.259
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M12;235.751
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M11;195.309
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M10;181.815
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M09;151.522
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M08;132.569
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M07;147.712
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M06;105.149
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M05;188.302
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M04;200.988
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M03;237.548
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M02;268.405
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;01 Andalucía;Total;Residentes en el Extranjero;2023M01;281.305
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M12;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M11;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M10;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M09;16.028
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M08;33.850
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M07;22.527
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M06;20.052
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M05;7.587
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M04;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M03;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M02;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2024M01;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M12;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M11;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M10;525
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M09;12.575
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M08;34.342
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M07;22.138
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M06;18.238
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M05;7.651
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M04;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M03;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M02;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en España;2023M01;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M12;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M11;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M10;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M09;25.268
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M08;38.533
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M07;42.133
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M06;18.591
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M05;15.285
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M04;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M03;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M02;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2024M01;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M12;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M11;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M10;10.478
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M09;24.781
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M08;41.063
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M07;43.325
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M06;21.572
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M05;13.346
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M04;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M03;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M02;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;04 Balears, Illes;Total;Residentes en el Extranjero;2023M01;.
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M12;119.640
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M11;164.580
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M10;368.225
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M09;1.008.931
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M08;2.601.125
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M07;1.921.210
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M06;1.559.854
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M05;871.261
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M04;623.595
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M03;673.359
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M02;110.201
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2024M01;81.426
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M12;148.176
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M11;130.950
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M10;453.817
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M09;984.218
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M08;2.511.319
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M07;1.721.666
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M06;1.373.996
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M05;717.216
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M04;1.023.544
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M03;249.123
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M02;85.663
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en España;2023M01;60.773
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M12;54.852
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M11;76.055
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M10;501.057
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M09;1.291.987
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M08;2.885.305
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M07;2.692.227
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M06;1.073.451
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M05;936.049
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M04;490.264
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M03;203.768
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M02;70.830
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2024M01;55.460
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M12;59.167
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M11;68.435
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M10;417.005
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M09;1.179.976
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M08;2.824.226
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M07;2.501.250
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M06;1.064.903
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M05;794.872
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M04;498.234
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M03;110.600
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M02;51.564
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;09 Cataluña;Total;Residentes en el Extranjero;2023M01;47.714
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M12;129.906
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M11;80.516
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M10;167.930
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M09;317.023
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M08;949.244
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M07;761.260
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M06;443.232
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M05;280.080
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M04;219.485
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M03;241.027
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M02;86.597
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2024M01;89.261
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M12;142.306
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M11;128.206
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M10;222.342
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M09;347.665
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M08;1.041.581
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M07;794.413
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M06;440.860
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M05;261.727
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M04;414.931
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M03;130.437
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M02;77.563
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en España;2023M01;82.312
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M12;548.090
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M11;531.562
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M10;712.221
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M09;502.613
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M08;411.381
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M07;382.663
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M06;371.372
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M05;465.117
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M04;535.458
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M03;579.293
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M02;642.743
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2024M01;631.033
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M12;542.095
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M11;537.959
Encuesta de Ocupación en Campings;Pernoctaciones;Total Nacional;10 Comunitat Valenciana;Total;Residentes en el Extranjero;2023M10;637.906
