Tipo de alojamiento;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;09 Cataluña;2023M01;5,51
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M12;5,07
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M11;5,31
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M10;5,37
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M09;5,65
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M08;6,81
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M07;6,05
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M06;4,98
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M05;4,79
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M04;4,80
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M03;4,77
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M02;6,74
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2024M01;7,43
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M12;5,48
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M11;6,52
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M10;6,23
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M09;5,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M08;7,01
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M07;6,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M06;5,39
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M05;5,74
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M04;4,60
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M03;5,25
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M02;5,77
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;10 Comunitat Valenciana;2023M01;6,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M12;3,08
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M11;3,45
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M10;3,52
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M09;3,58
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M08;3,59
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M07;3,26
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M06;3,09
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M05;3,21
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M04;3,20
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M03;3,29
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M02;3,15
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2024M01;3,39
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M12;3,37
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M11;3,14
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M10;3,28
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M09;3,17
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M08;3,40
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M07;3,04
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M06;2,96
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M05;3,09
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M04;3,20
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M03;3,16
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M02;3,02
Encuesta de Ocupación en Apartamentos Turísticos;Total Nacional;13 Madrid, Comunidad de;2023M01;3,30
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M12;2,87
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M11;2,63
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M10;3,29
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M09;3,68
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M08;4,58
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M07;4,44
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M06;3,70
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M05;3,46
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M04;3,39
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M03;3,12
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M02;2,60
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2024M01;2,83
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M12;2,82
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M11;2,52
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M10;3,31
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M09;3,33
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M08;4,51
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M07;3,99
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M06;3,12
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M05;3,00
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M04;3,00
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M03;2,58
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M02;2,76
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;01 Andalucía;2023M01;2,74
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M12;2,39
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M11;2,52
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M10;2,91
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M09;3,18
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M08;3,40
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M07;3,14
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M06;3,38
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M05;3,17
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M04;2,98
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M03;2,88
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M02;2,60
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2024M01;2,34
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M12;2,39
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M11;2,50
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M10;3,40
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M09;3,46
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M08;3,88
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M07;3,68
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M06;3,40
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M05;3,38
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M04;3,10
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M03;3,06
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M02;2,96
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;04 Balears, Illes;2023M01;2,77
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M12;2,60
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M11;2,02
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M10;2,21
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M09;2,30
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M08;4,30
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M07;3,59
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M06;2,20
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M05;2,05
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M04;2,02
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M03;2,41
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M02;2,20
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2024M01;2,21
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M12;2,75
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M11;2,15
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M10;2,20
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M09;2,28
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M08;4,49
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M07;3,26
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M06;2,18
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M05;2,21
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M04;2,50
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M03;2,00
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M02;2,09
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;09 Cataluña;2023M01;2,23
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M12;2,38
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M11;2,17
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M10;2,17
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M09;2,32
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M08;3,39
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M07;3,08
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M06;2,15
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M05;2,17
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M04;2,27
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M03;2,24
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M02;2,03
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2024M01;1,79
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M12;2,39
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M11;2,35
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M10;2,05
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M09;2,33
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M08;3,23
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M07;2,66
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M06;2,13
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M05;2,08
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M04;2,30
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M03;2,19
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M02;2,04
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;10 Comunitat Valenciana;2023M01;2,27
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M12;1,92
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M11;1,82
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M10;1,84
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M09;1,79
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M08;2,34
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M07;2,24
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M06;1,95
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M05;1,74
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M04;1,81
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M03;1,88
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M02;1,79
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2024M01;1,85
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M12;1,99
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M11;1,65
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M10;1,77
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M09;1,63
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M08;2,21
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M07;1,87
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M06;1,86
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M05;1,88
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M04;1,98
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M03;1,79
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M02;1,73
Encuesta de Ocupación en Alojamientos de Turismo Rural;Total Nacional;13 Madrid, Comunidad de;2023M01;1,88
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M12;2,18
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M11;2,54
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M10;2,63
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M09;2,62
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M08;2,73
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M07;2,27
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M06;2,70
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M05;2,48
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M04;2,52
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M03;2,77
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M02;2,48
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2024M01;2,48
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M12;2,28
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M11;2,61
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M10;2,56
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M09;2,47
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M08;2,58
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M07;2,72
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M06;2,46
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M05;2,52
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M04;2,39
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M03;2,61
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M02;2,54
Encuesta de Ocupación en Albergues;Total Nacional;01 Andalucía;2023M01;2,58
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M12;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M11;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M10;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M09;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M08;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M07;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M06;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M05;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M04;1,93
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M03;2,19
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M02;2,27
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2024M01;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M12;2,83
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M11;2,86
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M10;2,63
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M09;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M08;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M07;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M06;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M05;2,47
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M04;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M03;2,20
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M02;.
Encuesta de Ocupación en Albergues;Total Nacional;04 Balears, Illes;2023M01;.
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M12;2,61
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M11;2,53
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M10;2,57
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M09;2,81
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M08;3,07
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M07;3,54
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M06;2,42
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M05;2,33
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M04;2,41
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M03;2,62
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M02;2,42
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2024M01;2,57
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M12;2,29
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M11;2,20
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M10;2,02
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M09;2,04
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M08;2,93
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M07;3,29
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M06;2,06
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M05;1,75
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M04;2,22
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M03;2,08
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M02;1,86
Encuesta de Ocupación en Albergues;Total Nacional;09 Cataluña;2023M01;1,81
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M12;2,27
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M11;2,46
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M10;2,45
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M09;2,39
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M08;2,72
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M07;3,50
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M06;2,59
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M05;2,32
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M04;2,51
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M03;2,43
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M02;2,47
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2024M01;2,37
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M12;2,30
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M11;2,20
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M10;2,15
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M09;3,34
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M08;2,69
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M07;3,18
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M06;2,58
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M05;2,68
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M04;2,43
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M03;2,35
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M02;2,21
Encuesta de Ocupación en Albergues;Total Nacional;10 Comunitat Valenciana;2023M01;2,06
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M12;1,85
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M11;2,04
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M10;2,00
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M09;2,06
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M08;1,89
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M07;1,92
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M06;1,84
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M05;1,87
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M04;1,92
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M03;2,22
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M02;2,21
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2024M01;2,02
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2023M12;1,91
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2023M11;1,74
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2023M10;1,91
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2023M09;1,88
Encuesta de Ocupación en Albergues;Total Nacional;13 Madrid, Comunidad de;2023M08;1,86
