RESIDENCIA/ORIGEN,Países,Viajeros y pernoctaciones,Total,Año,mes,Nom_mes
Total,Irlanda,Viajero,53534,2018,3,Marzo
Total,Irlanda,Viajero,37084,2018,2,Febrero
Total,Irlanda,Viajero,37287,2018,1,Enero
Total,Irlanda,Viajero,29981,2017,12,Diciembre
Total,Irlanda,Viajero,39094,2017,11,Noviembre
Total,Irlanda,Viajero,85961,2017,10,Octubre
Total,Irlanda,Viajero,112732,2017,9,Septiembre
Total,Irlanda,Viajero,95906,2017,8,Agosto
Total,Irlanda,Viajero,104577,2017,7,Julio
Total,Irlanda,Viajero,112195,2017,6,Junio
Total,Irlanda,Viajero,94974,2017,5,Mayo
Total,Irlanda,Viajero,71878,2017,4,Abril
Total,Irlanda,Viajero,47811,2017,3,Marzo
Total,Irlanda,Viajero,37367,2017,2,Febrero
Total,Irlanda,Viajero,33460,2017,1,Enero
Total,Irlanda,Viajero,27120,2016,12,Diciembre
Total,Irlanda,Viajero,38742,2016,11,Noviembre
Total,Irlanda,Viajero,83847,2016,10,Octubre
Total,Irlanda,Viajero,98758,2016,9,Septiembre
Total,Irlanda,Viajero,88352,2016,8,Agosto
Total,Irlanda,Viajero,92981,2016,7,Julio
Total,Irlanda,Viajero,94660,2016,6,Junio
Total,Irlanda,Viajero,90619,2016,5,Mayo
Total,Irlanda,Viajero,62218,2016,4,Abril
Total,Irlanda,Viajero,49011,2016,3,Marzo
Total,Irlanda,Viajero,36816,2016,2,Febrero
Total,Irlanda,Viajero,31679,2016,1,Enero
Total,Irlanda,Viajero,26086,2015,12,Diciembre
Total,Irlanda,Viajero,31826,2015,11,Noviembre
Total,Irlanda,Viajero,73338,2015,10,Octubre
Total,Irlanda,Viajero,89672,2015,9,Septiembre
Total,Irlanda,Viajero,75226,2015,8,Agosto
Total,Irlanda,Viajero,81835,2015,7,Julio
Total,Irlanda,Viajero,91060,2015,6,Junio
Total,Irlanda,Viajero,84580,2015,5,Mayo
Total,Irlanda,Viajero,54767,2015,4,Abril
Total,Irlanda,Viajero,34989,2015,3,Marzo
Total,Irlanda,Viajero,28429,2015,2,Febrero
Total,Irlanda,Viajero,24257,2015,1,Enero
Total,Irlanda,Viajero,19233,2014,12,Diciembre
Total,Irlanda,Viajero,26221,2014,11,Noviembre
Total,Irlanda,Viajero,61724,2014,10,Octubre
Total,Irlanda,Viajero,81364,2014,9,Septiembre
Total,Irlanda,Viajero,71799,2014,8,Agosto
Total,Irlanda,Viajero,74994,2014,7,Julio
Total,Irlanda,Viajero,80975,2014,6,Junio
Total,Irlanda,Viajero,73270,2014,5,Mayo
Total,Irlanda,Viajero,58168,2014,4,Abril
Total,Irlanda,Viajero,32376,2014,3,Marzo
Total,Irlanda,Viajero,28287,2014,2,Febrero
Total,Irlanda,Viajero,23135,2014,1,Enero
Total,Irlanda,Viajero,19463,2013,12,Diciembre
Total,Irlanda,Viajero,26153,2013,11,Noviembre
Total,Irlanda,Viajero,64579,2013,10,Octubre
Total,Irlanda,Viajero,74646,2013,9,Septiembre
Total,Irlanda,Viajero,61541,2013,8,Agosto
Total,Irlanda,Viajero,71041,2013,7,Julio
Total,Irlanda,Viajero,74160,2013,6,Junio
Total,Irlanda,Viajero,66416,2013,5,Mayo
Total,Irlanda,Viajero,46523,2013,4,Abril
Total,Irlanda,Viajero,35187,2013,3,Marzo
Total,Irlanda,Viajero,25599,2013,2,Febrero
Total,Irlanda,Viajero,20164,2013,1,Enero
Total,Irlanda,Viajero,20168,2012,12,Diciembre
Total,Irlanda,Viajero,26256,2012,11,Noviembre
Total,Irlanda,Viajero,56310,2012,10,Octubre
Total,Irlanda,Viajero,81226,2012,9,Septiembre
Total,Irlanda,Viajero,62170,2012,8,Agosto
Total,Irlanda,Viajero,65573,2012,7,Julio
Total,Irlanda,Viajero,63491,2012,6,Junio
Total,Irlanda,Viajero,64519,2012,5,Mayo
Total,Irlanda,Viajero,43377,2012,4,Abril
Total,Irlanda,Viajero,31990,2012,3,Marzo
Total,Irlanda,Viajero,26281,2012,2,Febrero
Total,Irlanda,Viajero,23510,2012,1,Enero
Total,Irlanda,Viajero,20318,2011,12,Diciembre
Total,Irlanda,Viajero,27255,2011,11,Noviembre
Total,Irlanda,Viajero,55274,2011,10,Octubre
Total,Irlanda,Viajero,66491,2011,9,Septiembre
Total,Irlanda,Viajero,59632,2011,8,Agosto
Total,Irlanda,Viajero,63680,2011,7,Julio
Total,Irlanda,Viajero,64460,2011,6,Junio
Total,Irlanda,Viajero,55813,2011,5,Mayo
Total,Irlanda,Viajero,45468,2011,4,Abril
Total,Irlanda,Viajero,35298,2011,3,Marzo
Total,Irlanda,Viajero,27386,2011,2,Febrero
Total,Irlanda,Viajero,25680,2011,1,Enero
Total,Irlanda,Viajero,21385,2010,12,Diciembre
Total,Irlanda,Viajero,27268,2010,11,Noviembre
Total,Irlanda,Viajero,50255,2010,10,Octubre
Total,Irlanda,Viajero,62438,2010,9,Septiembre
Total,Irlanda,Viajero,55127,2010,8,Agosto
Total,Irlanda,Viajero,59781,2010,7,Julio
Total,Irlanda,Viajero,54756,2010,6,Junio
Total,Irlanda,Viajero,60181,2010,5,Mayo
Total,Irlanda,Viajero,42211,2010,4,Abril
Total,Irlanda,Viajero,34602,2010,3,Marzo
Total,Irlanda,Viajero,30472,2010,2,Febrero
Total,Irlanda,Viajero,24030,2010,1,Enero
Total,Irlanda,Viajero,20335,2009,12,Diciembre
Total,Irlanda,Viajero,25892,2009,11,Noviembre
Total,Irlanda,Viajero,50731,2009,10,Octubre
Total,Irlanda,Viajero,71021,2009,9,Septiembre
Total,Irlanda,Viajero,59222,2009,8,Agosto
Total,Irlanda,Viajero,65717,2009,7,Julio
Total,Irlanda,Viajero,63489,2009,6,Junio
Total,Irlanda,Viajero,62532,2009,5,Mayo
Total,Irlanda,Viajero,42859,2009,4,Abril
Total,Irlanda,Viajero,35354,2009,3,Marzo
Total,Irlanda,Viajero,28694,2009,2,Febrero
Total,Irlanda,Viajero,24850,2009,1,Enero
Total,Irlanda,Viajero,24950,2008,12,Diciembre
Total,Irlanda,Viajero,29065,2008,11,Noviembre
Total,Irlanda,Viajero,52654,2008,10,Octubre
Total,Irlanda,Viajero,74428,2008,9,Septiembre
Total,Irlanda,Viajero,74241,2008,8,Agosto
Total,Irlanda,Viajero,72844,2008,7,Julio
Total,Irlanda,Viajero,71589,2008,6,Junio
Total,Irlanda,Viajero,70025,2008,5,Mayo
Total,Irlanda,Viajero,46862,2008,4,Abril
Total,Irlanda,Viajero,42957,2008,3,Marzo
Total,Irlanda,Viajero,33658,2008,2,Febrero
Total,Irlanda,Viajero,28479,2008,1,Enero
Total,Irlanda,Viajero,26316,2007,12,Diciembre
Total,Irlanda,Viajero,31480,2007,11,Noviembre
Total,Irlanda,Viajero,53144,2007,10,Octubre
Total,Irlanda,Viajero,72464,2007,9,Septiembre
Total,Irlanda,Viajero,62013,2007,8,Agosto
Total,Irlanda,Viajero,72247,2007,7,Julio
Total,Irlanda,Viajero,68770,2007,6,Junio
Total,Irlanda,Viajero,65276,2007,5,Mayo
Total,Irlanda,Viajero,48978,2007,4,Abril
Total,Irlanda,Viajero,41746,2007,3,Marzo
Total,Irlanda,Viajero,33371,2007,2,Febrero
Total,Irlanda,Viajero,28798,2007,1,Enero
Total,Irlanda,Viajero,25796,2006,12,Diciembre
Total,Irlanda,Viajero,28682,2006,11,Noviembre
Total,Irlanda,Viajero,48873,2006,10,Octubre
Total,Irlanda,Viajero,62075,2006,9,Septiembre
Total,Irlanda,Viajero,55641,2006,8,Agosto
Total,Irlanda,Viajero,62777,2006,7,Julio
Total,Irlanda,Viajero,65772,2006,6,Junio
Total,Irlanda,Viajero,62144,2006,5,Mayo
Total,Irlanda,Viajero,37647,2006,4,Abril
Total,Irlanda,Viajero,32497,2006,3,Marzo
Total,Irlanda,Viajero,28645,2006,2,Febrero
Total,Irlanda,Viajero,22921,2006,1,Enero
Total,Irlanda,Viajero,16741,2005,12,Diciembre
Total,Irlanda,Viajero,23719,2005,11,Noviembre
Total,Irlanda,Viajero,37891,2005,10,Octubre
Total,Irlanda,Viajero,59609,2005,9,Septiembre
Total,Irlanda,Viajero,50032,2005,8,Agosto
Total,Irlanda,Viajero,51800,2005,7,Julio
Total,Irlanda,Viajero,55073,2005,6,Junio
Total,Irlanda,Viajero,57228,2005,5,Mayo
Total,Irlanda,Viajero,28069,2005,4,Abril
Total,Irlanda,Viajero,25249,2005,3,Marzo
Total,Irlanda,Viajero,21051,2005,2,Febrero
Total,Irlanda,Viajero,15404,2005,1,Enero
Total,Irlanda,Viajero,13439,2004,12,Diciembre
Total,Irlanda,Viajero,16348,2004,11,Noviembre
Total,Irlanda,Viajero,29952,2004,10,Octubre
Total,Irlanda,Viajero,52778,2004,9,Septiembre
Total,Irlanda,Viajero,42881,2004,8,Agosto
Total,Irlanda,Viajero,48320,2004,7,Julio
Total,Irlanda,Viajero,49799,2004,6,Junio
Total,Irlanda,Viajero,45659,2004,5,Mayo
Total,Irlanda,Viajero,32166,2004,4,Abril
Total,Irlanda,Viajero,20544,2004,3,Marzo
Total,Irlanda,Viajero,17911,2004,2,Febrero
Total,Irlanda,Viajero,13819,2004,1,Enero
Total,Irlanda,Viajero,12003,2003,12,Diciembre
Total,Irlanda,Viajero,13592,2003,11,Noviembre
Total,Irlanda,Viajero,31239,2003,10,Octubre
Total,Irlanda,Viajero,40121,2003,9,Septiembre
Total,Irlanda,Viajero,36911,2003,8,Agosto
Total,Irlanda,Viajero,42168,2003,7,Julio
Total,Irlanda,Viajero,38896,2003,6,Junio
Total,Irlanda,Viajero,38621,2003,5,Mayo
Total,Irlanda,Viajero,22498,2003,4,Abril
Total,Irlanda,Viajero,18086,2003,3,Marzo
Total,Irlanda,Viajero,15937,2003,2,Febrero
Total,Irlanda,Viajero,12904,2003,1,Enero
Total,Irlanda,Viajero,11392,2002,12,Diciembre
Total,Irlanda,Viajero,12288,2002,11,Noviembre
Total,Irlanda,Viajero,27478,2002,10,Octubre
Total,Irlanda,Viajero,33096,2002,9,Septiembre
Total,Irlanda,Viajero,31514,2002,8,Agosto
Total,Irlanda,Viajero,34264,2002,7,Julio
Total,Irlanda,Viajero,36212,2002,6,Junio
Total,Irlanda,Viajero,27122,2002,5,Mayo
Total,Irlanda,Viajero,20960,2002,4,Abril
Total,Irlanda,Viajero,16091,2002,3,Marzo
Total,Irlanda,Viajero,11469,2002,2,Febrero
Total,Irlanda,Viajero,9315,2002,1,Enero
Total,Irlanda,Viajero,8255,2001,12,Diciembre
Total,Irlanda,Viajero,10549,2001,11,Noviembre
Total,Irlanda,Viajero,19747,2001,10,Octubre
Total,Irlanda,Viajero,28395,2001,9,Septiembre
Total,Irlanda,Viajero,25105,2001,8,Agosto
Total,Irlanda,Viajero,24559,2001,7,Julio
Total,Irlanda,Viajero,27430,2001,6,Junio
Total,Irlanda,Viajero,22874,2001,5,Mayo
Total,Irlanda,Viajero,20669,2001,4,Abril
Total,Irlanda,Viajero,14777,2001,3,Marzo
Total,Irlanda,Viajero,12060,2001,2,Febrero
Total,Irlanda,Viajero,8574,2001,1,Enero
Total,Irlanda,Viajero,8397,2000,12,Diciembre
Total,Irlanda,Viajero,10798,2000,11,Noviembre
Total,Irlanda,Viajero,19902,2000,10,Octubre
Total,Irlanda,Viajero,23277,2000,9,Septiembre
Total,Irlanda,Viajero,23418,2000,8,Agosto
Total,Irlanda,Viajero,22778,2000,7,Julio
Total,Irlanda,Viajero,20778,2000,6,Junio
Total,Irlanda,Viajero,19580,2000,5,Mayo
Total,Irlanda,Viajero,16610,2000,4,Abril
Total,Irlanda,Viajero,14002,2000,3,Marzo
Total,Irlanda,Viajero,10343,2000,2,Febrero
Total,Irlanda,Viajero,8150,2000,1,Enero
Total,Irlanda,Viajero,4964,1999,12,Diciembre
Total,Irlanda,Viajero,8002,1999,11,Noviembre
Total,Irlanda,Viajero,17160,1999,10,Octubre
Total,Irlanda,Viajero,24101,1999,9,Septiembre
Total,Irlanda,Viajero,24003,1999,8,Agosto
Total,Irlanda,Viajero,20388,1999,7,Julio
Total,Irlanda,Viajero,21097,1999,6,Junio
Total,Irlanda,Viajero,18632,1999,5,Mayo
Total,Irlanda,Viajero,11562,1999,4,Abril
Total,Irlanda,Viajero,8625,1999,3,Marzo
Total,Irlanda,Viajero,6874,1999,2,Febrero
Total,Irlanda,Viajero,5463,1999,1,Enero
Total,Irlanda,Pernoctaciones,594062,2025,4,Abril
Total,Irlanda,Pernoctaciones,395626,2025,3,Marzo
Total,Irlanda,Pernoctaciones,341776,2025,2,Febrero
Total,Irlanda,Pernoctaciones,359451,2025,1,Enero
Total,Irlanda,Pernoctaciones,268811,2024,12,Diciembre
Total,Irlanda,Pernoctaciones,326976,2024,11,Noviembre
Total,Irlanda,Pernoctaciones,725431,2024,10,Octubre
Total,Irlanda,Pernoctaciones,884399,2024,9,Septiembre
Total,Irlanda,Pernoctaciones,831162,2024,8,Agosto
Total,Irlanda,Pernoctaciones,917295,2024,7,Julio
Total,Irlanda,Pernoctaciones,892946,2024,6,Junio
Total,Irlanda,Pernoctaciones,827877,2024,5,Mayo
Total,Irlanda,Pernoctaciones,555977,2024,4,Abril
Total,Irlanda,Pernoctaciones,403321,2024,3,Marzo
Total,Irlanda,Pernoctaciones,331926,2024,2,Febrero
Total,Irlanda,Pernoctaciones,342315,2024,1,Enero
Total,Irlanda,Pernoctaciones,268118,2023,12,Diciembre
Total,Irlanda,Pernoctaciones,334179,2023,11,Noviembre
Total,Irlanda,Pernoctaciones,667551,2023,10,Octubre
Total,Irlanda,Pernoctaciones,797076,2023,9,Septiembre
Total,Irlanda,Pernoctaciones,781883,2023,8,Agosto
Total,Irlanda,Pernoctaciones,843580,2023,7,Julio
Total,Irlanda,Pernoctaciones,805595,2023,6,Junio
Total,Irlanda,Pernoctaciones,681894,2023,5,Mayo
Total,Irlanda,Pernoctaciones,526043,2023,4,Abril
Total,Irlanda,Pernoctaciones,309428,2023,3,Marzo
Total,Irlanda,Pernoctaciones,270757,2023,2,Febrero
Total,Irlanda,Pernoctaciones,267148,2023,1,Enero
Total,Irlanda,Pernoctaciones,215052,2022,12,Diciembre
Total,Irlanda,Pernoctaciones,278862,2022,11,Noviembre
Total,Irlanda,Pernoctaciones,531972,2022,10,Octubre
Total,Irlanda,Pernoctaciones,699535,2022,9,Septiembre
Total,Irlanda,Pernoctaciones,680463,2022,8,Agosto
Total,Irlanda,Pernoctaciones,746222,2022,7,Julio
Total,Irlanda,Pernoctaciones,709437,2022,6,Junio
Total,Irlanda,Pernoctaciones,589362,2022,5,Mayo
Total,Irlanda,Pernoctaciones,423287,2022,4,Abril
Total,Irlanda,Pernoctaciones,266880,2022,3,Marzo
Total,Irlanda,Pernoctaciones,217798,2022,2,Febrero
Total,Irlanda,Pernoctaciones,169173,2022,1,Enero
Total,Irlanda,Pernoctaciones,134532,2021,12,Diciembre
Total,Irlanda,Pernoctaciones,178764,2021,11,Noviembre
Total,Irlanda,Pernoctaciones,361300,2021,10,Octubre
Total,Irlanda,Pernoctaciones,334533,2021,9,Septiembre
Total,Irlanda,Pernoctaciones,277560,2021,8,Agosto
Total,Irlanda,Pernoctaciones,111151,2021,7,Julio
Total,Irlanda,Pernoctaciones,26561,2021,6,Junio
Total,Irlanda,Pernoctaciones,15019,2021,5,Mayo
Total,Irlanda,Pernoctaciones,9034,2021,4,Abril
Total,Irlanda,Pernoctaciones,15029,2021,3,Marzo
Total,Irlanda,Pernoctaciones,10501,2021,2,Febrero
Total,Irlanda,Pernoctaciones,15573,2021,1,Enero
Total,Irlanda,Pernoctaciones,17950,2020,12,Diciembre
Total,Irlanda,Pernoctaciones,17278,2020,11,Noviembre
Total,Irlanda,Pernoctaciones,19604,2020,10,Octubre
Total,Irlanda,Pernoctaciones,25180,2020,9,Septiembre
Total,Irlanda,Pernoctaciones,33687,2020,8,Agosto
Total,Irlanda,Pernoctaciones,32901,2020,7,Julio
Total,Irlanda,Pernoctaciones,,2020,6,Junio
Total,Irlanda,Pernoctaciones,,2020,5,Mayo
Total,Irlanda,Pernoctaciones,,2020,4,Abril
Total,Irlanda,Pernoctaciones,91609,2020,3,Marzo
Total,Irlanda,Pernoctaciones,210139,2020,2,Febrero
Total,Irlanda,Pernoctaciones,195765,2020,1,Enero
Total,Irlanda,Pernoctaciones,168989,2019,12,Diciembre
Total,Irlanda,Pernoctaciones,196533,2019,11,Noviembre
Total,Irlanda,Pernoctaciones,470852,2019,10,Octubre
Total,Irlanda,Pernoctaciones,623853,2019,9,Septiembre
Total,Irlanda,Pernoctaciones,660174,2019,8,Agosto
Total,Irlanda,Pernoctaciones,736783,2019,7,Julio
Total,Irlanda,Pernoctaciones,708098,2019,6,Junio
Total,Irlanda,Pernoctaciones,578565,2019,5,Mayo
Total,Irlanda,Pernoctaciones,369821,2019,4,Abril
Total,Irlanda,Pernoctaciones,224832,2019,3,Marzo
Total,Irlanda,Pernoctaciones,184225,2019,2,Febrero
Total,Irlanda,Pernoctaciones,181798,2019,1,Enero
Total,Irlanda,Pernoctaciones,149230,2018,12,Diciembre
Total,Irlanda,Pernoctaciones,178787,2018,11,Noviembre
Total,Irlanda,Pernoctaciones,424232,2018,10,Octubre
Total,Irlanda,Pernoctaciones,530482,2018,9,Septiembre
Total,Irlanda,Pernoctaciones,525440,2018,8,Agosto
Total,Irlanda,Pernoctaciones,605858,2018,7,Julio
Total,Irlanda,Pernoctaciones,608159,2018,6,Junio
Total,Irlanda,Pernoctaciones,518107,2018,5,Mayo
Total,Irlanda,Pernoctaciones,306965,2018,4,Abril
Total,Irlanda,Pernoctaciones,218097,2018,3,Marzo
Total,Irlanda,Pernoctaciones,165827,2018,2,Febrero
Total,Irlanda,Pernoctaciones,177148,2018,1,Enero
Total,Irlanda,Pernoctaciones,135346,2017,12,Diciembre
Total,Irlanda,Pernoctaciones,172727,2017,11,Noviembre
Total,Irlanda,Pernoctaciones,378870,2017,10,Octubre
Total,Irlanda,Pernoctaciones,480620,2017,9,Septiembre
Total,Irlanda,Pernoctaciones,492633,2017,8,Agosto
Total,Irlanda,Pernoctaciones,549141,2017,7,Julio
Total,Irlanda,Pernoctaciones,552089,2017,6,Junio
Total,Irlanda,Pernoctaciones,406111,2017,5,Mayo
Total,Irlanda,Pernoctaciones,286247,2017,4,Abril
Total,Irlanda,Pernoctaciones,197288,2017,3,Marzo
Total,Irlanda,Pernoctaciones,157952,2017,2,Febrero
Total,Irlanda,Pernoctaciones,164690,2017,1,Enero
Total,Irlanda,Pernoctaciones,121116,2016,12,Diciembre
Total,Irlanda,Pernoctaciones,172659,2016,11,Noviembre
Total,Irlanda,Pernoctaciones,361041,2016,10,Octubre
Total,Irlanda,Pernoctaciones,437483,2016,9,Septiembre
Total,Irlanda,Pernoctaciones,448795,2016,8,Agosto
Total,Irlanda,Pernoctaciones,499758,2016,7,Julio
Total,Irlanda,Pernoctaciones,471538,2016,6,Junio
Total,Irlanda,Pernoctaciones,407819,2016,5,Mayo
Total,Irlanda,Pernoctaciones,259380,2016,4,Abril
Total,Irlanda,Pernoctaciones,204404,2016,3,Marzo
Total,Irlanda,Pernoctaciones,157126,2016,2,Febrero
Total,Irlanda,Pernoctaciones,144888,2016,1,Enero
Total,Irlanda,Pernoctaciones,117324,2015,12,Diciembre
Total,Irlanda,Pernoctaciones,136496,2015,11,Noviembre
Total,Irlanda,Pernoctaciones,324739,2015,10,Octubre
Total,Irlanda,Pernoctaciones,405950,2015,9,Septiembre
Total,Irlanda,Pernoctaciones,404032,2015,8,Agosto
Total,Irlanda,Pernoctaciones,443692,2015,7,Julio
Total,Irlanda,Pernoctaciones,429280,2015,6,Junio
Total,Irlanda,Pernoctaciones,354408,2015,5,Mayo
Total,Irlanda,Pernoctaciones,224971,2015,4,Abril
Total,Irlanda,Pernoctaciones,151821,2015,3,Marzo
Total,Irlanda,Pernoctaciones,126631,2015,2,Febrero
Total,Irlanda,Pernoctaciones,120304,2015,1,Enero
Total,Irlanda,Pernoctaciones,93740,2014,12,Diciembre
Total,Irlanda,Pernoctaciones,111760,2014,11,Noviembre
Total,Irlanda,Pernoctaciones,284116,2014,10,Octubre
Total,Irlanda,Pernoctaciones,347384,2014,9,Septiembre
Total,Irlanda,Pernoctaciones,349589,2014,8,Agosto
Total,Irlanda,Pernoctaciones,401391,2014,7,Julio
Total,Irlanda,Pernoctaciones,399884,2014,6,Junio
Total,Irlanda,Pernoctaciones,320599,2014,5,Mayo
Total,Irlanda,Pernoctaciones,224499,2014,4,Abril
Total,Irlanda,Pernoctaciones,142397,2014,3,Marzo
Total,Irlanda,Pernoctaciones,124195,2014,2,Febrero
Total,Irlanda,Pernoctaciones,118751,2014,1,Enero
Total,Irlanda,Pernoctaciones,88480,2013,12,Diciembre
Total,Irlanda,Pernoctaciones,125783,2013,11,Noviembre
Total,Irlanda,Pernoctaciones,305164,2013,10,Octubre
Total,Irlanda,Pernoctaciones,321353,2013,9,Septiembre
Total,Irlanda,Pernoctaciones,329833,2013,8,Agosto
Total,Irlanda,Pernoctaciones,373571,2013,7,Julio
Total,Irlanda,Pernoctaciones,363167,2013,6,Junio
Total,Irlanda,Pernoctaciones,283255,2013,5,Mayo
Total,Irlanda,Pernoctaciones,195549,2013,4,Abril
Total,Irlanda,Pernoctaciones,153774,2013,3,Marzo
Total,Irlanda,Pernoctaciones,118874,2013,2,Febrero
Total,Irlanda,Pernoctaciones,112452,2013,1,Enero
Total,Irlanda,Pernoctaciones,89913,2012,12,Diciembre
Total,Irlanda,Pernoctaciones,113979,2012,11,Noviembre
Total,Irlanda,Pernoctaciones,271921,2012,10,Octubre
Total,Irlanda,Pernoctaciones,357107,2012,9,Septiembre
Total,Irlanda,Pernoctaciones,300042,2012,8,Agosto
Total,Irlanda,Pernoctaciones,322066,2012,7,Julio
Total,Irlanda,Pernoctaciones,308333,2012,6,Junio
Total,Irlanda,Pernoctaciones,274015,2012,5,Mayo
Total,Irlanda,Pernoctaciones,183627,2012,4,Abril
Total,Irlanda,Pernoctaciones,135532,2012,3,Marzo
Total,Irlanda,Pernoctaciones,120406,2012,2,Febrero
Total,Irlanda,Pernoctaciones,122890,2012,1,Enero
Total,Irlanda,Pernoctaciones,86634,2011,12,Diciembre
Total,Irlanda,Pernoctaciones,116935,2011,11,Noviembre
Total,Irlanda,Pernoctaciones,242193,2011,10,Octubre
Total,Irlanda,Pernoctaciones,291139,2011,9,Septiembre
Total,Irlanda,Pernoctaciones,276283,2011,8,Agosto
Total,Irlanda,Pernoctaciones,312595,2011,7,Julio
Total,Irlanda,Pernoctaciones,299473,2011,6,Junio
Total,Irlanda,Pernoctaciones,237816,2011,5,Mayo
Total,Irlanda,Pernoctaciones,188364,2011,4,Abril
Total,Irlanda,Pernoctaciones,148013,2011,3,Marzo
Total,Irlanda,Pernoctaciones,117033,2011,2,Febrero
Total,Irlanda,Pernoctaciones,128351,2011,1,Enero
Total,Irlanda,Pernoctaciones,73105,2010,12,Diciembre
Total,Irlanda,Pernoctaciones,109336,2010,11,Noviembre
Total,Irlanda,Pernoctaciones,221230,2010,10,Octubre
Total,Irlanda,Pernoctaciones,278510,2010,9,Septiembre
Total,Irlanda,Pernoctaciones,257102,2010,8,Agosto
Total,Irlanda,Pernoctaciones,282497,2010,7,Julio
Total,Irlanda,Pernoctaciones,248471,2010,6,Junio
Total,Irlanda,Pernoctaciones,228652,2010,5,Mayo
Total,Irlanda,Pernoctaciones,161093,2010,4,Abril
Total,Irlanda,Pernoctaciones,142712,2010,3,Marzo
Total,Irlanda,Pernoctaciones,125153,2010,2,Febrero
Total,Irlanda,Pernoctaciones,107488,2010,1,Enero
Total,Irlanda,Pernoctaciones,81488,2009,12,Diciembre
Total,Irlanda,Pernoctaciones,96219,2009,11,Noviembre
Total,Irlanda,Pernoctaciones,216212,2009,10,Octubre
Total,Irlanda,Pernoctaciones,298436,2009,9,Septiembre
Total,Irlanda,Pernoctaciones,304601,2009,8,Agosto
Total,Irlanda,Pernoctaciones,385193,2009,7,Julio
Total,Irlanda,Pernoctaciones,317991,2009,6,Junio
Total,Irlanda,Pernoctaciones,267774,2009,5,Mayo
Total,Irlanda,Pernoctaciones,155007,2009,4,Abril
Total,Irlanda,Pernoctaciones,134815,2009,3,Marzo
Total,Irlanda,Pernoctaciones,110083,2009,2,Febrero
Total,Irlanda,Pernoctaciones,106026,2009,1,Enero
Total,Irlanda,Pernoctaciones,92860,2008,12,Diciembre
Total,Irlanda,Pernoctaciones,108813,2008,11,Noviembre
Total,Irlanda,Pernoctaciones,211760,2008,10,Octubre
Total,Irlanda,Pernoctaciones,323060,2008,9,Septiembre
Total,Irlanda,Pernoctaciones,405293,2008,8,Agosto
Total,Irlanda,Pernoctaciones,384183,2008,7,Julio
Total,Irlanda,Pernoctaciones,322179,2008,6,Junio
Total,Irlanda,Pernoctaciones,272765,2008,5,Mayo
Total,Irlanda,Pernoctaciones,160939,2008,4,Abril
Total,Irlanda,Pernoctaciones,160341,2008,3,Marzo
Total,Irlanda,Pernoctaciones,132183,2008,2,Febrero
Total,Irlanda,Pernoctaciones,117088,2008,1,Enero
Total,Irlanda,Pernoctaciones,94837,2007,12,Diciembre
Total,Irlanda,Pernoctaciones,116438,2007,11,Noviembre
Total,Irlanda,Pernoctaciones,201482,2007,10,Octubre
Total,Irlanda,Pernoctaciones,325262,2007,9,Septiembre
Total,Irlanda,Pernoctaciones,323238,2007,8,Agosto
Total,Irlanda,Pernoctaciones,376352,2007,7,Julio
Total,Irlanda,Pernoctaciones,323316,2007,6,Junio
Total,Irlanda,Pernoctaciones,290631,2007,5,Mayo
Total,Irlanda,Pernoctaciones,182405,2007,4,Abril
Total,Irlanda,Pernoctaciones,155429,2007,3,Marzo
Total,Irlanda,Pernoctaciones,123335,2007,2,Febrero
Total,Irlanda,Pernoctaciones,111760,2007,1,Enero
Total,Irlanda,Pernoctaciones,93430,2006,12,Diciembre
Total,Irlanda,Pernoctaciones,98533,2006,11,Noviembre
Total,Irlanda,Pernoctaciones,187938,2006,10,Octubre
Total,Irlanda,Pernoctaciones,269452,2006,9,Septiembre
Total,Irlanda,Pernoctaciones,293606,2006,8,Agosto
Total,Irlanda,Pernoctaciones,348698,2006,7,Julio
Total,Irlanda,Pernoctaciones,331844,2006,6,Junio
Total,Irlanda,Pernoctaciones,277188,2006,5,Mayo
Total,Irlanda,Pernoctaciones,140186,2006,4,Abril
Total,Irlanda,Pernoctaciones,122392,2006,3,Marzo
Total,Irlanda,Pernoctaciones,103907,2006,2,Febrero
Total,Irlanda,Pernoctaciones,87582,2006,1,Enero
Total,Irlanda,Pernoctaciones,67993,2005,12,Diciembre
Total,Irlanda,Pernoctaciones,86794,2005,11,Noviembre
Total,Irlanda,Pernoctaciones,172450,2005,10,Octubre
Total,Irlanda,Pernoctaciones,306631,2005,9,Septiembre
Total,Irlanda,Pernoctaciones,320847,2005,8,Agosto
Total,Irlanda,Pernoctaciones,341182,2005,7,Julio
Total,Irlanda,Pernoctaciones,322417,2005,6,Junio
Total,Irlanda,Pernoctaciones,261580,2005,5,Mayo
Total,Irlanda,Pernoctaciones,107101,2005,4,Abril
Total,Irlanda,Pernoctaciones,95994,2005,3,Marzo
Total,Irlanda,Pernoctaciones,81091,2005,2,Febrero
Total,Irlanda,Pernoctaciones,65788,2005,1,Enero
Total,Irlanda,Pernoctaciones,49161,2004,12,Diciembre
Total,Irlanda,Pernoctaciones,58734,2004,11,Noviembre
Total,Irlanda,Pernoctaciones,148931,2004,10,Octubre
Total,Irlanda,Pernoctaciones,283744,2004,9,Septiembre
Total,Irlanda,Pernoctaciones,293032,2004,8,Agosto
Total,Irlanda,Pernoctaciones,338013,2004,7,Julio
