Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M10;0,04
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M09;0,14
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M08;0,09
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M07;0,05
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M06;0,05
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M05;0,00
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M04;0,20
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M03;0,02
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M02;0,02
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2024M01;0,04
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M12;0,03
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M11;0,01
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M10;0,43
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M09;0,31
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M08;0,12
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M07;0,25
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M06;0,20
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M05;0,02
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M04;0,48
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M03;0,70
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M02;0,01
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2023M01;0,01
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M12;0,02
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M11;0,02
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M10;0,35
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M09;0,16
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M08;0,03
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M07;0,66
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M06;0,59
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M05;0,20
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M04;0,39
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M03;0,02
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M02;""
Total Nacional;07 Balears, Illes;Total Nacional;19 Melilla;Pernoctaciones;2022M01;0,07
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2025M03;7,83
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2025M02;7,11
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2025M01;6,96
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M12;6,57
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M11;6,72
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M10;6,63
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M09;6,50
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M08;6,36
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M07;6,98
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M06;5,93
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M05;7,73
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M04;6,76
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M03;7,05
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M02;6,15
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2024M01;6,68
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M12;7,11
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M11;6,87
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M10;7,30
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M09;6,02
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M08;6,58
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M07;6,50
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M06;6,47
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M05;6,48
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M04;6,97
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M03;5,97
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M02;6,81
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2023M01;5,39
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M12;6,48
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M11;6,82
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M10;6,94
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M09;7,48
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M08;6,84
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M07;6,47
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M06;5,16
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M05;5,28
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M04;5,99
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M03;6,97
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M02;6,03
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Viajero;2022M01;5,01
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2025M03;8,72
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2025M02;7,67
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2025M01;7,48
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M12;7,07
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M11;7,00
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M10;6,41
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M09;6,52
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M08;5,58
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M07;6,40
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M06;5,60
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M05;8,33
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M04;6,64
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M03;7,37
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M02;7,70
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2024M01;7,70
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M12;8,21
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M11;7,50
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M10;7,74
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M09;6,26
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M08;6,65
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M07;7,28
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M06;6,71
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M05;7,16
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M04;7,22
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M03;6,58
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M02;7,59
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2023M01;5,88
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M12;7,32
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M11;7,74
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M10;7,76
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M09;7,31
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M08;6,00
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M07;6,43
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M06;5,40
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M05;6,15
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M04;6,79
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M03;8,79
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M02;6,94
Total Nacional;08 Barcelona;Total Nacional;01 Andalucía;Pernoctaciones;2022M01;5,55
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2025M03;3,03
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2025M02;2,43
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2025M01;2,27
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M12;2,98
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M11;2,37
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M10;2,17
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M09;2,06
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M08;2,55
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M07;2,60
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M06;2,56
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M05;2,38
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M04;2,95
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M03;2,40
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M02;2,53
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2024M01;2,78
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M12;2,43
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M11;2,32
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M10;1,90
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M09;2,47
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M08;2,28
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M07;2,60
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M06;2,44
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M05;2,19
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M04;2,16
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M03;2,11
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M02;2,39
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2023M01;2,49
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M12;2,47
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M11;2,31
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M10;2,10
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M09;2,40
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M08;2,83
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M07;2,76
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M06;2,20
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M05;2,40
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M04;2,41
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M03;2,61
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M02;2,25
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Viajero;2022M01;2,91
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2025M03;2,87
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2025M02;2,09
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2025M01;2,25
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M12;2,75
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M11;2,12
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M10;2,10
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M09;1,93
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M08;3,12
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M07;2,50
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M06;2,58
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M05;2,46
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M04;3,00
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M03;2,29
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M02;2,37
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2024M01;2,51
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M12;2,18
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M11;2,13
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M10;1,76
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M09;2,09
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M08;2,27
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M07;2,39
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M06;2,23
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M05;2,37
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M04;1,94
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M03;1,73
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M02;2,17
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2023M01;2,50
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M12;2,04
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M11;2,05
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M10;1,88
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M09;2,12
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M08;2,95
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M07;2,54
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M06;2,05
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M05;2,36
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M04;2,54
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M03;2,27
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M02;2,10
Total Nacional;08 Barcelona;Total Nacional;02 Aragón;Pernoctaciones;2022M01;2,64
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2025M03;1,09
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2025M02;0,69
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2025M01;0,81
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M12;0,76
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M11;0,95
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M10;0,69
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M09;0,90
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M08;0,56
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M07;0,60
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M06;0,80
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M05;1,02
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M04;0,98
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M03;0,62
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M02;0,81
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2024M01;0,95
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M12;0,64
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M11;0,94
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M10;0,79
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M09;0,60
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M08;0,56
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M07;0,75
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M06;1,10
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M05;0,73
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M04;0,85
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M03;0,70
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M02;0,83
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2023M01;0,90
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M12;0,70
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M11;0,77
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M10;0,71
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M09;1,55
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M08;0,58
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M07;1,21
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M06;1,42
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M05;0,67
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M04;0,92
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M03;1,10
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M02;0,69
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Viajero;2022M01;0,62
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M03;1,33
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M02;0,77
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2025M01;0,94
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M12;0,86
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M11;0,92
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M10;0,69
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M09;0,91
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M08;0,65
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M07;0,72
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M06;0,80
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M05;1,13
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M04;1,02
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M03;0,99
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M02;1,12
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2024M01;1,32
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M12;0,67
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M11;1,03
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M10;0,74
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M09;0,62
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M08;0,60
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M07;0,68
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M06;1,23
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M05;0,72
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M04;1,03
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M03;0,82
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M02;1,20
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2023M01;1,07
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M12;0,83
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M11;0,87
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M10;0,85
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M09;1,65
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M08;0,55
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M07;1,33
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M06;1,19
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M05;0,60
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M04;0,92
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M03;1,03
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M02;0,82
Total Nacional;08 Barcelona;Total Nacional;03 Asturias, Principado de;Pernoctaciones;2022M01;0,78
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2025M03;3,36
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2025M02;3,46
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2025M01;3,14
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M12;2,73
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M11;3,02
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M10;2,34
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M09;3,03
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M08;1,60
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M07;2,14
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M06;1,84
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M05;3,06
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M04;2,03
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M03;2,43
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M02;2,38
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2024M01;2,28
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M12;2,63
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M11;2,59
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M10;2,59
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M09;2,43
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M08;1,34
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M07;2,01
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M06;2,76
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M05;2,15
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M04;2,24
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M03;2,11
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M02;2,52
Total Nacional;08 Barcelona;Total Nacional;04 Balears, Illes;Viajero;2023M01;2,50
