Totales Territoriales;Provincias;Totales Territoriales;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2023M01;4,90
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M12;5,80
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M11;7,12
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M10;8,45
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M09;10,29
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M08;10,33
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M07;13,09
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M06;12,11
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M05;7,91
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M04;7,63
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M03;12,11
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M02;12,32
Total Nacional;07 Balears, Illes;Total Nacional;01 Andalucía;Pernoctaciones;2022M01;5,49
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2025M03;1,05
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2025M02;0,63
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2025M01;0,93
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M12;0,55
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M11;0,69
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M10;1,33
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M09;0,99
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M08;1,77
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M07;1,22
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M06;1,01
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M05;1,21
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M04;1,39
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M03;0,82
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M02;2,52
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2024M01;0,70
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M12;0,60
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M11;0,58
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M10;1,00
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M09;1,39
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M08;1,35
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M07;1,30
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M06;1,67
Total Nacional;07 Balears, Illes;Total Nacional;02 Aragón;Viajero;2023M05;1,63
