Zonas Turísticas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M10;1.004.078
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M09;1.193.427
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M08;1.354.833
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M07;1.366.316
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M06;1.258.522
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M05;1.195.918
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M04;611.566
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M03;263.447
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M02;86.806
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2024M01;35.190
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M12;47.691
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M11;67.092
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M10;832.537
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M09;1.115.239
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M08;1.289.303
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M07;1.300.002
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M06;1.193.757
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M05;1.014.028
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M04;607.674
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M03;161.459
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M02;69.377
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2023M01;37.552
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M12;41.517
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M11;62.714
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M10;745.217
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M09;1.059.563
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M08;1.187.761
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M07;1.241.629
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M06;1.120.187
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M05;936.416
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M04;477.739
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M03;135.211
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M02;45.991
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2022M01;18.520
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M12;25.669
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M11;49.106
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M10;512.405
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M09;613.619
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M08;647.527
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M07;623.984
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M06;325.270
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M05;132.016
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M04;43.302
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M03;14.609
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M02;3.479
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2021M01;2.501
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M12;5.212
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M11;5.313
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M10;20.085
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M09;36.224
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M08;175.608
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M07;194.832
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M06;.
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M05;.
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M04;0
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M03;53.879
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M02;79.895
Baleares (Illes): Isla De Mallorca;Viajero;Residentes en el Extranjero;2020M01;37.890
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2025M03;326.156
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2025M02;106.825
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2025M01;61.143
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M12;67.395
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M11;70.117
Baleares (Illes): Isla De Mallorca;Pernoctaciones;Residentes en España;2024M10;316.722
