Comunidades y Ciudades Autónomas,Provincias,Periodo,Total,Periodo_dt
"Balears, Illes","Balears, Illes",2022-10,5.23,2022-10-01
"Balears, Illes","Balears, Illes",2022-09,5.36,2022-09-01
"Balears, Illes","Balears, Illes",2022-08,5.52,2022-08-01
"Balears, Illes","Balears, Illes",2022-07,5.45,2022-07-01
"Balears, Illes","Balears, Illes",2022-06,5.14,2022-06-01
"Balears, Illes","Balears, Illes",2022-05,4.63,2022-05-01
"Balears, Illes","Balears, Illes",2022-04,4.49,2022-04-01
Cataluña,Barcelona,2024-04,2.55,2024-04-01
Cataluña,Barcelona,2024-03,2.47,2024-03-01
Cataluña,Barcelona,2024-02,2.48,2024-02-01
Cataluña,Barcelona,2024-01,2.39,2024-01-01
Cataluña,Barcelona,2023-12,2.3,2023-12-01
Cataluña,Barcelona,2023-11,2.33,2023-11-01
Cataluña,Barcelona,2023-10,2.59,2023-10-01
Cataluña,Barcelona,2023-09,2.75,2023-09-01
Cataluña,Barcelona,2023-08,3.07,2023-08-01
Cataluña,Barcelona,2023-07,2.86,2023-07-01
Cataluña,Barcelona,2023-06,2.61,2023-06-01
Cataluña,Barcelona,2023-05,2.55,2023-05-01
Cataluña,Barcelona,2023-04,2.61,2023-04-01
Cataluña,Barcelona,2023-03,2.46,2023-03-01
Cataluña,Barcelona,2023-02,2.54,2023-02-01
Cataluña,Barcelona,2023-01,2.41,2023-01-01
Cataluña,Barcelona,2022-12,2.37,2022-12-01
Cataluña,Barcelona,2022-11,2.42,2022-11-01
Cataluña,Barcelona,2022-10,2.53,2022-10-01
Cataluña,Barcelona,2022-09,2.7,2022-09-01
Cataluña,Barcelona,2022-08,3.14,2022-08-01
Cataluña,Barcelona,2022-07,2.92,2022-07-01
Cataluña,Barcelona,2022-06,2.81,2022-06-01
Cataluña,Barcelona,2022-05,2.7,2022-05-01
Cataluña,Barcelona,2022-04,2.65,2022-04-01
Cataluña,Girona,2024-04,2.7,2024-04-01
Cataluña,Girona,2024-03,2.28,2024-03-01
Cataluña,Girona,2024-02,1.88,2024-02-01
Cataluña,Girona,2024-01,1.69,2024-01-01
Cataluña,Girona,2023-12,1.92,2023-12-01
Cataluña,Girona,2023-11,2.03,2023-11-01
Cataluña,Girona,2023-10,2.79,2023-10-01
Cataluña,Girona,2023-09,3.19,2023-09-01
Cataluña,Girona,2023-08,3.67,2023-08-01
Cataluña,Girona,2023-07,3.55,2023-07-01
Cataluña,Girona,2023-06,2.9,2023-06-01
Cataluña,Girona,2023-05,2.74,2023-05-01
Cataluña,Girona,2023-04,2.5,2023-04-01
Cataluña,Girona,2023-03,2.21,2023-03-01
Cataluña,Girona,2023-02,1.99,2023-02-01
Cataluña,Girona,2023-01,1.97,2023-01-01
Cataluña,Girona,2022-12,1.92,2022-12-01
Cataluña,Girona,2022-11,2.04,2022-11-01
Cataluña,Girona,2022-10,2.49,2022-10-01
Cataluña,Girona,2022-09,3.03,2022-09-01
Cataluña,Girona,2022-08,3.76,2022-08-01
