Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M05;193.531
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M04;91.696
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M03;84.848
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M02;32.579
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2021M01;31.937
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M12;41.608
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M11;26.377
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M10;103.386
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M09;360.339
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M08;836.400
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M07;424.641
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M06;78.548
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M05;1.788
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M04;0
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M03;71.518
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M02;172.439
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en España;2020M01;130.132
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2025M03;249.803
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2025M02;149.667
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2025M01;116.402
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M12;99.982
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M11;143.908
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M10;847.780
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M09;1.298.091
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M08;1.697.706
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M07;1.709.033
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M06;1.093.676
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M05;997.264
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M04;644.570
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M03;286.421
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M02;149.064
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2024M01;91.259
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M12;132.056
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M11;173.545
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M10;810.621
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M09;1.201.347
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M08;1.546.291
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M07;1.507.584
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M06;1.005.028
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M05;923.204
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M04;651.780
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M03;225.607
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M02;144.870
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2023M01;101.475
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M12;108.360
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M11;153.317
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M10;621.275
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M09;1.004.850
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M08;1.533.968
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M07;1.448.306
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M06;860.032
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M05;685.925
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M04;483.804
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M03;124.045
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M02;113.688
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2022M01;56.573
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M12;71.022
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M11;130.166
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M10;413.248
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M09;519.045
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M08;848.580
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M07;601.757
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M06;206.330
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M05;95.584
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M04;26.539
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M03;22.220
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M02;14.160
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2021M01;16.162
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M12;18.962
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M11;11.641
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M10;67.945
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M09;126.219
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M08;333.935
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M07;349.454
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M06;29.712
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M05;923
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M04;0
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M03;74.382
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M02;131.645
Total Nacional;09 Cataluña;17 Girona;Pernoctaciones;Total;Residentes en el Extranjero;2020M01;79.360
