Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2024M01;74.352
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M12;97.216
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M11;76.831
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M10;147.501
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M09;181.503
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M08;264.027
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M07;227.893
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M06;239.930
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M05;146.828
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M04;192.039
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M03;100.350
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M02;84.001
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2023M01;77.001
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M12;101.790
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M11;75.232
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M10;148.190
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M09;176.025
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M08;273.522
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M07;244.445
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M06;255.088
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M05;148.939
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M04;172.924
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M03;94.875
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M02;92.785
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2022M01;81.482
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M12;105.791
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M11;76.945
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M10;151.193
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M09;187.260
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M08;350.951
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M07;268.879
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M06;214.970
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M05;121.192
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M04;52.793
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M03;54.216
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M02;20.307
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2021M01;19.655
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M12;25.094
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M11;14.092
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M10;59.494
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M09;178.692
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M08;324.492
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M07;197.564
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M06;45.154
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M05;1.002
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M04;0
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M03;38.205
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M02;93.527
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en España;2020M01;68.163
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2025M03;100.833
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2025M02;73.192
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2025M01;59.523
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M12;57.552
Total Nacional;09 Cataluña;17 Girona;Viajero;Total;Residentes en el Extranjero;2024M11;71.290
