Países	Viajeros y pernoctaciones	Periodo	Total
Finlandia	Pernoctaciones	2020M07	10665
Finlandia	Pernoctaciones	2020M06	.
Finlandia	Pernoctaciones	2020M05	.
Finlandia	Pernoctaciones	2020M04	0
Finlandia	Pernoctaciones	2020M03	120603
Finlandia	Pernoctaciones	2020M02	204385
Finlandia	Pernoctaciones	2020M01	190258
Finlandia	Pernoctaciones	2019M12	202890
Finlandia	Pernoctaciones	2019M11	241854
Finlandia	Pernoctaciones	2019M10	214246
Finlandia	Pernoctaciones	2019M09	109482
Finlandia	Pernoctaciones	2019M08	86727
Finlandia	Pernoctaciones	2019M07	118991
Finlandia	Pernoctaciones	2019M06	123849
Finlandia	Pernoctaciones	2019M05	126669
Finlandia	Pernoctaciones	2019M04	176762
Finlandia	Pernoctaciones	2019M03	242644
Finlandia	Pernoctaciones	2019M02	200791
Finlandia	Pernoctaciones	2019M01	179145
Finlandia	Pernoctaciones	2018M12	212044
Finlandia	Pernoctaciones	2018M11	250466
Finlandia	Pernoctaciones	2018M10	227312
Finlandia	Pernoctaciones	2018M09	113730
Finlandia	Pernoctaciones	2018M08	84757
Finlandia	Pernoctaciones	2018M07	142762
Finlandia	Pernoctaciones	2018M06	130965
Finlandia	Pernoctaciones	2018M05	125215
Finlandia	Pernoctaciones	2018M04	192398
Finlandia	Pernoctaciones	2018M03	244066
Finlandia	Pernoctaciones	2018M02	205868
Finlandia	Pernoctaciones	2018M01	195262
Finlandia	Pernoctaciones	2017M12	211147
Finlandia	Pernoctaciones	2017M11	243722
Finlandia	Pernoctaciones	2017M10	223679
Finlandia	Pernoctaciones	2017M09	109753
Finlandia	Pernoctaciones	2017M08	79155
Finlandia	Pernoctaciones	2017M07	110639
Finlandia	Pernoctaciones	2017M06	115755
Finlandia	Pernoctaciones	2017M05	111179
Finlandia	Pernoctaciones	2017M04	175169
Finlandia	Pernoctaciones	2017M03	223071
Finlandia	Pernoctaciones	2017M02	193576
Finlandia	Pernoctaciones	2017M01	175705
Finlandia	Pernoctaciones	2016M12	184896
Finlandia	Pernoctaciones	2016M11	207697
Finlandia	Pernoctaciones	2016M10	178822
Finlandia	Pernoctaciones	2016M09	81416
Finlandia	Pernoctaciones	2016M08	74187
Finlandia	Pernoctaciones	2016M07	105118
Finlandia	Pernoctaciones	2016M06	100158
Finlandia	Pernoctaciones	2016M05	92579
Finlandia	Pernoctaciones	2016M04	141853
Finlandia	Pernoctaciones	2016M03	200429
Finlandia	Pernoctaciones	2016M02	174064
Finlandia	Pernoctaciones	2016M01	161873
Finlandia	Pernoctaciones	2015M12	166969
Finlandia	Pernoctaciones	2015M11	197045
Finlandia	Pernoctaciones	2015M10	171521
Finlandia	Pernoctaciones	2015M09	87886
Finlandia	Pernoctaciones	2015M08	75074
Finlandia	Pernoctaciones	2015M07	137571
Finlandia	Pernoctaciones	2015M06	139480
Finlandia	Pernoctaciones	2015M05	101978
Finlandia	Pernoctaciones	2015M04	152979
Finlandia	Pernoctaciones	2015M03	197561
Finlandia	Pernoctaciones	2015M02	167524
Finlandia	Pernoctaciones	2015M01	160446
Finlandia	Pernoctaciones	2014M12	180206
Finlandia	Pernoctaciones	2014M11	196292
Finlandia	Pernoctaciones	2014M10	179431
Finlandia	Pernoctaciones	2014M09	112498
Finlandia	Pernoctaciones	2014M08	102934
Finlandia	Pernoctaciones	2014M07	126290
Finlandia	Pernoctaciones	2014M06	105538
Finlandia	Pernoctaciones	2014M05	115333
Finlandia	Pernoctaciones	2014M04	178497
Finlandia	Pernoctaciones	2014M03	223839
Finlandia	Pernoctaciones	2014M02	196737
Finlandia	Pernoctaciones	2014M01	200068
Finlandia	Pernoctaciones	2013M12	185970
Finlandia	Pernoctaciones	2013M11	189300
Finlandia	Pernoctaciones	2013M10	174736
Finlandia	Pernoctaciones	2013M09	84768
Finlandia	Pernoctaciones	2013M08	73049
Finlandia	Pernoctaciones	2013M07	121937
Finlandia	Pernoctaciones	2013M06	110083
Finlandia	Pernoctaciones	2013M05	93075
Finlandia	Pernoctaciones	2013M04	113773
Finlandia	Pernoctaciones	2013M03	179362
Finlandia	Pernoctaciones	2013M02	153856
Finlandia	Pernoctaciones	2013M01	147308
Finlandia	Pernoctaciones	2012M12	151717
Finlandia	Pernoctaciones	2012M11	164776
Finlandia	Pernoctaciones	2012M10	143824
Finlandia	Pernoctaciones	2012M09	68122
Finlandia	Pernoctaciones	2012M08	58275
Finlandia	Pernoctaciones	2012M07	89001
Finlandia	Pernoctaciones	2012M06	101440
Finlandia	Pernoctaciones	2012M05	77202
Finlandia	Pernoctaciones	2012M04	133110
Finlandia	Pernoctaciones	2012M03	153181
Finlandia	Pernoctaciones	2012M02	141379
Finlandia	Pernoctaciones	2012M01	126816
Finlandia	Pernoctaciones	2011M12	133115
Finlandia	Pernoctaciones	2011M11	149016
Finlandia	Pernoctaciones	2011M10	130702
Finlandia	Pernoctaciones	2011M09	58452
Finlandia	Pernoctaciones	2011M08	54284
Finlandia	Pernoctaciones	2011M07	77925
Finlandia	Pernoctaciones	2011M06	67805
Finlandia	Pernoctaciones	2011M05	69270
Finlandia	Pernoctaciones	2011M04	126032
Finlandia	Pernoctaciones	2011M03	167817
Finlandia	Pernoctaciones	2011M02	148722
Finlandia	Pernoctaciones	2011M01	131687
Finlandia	Pernoctaciones	2010M12	120339
Finlandia	Pernoctaciones	2010M11	144705
Finlandia	Pernoctaciones	2010M10	124528
Finlandia	Pernoctaciones	2010M09	45386
Finlandia	Pernoctaciones	2010M08	47659
Finlandia	Pernoctaciones	2010M07	77543
Finlandia	Pernoctaciones	2010M06	70965
Finlandia	Pernoctaciones	2010M05	63543
Finlandia	Pernoctaciones	2010M04	103570
Finlandia	Pernoctaciones	2010M03	118964
Finlandia	Pernoctaciones	2010M02	121197
Finlandia	Pernoctaciones	2010M01	99889
Finlandia	Pernoctaciones	2009M12	100511
Finlandia	Pernoctaciones	2009M11	112450
Finlandia	Pernoctaciones	2009M10	89426
Finlandia	Pernoctaciones	2009M09	61759
Finlandia	Pernoctaciones	2009M08	51503
Finlandia	Pernoctaciones	2009M07	77003
Finlandia	Pernoctaciones	2009M06	65755
Finlandia	Pernoctaciones	2009M05	65275
Finlandia	Pernoctaciones	2009M04	98054
Finlandia	Pernoctaciones	2009M03	116345
Finlandia	Pernoctaciones	2009M02	106832
Finlandia	Pernoctaciones	2009M01	107473
Finlandia	Pernoctaciones	2008M12	111307
Finlandia	Pernoctaciones	2008M11	114409
Finlandia	Pernoctaciones	2008M10	96636
Finlandia	Pernoctaciones	2008M09	52565
Finlandia	Pernoctaciones	2008M08	46749
Finlandia	Pernoctaciones	2008M07	69325
Finlandia	Pernoctaciones	2008M06	56046
Finlandia	Pernoctaciones	2008M05	56921
Finlandia	Pernoctaciones	2008M04	89837
Finlandia	Pernoctaciones	2008M03	120598
Finlandia	Pernoctaciones	2008M02	100720
Finlandia	Pernoctaciones	2008M01	92184
Finlandia	Pernoctaciones	2007M12	106578
Finlandia	Pernoctaciones	2007M11	106245
Finlandia	Pernoctaciones	2007M10	86723
Finlandia	Pernoctaciones	2007M09	45557
Finlandia	Pernoctaciones	2007M08	30890
Finlandia	Pernoctaciones	2007M07	64516
Finlandia	Pernoctaciones	2007M06	75771
Finlandia	Pernoctaciones	2007M05	43529
Finlandia	Pernoctaciones	2007M04	70840
Finlandia	Pernoctaciones	2007M03	98711
Finlandia	Pernoctaciones	2007M02	87944
Finlandia	Pernoctaciones	2007M01	89815
Finlandia	Pernoctaciones	2006M12	85516
Finlandia	Pernoctaciones	2006M11	93144
Finlandia	Pernoctaciones	2006M10	70271
Finlandia	Pernoctaciones	2006M09	35514
Finlandia	Pernoctaciones	2006M08	26812
Finlandia	Pernoctaciones	2006M07	38741
Finlandia	Pernoctaciones	2006M06	39649
Finlandia	Pernoctaciones	2006M05	42919
Finlandia	Pernoctaciones	2006M04	68739
Finlandia	Pernoctaciones	2006M03	98276
Finlandia	Pernoctaciones	2006M02	86141
Finlandia	Pernoctaciones	2006M01	89369
Finlandia	Pernoctaciones	2005M12	83620
Finlandia	Pernoctaciones	2005M11	105877
Finlandia	Pernoctaciones	2005M10	56532
Finlandia	Pernoctaciones	2005M09	37985
Finlandia	Pernoctaciones	2005M08	21110
Finlandia	Pernoctaciones	2005M07	33068
Finlandia	Pernoctaciones	2005M06	36322
Finlandia	Pernoctaciones	2005M05	37939
Finlandia	Pernoctaciones	2005M04	48198
Finlandia	Pernoctaciones	2005M03	86892
Finlandia	Pernoctaciones	2005M02	72330
Finlandia	Pernoctaciones	2005M01	71720
Finlandia	Pernoctaciones	2004M12	73151
Finlandia	Pernoctaciones	2004M11	73298
Finlandia	Pernoctaciones	2004M10	58109
Finlandia	Pernoctaciones	2004M09	29286
Finlandia	Pernoctaciones	2004M08	19794
Finlandia	Pernoctaciones	2004M07	33373
Finlandia	Pernoctaciones	2004M06	34193
Finlandia	Pernoctaciones	2004M05	32036
Finlandia	Pernoctaciones	2004M04	56671
Finlandia	Pernoctaciones	2004M03	70816
Finlandia	Pernoctaciones	2004M02	77007
Finlandia	Pernoctaciones	2004M01	71901
Finlandia	Pernoctaciones	2003M12	67883
Finlandia	Pernoctaciones	2003M11	71491
Finlandia	Pernoctaciones	2003M10	51082
Finlandia	Pernoctaciones	2003M09	33168
Finlandia	Pernoctaciones	2003M08	27129
Finlandia	Pernoctaciones	2003M07	31869
Finlandia	Pernoctaciones	2003M06	40887
Finlandia	Pernoctaciones	2003M05	35184
Finlandia	Pernoctaciones	2003M04	53861
Finlandia	Pernoctaciones	2003M03	74603
Finlandia	Pernoctaciones	2003M02	68701
Finlandia	Pernoctaciones	2003M01	67430
Finlandia	Pernoctaciones	2002M12	71173
Finlandia	Pernoctaciones	2002M11	63222
Finlandia	Pernoctaciones	2002M10	47118
Finlandia	Pernoctaciones	2002M09	28447
Finlandia	Pernoctaciones	2002M08	33933
Finlandia	Pernoctaciones	2002M07	36246
Finlandia	Pernoctaciones	2002M06	42920
Finlandia	Pernoctaciones	2002M05	41650
Finlandia	Pernoctaciones	2002M04	64810
Finlandia	Pernoctaciones	2002M03	81144
Finlandia	Pernoctaciones	2002M02	68303
Finlandia	Pernoctaciones	2002M01	67384
Finlandia	Pernoctaciones	2001M12	67533
Finlandia	Pernoctaciones	2001M11	72112
Finlandia	Pernoctaciones	2001M10	63096
Finlandia	Pernoctaciones	2001M09	43078
Finlandia	Pernoctaciones	2001M08	32176
Finlandia	Pernoctaciones	2001M07	37635
Finlandia	Pernoctaciones	2001M06	36342
Finlandia	Pernoctaciones	2001M05	38700
Finlandia	Pernoctaciones	2001M04	75260
Finlandia	Pernoctaciones	2001M03	90854
Finlandia	Pernoctaciones	2001M02	68397
Finlandia	Pernoctaciones	2001M01	69821
Finlandia	Pernoctaciones	2000M12	73556
Finlandia	Pernoctaciones	2000M11	76231
Finlandia	Pernoctaciones	2000M10	54227
Finlandia	Pernoctaciones	2000M09	42420
Finlandia	Pernoctaciones	2000M08	35115
Finlandia	Pernoctaciones	2000M07	39534
Finlandia	Pernoctaciones	2000M06	42637
Finlandia	Pernoctaciones	2000M05	51225
Finlandia	Pernoctaciones	2000M04	60705
Finlandia	Pernoctaciones	2000M03	87532
Finlandia	Pernoctaciones	2000M02	73053
Finlandia	Pernoctaciones	2000M01	71977
Finlandia	Pernoctaciones	1999M12	67885
Finlandia	Pernoctaciones	1999M11	78052
Finlandia	Pernoctaciones	1999M10	50978
Finlandia	Pernoctaciones	1999M09	37887
Finlandia	Pernoctaciones	1999M08	35304
Finlandia	Pernoctaciones	1999M07	40428
Finlandia	Pernoctaciones	1999M06	36262
Finlandia	Pernoctaciones	1999M05	68838
Finlandia	Pernoctaciones	1999M04	60578
Finlandia	Pernoctaciones	1999M03	77852
Finlandia	Pernoctaciones	1999M02	73208
Finlandia	Pernoctaciones	1999M01	86119
Francia	Viajero	2025M03	325921
Francia	Viajero	2025M02	314559
Francia	Viajero	2025M01	250257
Francia	Viajero	2024M12	282238
Francia	Viajero	2024M11	292503
Francia	Viajero	2024M10	662396
Francia	Viajero	2024M09	637240
Francia	Viajero	2024M08	1062651
Francia	Viajero	2024M07	726109
Francia	Viajero	2024M06	567874
Francia	Viajero	2024M05	814599
Francia	Viajero	2024M04	627669
Francia	Viajero	2024M03	344693
Francia	Viajero	2024M02	304882
Francia	Viajero	2024M01	243554
Francia	Viajero	2023M12	284341
Francia	Viajero	2023M11	279934
Francia	Viajero	2023M10	621677
Francia	Viajero	2023M09	625640
Francia	Viajero	2023M08	1013707
Francia	Viajero	2023M07	737817
Francia	Viajero	2023M06	554215
Francia	Viajero	2023M05	770117
Francia	Viajero	2023M04	595525
Francia	Viajero	2023M03	316646
Francia	Viajero	2023M02	295528
Francia	Viajero	2023M01	224999
Francia	Viajero	2022M12	272172
Francia	Viajero	2022M11	283356
Francia	Viajero	2022M10	598164
Francia	Viajero	2022M09	594211
Francia	Viajero	2022M08	1054575
Francia	Viajero	2022M07	748958
Francia	Viajero	2022M06	557755
Francia	Viajero	2022M05	688452
Francia	Viajero	2022M04	509757
Francia	Viajero	2022M03	276873
Francia	Viajero	2022M02	281232
Francia	Viajero	2022M01	165410
Francia	Viajero	2021M12	236273
Francia	Viajero	2021M11	288439
Francia	Viajero	2021M10	507695
Francia	Viajero	2021M09	451146
Francia	Viajero	2021M08	790735
Francia	Viajero	2021M07	470256
Francia	Viajero	2021M06	268061
Francia	Viajero	2021M05	199406
Francia	Viajero	2021M04	67278
Francia	Viajero	2021M03	58727
Francia	Viajero	2021M02	40762
Francia	Viajero	2021M01	40133
Francia	Viajero	2020M12	45692
Francia	Viajero	2020M11	25151
Francia	Viajero	2020M10	141311
Francia	Viajero	2020M09	166701
Francia	Viajero	2020M08	370701
Francia	Viajero	2020M07	235997
Francia	Viajero	2020M06	.
Francia	Viajero	2020M05	.
Francia	Viajero	2020M04	0
Francia	Viajero	2020M03	123112
Francia	Viajero	2020M02	298092
Francia	Viajero	2020M01	230833
Francia	Viajero	2019M12	253810
Francia	Viajero	2019M11	272545
Francia	Viajero	2019M10	564878
Francia	Viajero	2019M09	583811
Francia	Viajero	2019M08	1004343
Francia	Viajero	2019M07	659982
Francia	Viajero	2019M06	550865
Francia	Viajero	2019M05	671626
Francia	Viajero	2019M04	559413
Francia	Viajero	2019M03	320467
Francia	Viajero	2019M02	280428
Francia	Viajero	2019M01	228378
Francia	Viajero	2018M12	244456
Francia	Viajero	2018M11	246356
Francia	Viajero	2018M10	560820
Francia	Viajero	2018M09	602357
Francia	Viajero	2018M08	971575
Francia	Viajero	2018M07	669831
Francia	Viajero	2018M06	541903
Francia	Viajero	2018M05	716913
Francia	Viajero	2018M04	563625
Francia	Viajero	2018M03	303740
Francia	Viajero	2018M02	252509
Francia	Viajero	2018M01	227061
Francia	Viajero	2017M12	230229
Francia	Viajero	2017M11	239109
Francia	Viajero	2017M10	529492
Francia	Viajero	2017M09	567323
Francia	Viajero	2017M08	893750
Francia	Viajero	2017M07	687186
Francia	Viajero	2017M06	491556
Francia	Viajero	2017M05	645100
Francia	Viajero	2017M04	607677
Francia	Viajero	2017M03	309153
Francia	Viajero	2017M02	266165
Francia	Viajero	2017M01	204236
Francia	Viajero	2016M12	236704
Francia	Viajero	2016M11	240743
Francia	Viajero	2016M10	535620
Francia	Viajero	2016M09	570847
Francia	Viajero	2016M08	921864
Francia	Viajero	2016M07	686351
Francia	Viajero	2016M06	522987
Francia	Viajero	2016M05	652775
Francia	Viajero	2016M04	569674
Francia	Viajero	2016M03	273242
Francia	Viajero	2016M02	248426
Francia	Viajero	2016M01	187737
Francia	Viajero	2015M12	224166
Francia	Viajero	2015M11	222337
Francia	Viajero	2015M10	510420
Francia	Viajero	2015M09	518765
Francia	Viajero	2015M08	923014
Francia	Viajero	2015M07	599682
Francia	Viajero	2015M06	461609
Francia	Viajero	2015M05	680516
Francia	Viajero	2015M04	532103
Francia	Viajero	2015M03	239197
Francia	Viajero	2015M02	223355
Francia	Viajero	2015M01	174253
Francia	Viajero	2014M12	223036
Francia	Viajero	2014M11	204242
Francia	Viajero	2014M10	455348
Francia	Viajero	2014M09	489173
Francia	Viajero	2014M08	865785
Francia	Viajero	2014M07	514975
Francia	Viajero	2014M06	433804
Francia	Viajero	2014M05	615520
Francia	Viajero	2014M04	432322
Francia	Viajero	2014M03	247575
Francia	Viajero	2014M02	184806
Francia	Viajero	2014M01	145014
Francia	Viajero	2013M12	199921
Francia	Viajero	2013M11	195907
Francia	Viajero	2013M10	419349
Francia	Viajero	2013M09	453004
Francia	Viajero	2013M08	792919
Francia	Viajero	2013M07	468572
Francia	Viajero	2013M06	403419
Francia	Viajero	2013M05	579905
Francia	Viajero	2013M04	462180
Francia	Viajero	2013M03	253605
Francia	Viajero	2013M02	171324
Francia	Viajero	2013M01	145917
Francia	Viajero	2012M12	192672
Francia	Viajero	2012M11	223113
Francia	Viajero	2012M10	348341
Francia	Viajero	2012M09	440378
Francia	Viajero	2012M08	706781
Francia	Viajero	2012M07	472327
Francia	Viajero	2012M06	355629
Francia	Viajero	2012M05	487742
Francia	Viajero	2012M04	459388
Francia	Viajero	2012M03	236472
Francia	Viajero	2012M02	195911
Francia	Viajero	2012M01	141039
Francia	Viajero	2011M12	186221
Francia	Viajero	2011M11	198724
Francia	Viajero	2011M10	401769
Francia	Viajero	2011M09	405316
Francia	Viajero	2011M08	638044
Francia	Viajero	2011M07	503934
Francia	Viajero	2011M06	413310
Francia	Viajero	2011M05	464436
Francia	Viajero	2011M04	441539
Francia	Viajero	2011M03	238351
Francia	Viajero	2011M02	202061
Francia	Viajero	2011M01	133455
Francia	Viajero	2010M12	170704
Francia	Viajero	2010M11	201266
Francia	Viajero	2010M10	364203
Francia	Viajero	2010M09	374400
Francia	Viajero	2010M08	615444
Francia	Viajero	2010M07	451610
Francia	Viajero	2010M06	333371
Francia	Viajero	2010M05	461000
Francia	Viajero	2010M04	413312
Francia	Viajero	2010M03	192739
Francia	Viajero	2010M02	167175
Francia	Viajero	2010M01	119650
Francia	Viajero	2009M12	164766
Francia	Viajero	2009M11	158289
Francia	Viajero	2009M10	323473
Francia	Viajero	2009M09	339074
Francia	Viajero	2009M08	567620
Francia	Viajero	2009M07	381479
Francia	Viajero	2009M06	298896
Francia	Viajero	2009M05	450502
Francia	Viajero	2009M04	367968
Francia	Viajero	2009M03	175746
Francia	Viajero	2009M02	153681
Francia	Viajero	2009M01	112892
Francia	Viajero	2008M12	140075
Francia	Viajero	2008M11	161780
Francia	Viajero	2008M10	319209
Francia	Viajero	2008M09	356412
Francia	Viajero	2008M08	578803
Francia	Viajero	2008M07	378762
Francia	Viajero	2008M06	308023
Francia	Viajero	2008M05	448867
Francia	Viajero	2008M04	378375
Francia	Viajero	2008M03	203205
Francia	Viajero	2008M02	173947
Francia	Viajero	2008M01	131853
Francia	Viajero	2007M12	157500
Francia	Viajero	2007M11	186914
Francia	Viajero	2007M10	314640
Francia	Viajero	2007M09	361586
Francia	Viajero	2007M08	550214
Francia	Viajero	2007M07	368294
Francia	Viajero	2007M06	311282
Francia	Viajero	2007M05	405204
Francia	Viajero	2007M04	361726
Francia	Viajero	2007M03	197904
Francia	Viajero	2007M02	154541
Francia	Viajero	2007M01	125176
Francia	Viajero	2006M12	139506
Francia	Viajero	2006M11	164976
Francia	Viajero	2006M10	324803
Francia	Viajero	2006M09	343601
Francia	Viajero	2006M08	478429
Francia	Viajero	2006M07	356432
Francia	Viajero	2006M06	315051
Francia	Viajero	2006M05	434297
Francia	Viajero	2006M04	370197
Francia	Viajero	2006M03	183820
Francia	Viajero	2006M02	162699
Francia	Viajero	2006M01	113506
Francia	Viajero	2005M12	125659
Francia	Viajero	2005M11	157192
Francia	Viajero	2005M10	299825
Francia	Viajero	2005M09	318981
Francia	Viajero	2005M08	433693
Francia	Viajero	2005M07	326555
Francia	Viajero	2005M06	278330
Francia	Viajero	2005M05	380039
Francia	Viajero	2005M04	320238
Francia	Viajero	2005M03	158937
Francia	Viajero	2005M02	140243
Francia	Viajero	2005M01	97682
Francia	Viajero	2004M12	121014
Francia	Viajero	2004M11	134319
Francia	Viajero	2004M10	297375
Francia	Viajero	2004M09	300399
Francia	Viajero	2004M08	396032
Francia	Viajero	2004M07	280199
Francia	Viajero	2004M06	259016
Francia	Viajero	2004M05	398629
Francia	Viajero	2004M04	335012
Francia	Viajero	2004M03	169206
Francia	Viajero	2004M02	134909
Francia	Viajero	2004M01	95252
Francia	Viajero	2003M12	116318
Francia	Viajero	2003M11	129507
Francia	Viajero	2003M10	300219
Francia	Viajero	2003M09	302626
Francia	Viajero	2003M08	405438
Francia	Viajero	2003M07	296057
Francia	Viajero	2003M06	305433
Francia	Viajero	2003M05	402704
Francia	Viajero	2003M04	322079
Francia	Viajero	2003M03	169301
Francia	Viajero	2003M02	130503
Francia	Viajero	2003M01	90571
Francia	Viajero	2002M12	107988
Francia	Viajero	2002M11	127075
Francia	Viajero	2002M10	282380
Francia	Viajero	2002M09	291381
Francia	Viajero	2002M08	382441
Francia	Viajero	2002M07	290209
Francia	Viajero	2002M06	248903
Francia	Viajero	2002M05	375045
Francia	Viajero	2002M04	354671
Francia	Viajero	2002M03	166189
Francia	Viajero	2002M02	138940
Francia	Viajero	2002M01	91393
Francia	Viajero	2001M12	98882
Francia	Viajero	2001M11	122718
Francia	Viajero	2001M10	254933
Francia	Viajero	2001M09	288412
Francia	Viajero	2001M08	378743
Francia	Viajero	2001M07	270146
Francia	Viajero	2001M06	251289
Francia	Viajero	2001M05	333378
Francia	Viajero	2001M04	286225
Francia	Viajero	2001M03	144313
Francia	Viajero	2001M02	127598
Francia	Viajero	2001M01	85847
Francia	Viajero	2000M12	96309
Francia	Viajero	2000M11	104975
Francia	Viajero	2000M10	223893
Francia	Viajero	2000M09	263726
Francia	Viajero	2000M08	343549
Francia	Viajero	2000M07	259515
Francia	Viajero	2000M06	259574
Francia	Viajero	2000M05	323064
Francia	Viajero	2000M04	279129
Francia	Viajero	2000M03	138292
Francia	Viajero	2000M02	120737
Francia	Viajero	2000M01	73724
Francia	Viajero	1999M12	90243
Francia	Viajero	1999M11	122371
Francia	Viajero	1999M10	221051
Francia	Viajero	1999M09	259581
Francia	Viajero	1999M08	345690
Francia	Viajero	1999M07	279128
Francia	Viajero	1999M06	278513
Francia	Viajero	1999M05	317144
Francia	Viajero	1999M04	287266
Francia	Viajero	1999M03	115433
Francia	Viajero	1999M02	100081
Francia	Viajero	1999M01	70524
Francia	Pernoctaciones	2025M03	878490
Francia	Pernoctaciones	2025M02	863678
Francia	Pernoctaciones	2025M01	712226
Francia	Pernoctaciones	2024M12	700488
Francia	Pernoctaciones	2024M11	738702
Francia	Pernoctaciones	2024M10	1966848
Francia	Pernoctaciones	2024M09	2038975
Francia	Pernoctaciones	2024M08	3678715
Francia	Pernoctaciones	2024M07	2447036
Francia	Pernoctaciones	2024M06	1791538
Francia	Pernoctaciones	2024M05	2460504
Francia	Pernoctaciones	2024M04	1811510
Francia	Pernoctaciones	2024M03	947890
Francia	Pernoctaciones	2024M02	822411
Francia	Pernoctaciones	2024M01	672760
Francia	Pernoctaciones	2023M12	703630
Francia	Pernoctaciones	2023M11	741958
Francia	Pernoctaciones	2023M10	1847246
Francia	Pernoctaciones	2023M09	1963100
Francia	Pernoctaciones	2023M08	3530465
Francia	Pernoctaciones	2023M07	2378675
Francia	Pernoctaciones	2023M06	1665248
Francia	Pernoctaciones	2023M05	2214128
Francia	Pernoctaciones	2023M04	1737664
Francia	Pernoctaciones	2023M03	840882
Francia	Pernoctaciones	2023M02	830127
Francia	Pernoctaciones	2023M01	634540
Francia	Pernoctaciones	2022M12	713753
Francia	Pernoctaciones	2022M11	732149
Francia	Pernoctaciones	2022M10	1745157
Francia	Pernoctaciones	2022M09	1837514
Francia	Pernoctaciones	2022M08	3699046
Francia	Pernoctaciones	2022M07	2382480
Francia	Pernoctaciones	2022M06	1651129
Francia	Pernoctaciones	2022M05	1963996
Francia	Pernoctaciones	2022M04	1486007
Francia	Pernoctaciones	2022M03	767468
Francia	Pernoctaciones	2022M02	782600
Francia	Pernoctaciones	2022M01	445257
Francia	Pernoctaciones	2021M12	636407
Francia	Pernoctaciones	2021M11	787919
Francia	Pernoctaciones	2021M10	1457189
Francia	Pernoctaciones	2021M09	1447504
Francia	Pernoctaciones	2021M08	3026237
Francia	Pernoctaciones	2021M07	1596732
Francia	Pernoctaciones	2021M06	762366
Francia	Pernoctaciones	2021M05	509051
Francia	Pernoctaciones	2021M04	172486
Francia	Pernoctaciones	2021M03	149682
Francia	Pernoctaciones	2021M02	109628
Francia	Pernoctaciones	2021M01	100504
Francia	Pernoctaciones	2020M12	107290
Francia	Pernoctaciones	2020M11	56547
Francia	Pernoctaciones	2020M10	362132
Francia	Pernoctaciones	2020M09	430119
Francia	Pernoctaciones	2020M08	1185204
Francia	Pernoctaciones	2020M07	627180
Francia	Pernoctaciones	2020M06	.
Francia	Pernoctaciones	2020M05	.
Francia	Pernoctaciones	2020M04	0
Francia	Pernoctaciones	2020M03	353457
Francia	Pernoctaciones	2020M02	781690
Francia	Pernoctaciones	2020M01	639521
Francia	Pernoctaciones	2019M12	629209
Francia	Pernoctaciones	2019M11	670376
Francia	Pernoctaciones	2019M10	1663413
Francia	Pernoctaciones	2019M09	1874016
Francia	Pernoctaciones	2019M08	3515752
Francia	Pernoctaciones	2019M07	2214272
Francia	Pernoctaciones	2019M06	1705922
Francia	Pernoctaciones	2019M05	1948573
Francia	Pernoctaciones	2019M04	1619949
Francia	Pernoctaciones	2019M03	836118
Francia	Pernoctaciones	2019M02	756204
Francia	Pernoctaciones	2019M01	634498
Francia	Pernoctaciones	2018M12	597195
Francia	Pernoctaciones	2018M11	621364
Francia	Pernoctaciones	2018M10	1731993
Francia	Pernoctaciones	2018M09	1857942
Francia	Pernoctaciones	2018M08	3366130
Francia	Pernoctaciones	2018M07	2231736
Francia	Pernoctaciones	2018M06	1629540
Francia	Pernoctaciones	2018M05	2158727
Francia	Pernoctaciones	2018M04	1610811
Francia	Pernoctaciones	2018M03	817635
Francia	Pernoctaciones	2018M02	696580
Francia	Pernoctaciones	2018M01	636950
Francia	Pernoctaciones	2017M12	569426
Francia	Pernoctaciones	2017M11	624255
Francia	Pernoctaciones	2017M10	1590921
Francia	Pernoctaciones	2017M09	1798954
Francia	Pernoctaciones	2017M08	3073400
Francia	Pernoctaciones	2017M07	2169004
Francia	Pernoctaciones	2017M06	1541498
Francia	Pernoctaciones	2017M05	1907221
Francia	Pernoctaciones	2017M04	1775276
Francia	Pernoctaciones	2017M03	837391
Francia	Pernoctaciones	2017M02	761271
Francia	Pernoctaciones	2017M01	571545
Francia	Pernoctaciones	2016M12	639906
Francia	Pernoctaciones	2016M11	619679
Francia	Pernoctaciones	2016M10	1709345
Francia	Pernoctaciones	2016M09	1872300
Francia	Pernoctaciones	2016M08	3296911
Francia	Pernoctaciones	2016M07	2294437
Francia	Pernoctaciones	2016M06	1653143
Francia	Pernoctaciones	2016M05	1953669
Francia	Pernoctaciones	2016M04	1780826
Francia	Pernoctaciones	2016M03	784240
Francia	Pernoctaciones	2016M02	716373
Francia	Pernoctaciones	2016M01	568251
Francia	Pernoctaciones	2015M12	588843
Francia	Pernoctaciones	2015M11	576345
Francia	Pernoctaciones	2015M10	1561304
Francia	Pernoctaciones	2015M09	1701790
Francia	Pernoctaciones	2015M08	3287796
Francia	Pernoctaciones	2015M07	2060576
Francia	Pernoctaciones	2015M06	1447298
Francia	Pernoctaciones	2015M05	2025645
Francia	Pernoctaciones	2015M04	1539301
Francia	Pernoctaciones	2015M03	704031
Francia	Pernoctaciones	2015M02	654388
Francia	Pernoctaciones	2015M01	520010
Francia	Pernoctaciones	2014M12	548656
