Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Periodo	Total
Total Nacional	01 Andalucía	23 Jaén	2011M04	1,7
Total Nacional	01 Andalucía	23 Jaén	2011M03	1,62
Total Nacional	01 Andalucía	23 Jaén	2011M02	1,6
Total Nacional	01 Andalucía	23 Jaén	2011M01	1,63
Total Nacional	01 Andalucía	23 Jaén	2010M12	1,69
Total Nacional	01 Andalucía	23 Jaén	2010M11	1,65
Total Nacional	01 Andalucía	23 Jaén	2010M10	1,67
Total Nacional	01 Andalucía	23 Jaén	2010M09	1,72
Total Nacional	01 Andalucía	23 Jaén	2010M08	1,93
Total Nacional	01 Andalucía	23 Jaén	2010M07	1,84
Total Nacional	01 Andalucía	23 Jaén	2010M06	1,69
Total Nacional	01 Andalucía	23 Jaén	2010M05	1,6
Total Nacional	01 Andalucía	23 Jaén	2010M04	1,8
Total Nacional	01 Andalucía	23 Jaén	2010M03	1,63
Total Nacional	01 Andalucía	23 Jaén	2010M02	1,59
Total Nacional	01 Andalucía	23 Jaén	2010M01	1,66
Total Nacional	01 Andalucía	23 Jaén	2009M12	1,62
Total Nacional	01 Andalucía	23 Jaén	2009M11	1,7
Total Nacional	01 Andalucía	23 Jaén	2009M10	1,69
Total Nacional	01 Andalucía	23 Jaén	2009M09	1,64
Total Nacional	01 Andalucía	23 Jaén	2009M08	1,87
Total Nacional	01 Andalucía	23 Jaén	2009M07	1,9
Total Nacional	01 Andalucía	23 Jaén	2009M06	1,63
Total Nacional	01 Andalucía	23 Jaén	2009M05	1,64
Total Nacional	01 Andalucía	23 Jaén	2009M04	1,72
Total Nacional	01 Andalucía	23 Jaén	2009M03	1,69
Total Nacional	01 Andalucía	23 Jaén	2009M02	1,63
Total Nacional	01 Andalucía	23 Jaén	2009M01	1,57
Total Nacional	01 Andalucía	23 Jaén	2008M12	1,8
Total Nacional	01 Andalucía	23 Jaén	2008M11	1,78
Total Nacional	01 Andalucía	23 Jaén	2008M10	1,63
Total Nacional	01 Andalucía	23 Jaén	2008M09	1,7
Total Nacional	01 Andalucía	23 Jaén	2008M08	1,92
Total Nacional	01 Andalucía	23 Jaén	2008M07	1,91
Total Nacional	01 Andalucía	23 Jaén	2008M06	1,63
Total Nacional	01 Andalucía	23 Jaén	2008M05	1,65
Total Nacional	01 Andalucía	23 Jaén	2008M04	1,69
Total Nacional	01 Andalucía	23 Jaén	2008M03	1,83
Total Nacional	01 Andalucía	23 Jaén	2008M02	1,63
Total Nacional	01 Andalucía	23 Jaén	2008M01	1,59
Total Nacional	01 Andalucía	23 Jaén	2007M12	1,87
Total Nacional	01 Andalucía	23 Jaén	2007M11	1,8
Total Nacional	01 Andalucía	23 Jaén	2007M10	1,67
Total Nacional	01 Andalucía	23 Jaén	2007M09	1,74
Total Nacional	01 Andalucía	23 Jaén	2007M08	2
Total Nacional	01 Andalucía	23 Jaén	2007M07	1,73
Total Nacional	01 Andalucía	23 Jaén	2007M06	1,66
Total Nacional	01 Andalucía	23 Jaén	2007M05	1,59
Total Nacional	01 Andalucía	23 Jaén	2007M04	1,74
Total Nacional	01 Andalucía	23 Jaén	2007M03	1,57
Total Nacional	01 Andalucía	23 Jaén	2007M02	1,55
Total Nacional	01 Andalucía	23 Jaén	2007M01	1,52
Total Nacional	01 Andalucía	23 Jaén	2006M12	1,72
Total Nacional	01 Andalucía	23 Jaén	2006M11	1,53
Total Nacional	01 Andalucía	23 Jaén	2006M10	1,67
Total Nacional	01 Andalucía	23 Jaén	2006M09	1,64
Total Nacional	01 Andalucía	23 Jaén	2006M08	1,84
Total Nacional	01 Andalucía	23 Jaén	2006M07	1,57
Total Nacional	01 Andalucía	23 Jaén	2006M06	1,5
Total Nacional	01 Andalucía	23 Jaén	2006M05	1,54
Total Nacional	01 Andalucía	23 Jaén	2006M04	1,67
Total Nacional	01 Andalucía	23 Jaén	2006M03	1,56
Total Nacional	01 Andalucía	23 Jaén	2006M02	1,53
Total Nacional	01 Andalucía	23 Jaén	2006M01	1,5
Total Nacional	01 Andalucía	23 Jaén	2005M12	1,54
Total Nacional	01 Andalucía	23 Jaén	2005M11	1,49
Total Nacional	01 Andalucía	23 Jaén	2005M10	1,54
Total Nacional	01 Andalucía	23 Jaén	2005M09	1,52
Total Nacional	01 Andalucía	23 Jaén	2005M08	1,82
Total Nacional	01 Andalucía	23 Jaén	2005M07	1,57
Total Nacional	01 Andalucía	23 Jaén	2005M06	1,47
Total Nacional	01 Andalucía	23 Jaén	2005M05	1,51
Total Nacional	01 Andalucía	23 Jaén	2005M04	1,55
Total Nacional	01 Andalucía	23 Jaén	2005M03	1,69
Total Nacional	01 Andalucía	23 Jaén	2005M02	1,56
Total Nacional	01 Andalucía	23 Jaén	2005M01	1,52
Total Nacional	01 Andalucía	23 Jaén	2004M12	1,58
Total Nacional	01 Andalucía	23 Jaén	2004M11	1,49
Total Nacional	01 Andalucía	23 Jaén	2004M10	1,57
Total Nacional	01 Andalucía	23 Jaén	2004M09	1,57
Total Nacional	01 Andalucía	23 Jaén	2004M08	1,89
Total Nacional	01 Andalucía	23 Jaén	2004M07	1,67
Total Nacional	01 Andalucía	23 Jaén	2004M06	1,45
Total Nacional	01 Andalucía	23 Jaén	2004M05	1,48
Total Nacional	01 Andalucía	23 Jaén	2004M04	1,59
Total Nacional	01 Andalucía	23 Jaén	2004M03	1,58
Total Nacional	01 Andalucía	23 Jaén	2004M02	1,5
Total Nacional	01 Andalucía	23 Jaén	2004M01	1,45
Total Nacional	01 Andalucía	23 Jaén	2003M12	1,54
Total Nacional	01 Andalucía	23 Jaén	2003M11	1,46
Total Nacional	01 Andalucía	23 Jaén	2003M10	1,48
Total Nacional	01 Andalucía	23 Jaén	2003M09	1,57
Total Nacional	01 Andalucía	23 Jaén	2003M08	1,89
Total Nacional	01 Andalucía	23 Jaén	2003M07	1,67
Total Nacional	01 Andalucía	23 Jaén	2003M06	1,45
Total Nacional	01 Andalucía	23 Jaén	2003M05	1,54
Total Nacional	01 Andalucía	23 Jaén	2003M04	1,59
Total Nacional	01 Andalucía	23 Jaén	2003M03	1,59
Total Nacional	01 Andalucía	23 Jaén	2003M02	1,51
Total Nacional	01 Andalucía	23 Jaén	2003M01	1,51
Total Nacional	01 Andalucía	23 Jaén	2002M12	1,57
Total Nacional	01 Andalucía	23 Jaén	2002M11	1,66
Total Nacional	01 Andalucía	23 Jaén	2002M10	1,52
Total Nacional	01 Andalucía	23 Jaén	2002M09	1,56
Total Nacional	01 Andalucía	23 Jaén	2002M08	1,88
Total Nacional	01 Andalucía	23 Jaén	2002M07	1,54
Total Nacional	01 Andalucía	23 Jaén	2002M06	1,54
Total Nacional	01 Andalucía	23 Jaén	2002M05	1,5
Total Nacional	01 Andalucía	23 Jaén	2002M04	1,5
Total Nacional	01 Andalucía	23 Jaén	2002M03	1,74
Total Nacional	01 Andalucía	23 Jaén	2002M02	1,44
Total Nacional	01 Andalucía	23 Jaén	2002M01	1,44
Total Nacional	01 Andalucía	23 Jaén	2001M12	1,56
Total Nacional	01 Andalucía	23 Jaén	2001M11	1,61
Total Nacional	01 Andalucía	23 Jaén	2001M10	1,54
Total Nacional	01 Andalucía	23 Jaén	2001M09	1,44
Total Nacional	01 Andalucía	23 Jaén	2001M08	1,69
Total Nacional	01 Andalucía	23 Jaén	2001M07	1,46
Total Nacional	01 Andalucía	23 Jaén	2001M06	1,46
Total Nacional	01 Andalucía	23 Jaén	2001M05	1,47
Total Nacional	01 Andalucía	23 Jaén	2001M04	1,63
Total Nacional	01 Andalucía	23 Jaén	2001M03	1,46
Total Nacional	01 Andalucía	23 Jaén	2001M02	1,5
Total Nacional	01 Andalucía	23 Jaén	2001M01	1,58
Total Nacional	01 Andalucía	23 Jaén	2000M12	1,5
Total Nacional	01 Andalucía	23 Jaén	2000M11	1,4
Total Nacional	01 Andalucía	23 Jaén	2000M10	1,5
Total Nacional	01 Andalucía	23 Jaén	2000M09	1,4
Total Nacional	01 Andalucía	23 Jaén	2000M08	1,6
Total Nacional	01 Andalucía	23 Jaén	2000M07	1,5
Total Nacional	01 Andalucía	23 Jaén	2000M06	1,4
Total Nacional	01 Andalucía	23 Jaén	2000M05	1,4
Total Nacional	01 Andalucía	23 Jaén	2000M04	1,6
Total Nacional	01 Andalucía	23 Jaén	2000M03	1,5
Total Nacional	01 Andalucía	23 Jaén	2000M02	1,5
Total Nacional	01 Andalucía	23 Jaén	2000M01	1,5
Total Nacional	01 Andalucía	23 Jaén	1999M12	1,4
Total Nacional	01 Andalucía	23 Jaén	1999M11	1,5
Total Nacional	01 Andalucía	23 Jaén	1999M10	1,5
Total Nacional	01 Andalucía	23 Jaén	1999M09	1,6
Total Nacional	01 Andalucía	23 Jaén	1999M08	1,8
Total Nacional	01 Andalucía	23 Jaén	1999M07	1,6
Total Nacional	01 Andalucía	23 Jaén	1999M06	1,4
Total Nacional	01 Andalucía	23 Jaén	1999M05	1,4
Total Nacional	01 Andalucía	23 Jaén	1999M04	1,7
Total Nacional	01 Andalucía	23 Jaén	1999M03	1,6
Total Nacional	01 Andalucía	23 Jaén	1999M02	1,7
Total Nacional	01 Andalucía	23 Jaén	1999M01	1,7
Total Nacional	01 Andalucía	29 Málaga	2025M03	3,44
Total Nacional	01 Andalucía	29 Málaga	2025M02	3,15
Total Nacional	01 Andalucía	29 Málaga	2025M01	3,12
Total Nacional	01 Andalucía	29 Málaga	2024M12	3,05
Total Nacional	01 Andalucía	29 Málaga	2024M11	3,21
Total Nacional	01 Andalucía	29 Málaga	2024M10	3,63
Total Nacional	01 Andalucía	29 Málaga	2024M09	3,8
Total Nacional	01 Andalucía	29 Málaga	2024M08	3,97
Total Nacional	01 Andalucía	29 Málaga	2024M07	3,87
Total Nacional	01 Andalucía	29 Málaga	2024M06	3,53
Total Nacional	01 Andalucía	29 Málaga	2024M05	3,41
Total Nacional	01 Andalucía	29 Málaga	2024M04	3,25
Total Nacional	01 Andalucía	29 Málaga	2024M03	3,38
Total Nacional	01 Andalucía	29 Málaga	2024M02	3,13
Total Nacional	01 Andalucía	29 Málaga	2024M01	2,92
Total Nacional	01 Andalucía	29 Málaga	2023M12	2,95
Total Nacional	01 Andalucía	29 Málaga	2023M11	3,19
Total Nacional	01 Andalucía	29 Málaga	2023M10	3,51
Total Nacional	01 Andalucía	29 Málaga	2023M09	3,62
Total Nacional	01 Andalucía	29 Málaga	2023M08	3,9
Total Nacional	01 Andalucía	29 Málaga	2023M07	3,73
Total Nacional	01 Andalucía	29 Málaga	2023M06	3,59
Total Nacional	01 Andalucía	29 Málaga	2023M05	3,44
Total Nacional	01 Andalucía	29 Málaga	2023M04	3,27
Total Nacional	01 Andalucía	29 Málaga	2023M03	2,95
Total Nacional	01 Andalucía	29 Málaga	2023M02	2,96
Total Nacional	01 Andalucía	29 Málaga	2023M01	2,87
Total Nacional	01 Andalucía	29 Málaga	2022M12	2,74
Total Nacional	01 Andalucía	29 Málaga	2022M11	3,13
Total Nacional	01 Andalucía	29 Málaga	2022M10	3,55
Total Nacional	01 Andalucía	29 Málaga	2022M09	3,48
Total Nacional	01 Andalucía	29 Málaga	2022M08	4,02
Total Nacional	01 Andalucía	29 Málaga	2022M07	3,69
Total Nacional	01 Andalucía	29 Málaga	2022M06	3,54
Total Nacional	01 Andalucía	29 Málaga	2022M05	3,43
Total Nacional	01 Andalucía	29 Málaga	2022M04	3,35
Total Nacional	01 Andalucía	29 Málaga	2022M03	3,2
Total Nacional	01 Andalucía	29 Málaga	2022M02	2,72
Total Nacional	01 Andalucía	29 Málaga	2022M01	2,69
Total Nacional	01 Andalucía	29 Málaga	2021M12	2,52
Total Nacional	01 Andalucía	29 Málaga	2021M11	2,92
Total Nacional	01 Andalucía	29 Málaga	2021M10	3,47
Total Nacional	01 Andalucía	29 Málaga	2021M09	3,61
Total Nacional	01 Andalucía	29 Málaga	2021M08	3,8
Total Nacional	01 Andalucía	29 Málaga	2021M07	3,38
Total Nacional	01 Andalucía	29 Málaga	2021M06	2,67
Total Nacional	01 Andalucía	29 Málaga	2021M05	2,2
Total Nacional	01 Andalucía	29 Málaga	2021M04	1,99
Total Nacional	01 Andalucía	29 Málaga	2021M03	1,86
Total Nacional	01 Andalucía	29 Málaga	2021M02	1,85
Total Nacional	01 Andalucía	29 Málaga	2021M01	1,91
Total Nacional	01 Andalucía	29 Málaga	2020M12	1,8
Total Nacional	01 Andalucía	29 Málaga	2020M11	2,02
Total Nacional	01 Andalucía	29 Málaga	2020M10	2,2
Total Nacional	01 Andalucía	29 Málaga	2020M09	2,68
Total Nacional	01 Andalucía	29 Málaga	2020M08	3,13
Total Nacional	01 Andalucía	29 Málaga	2020M07	2,86
Total Nacional	01 Andalucía	29 Málaga	2020M06	1,9
Total Nacional	01 Andalucía	29 Málaga	2020M05	2,01
Total Nacional	01 Andalucía	29 Málaga	2020M04	0
Total Nacional	01 Andalucía	29 Málaga	2020M03	3,44
Total Nacional	01 Andalucía	29 Málaga	2020M02	3,03
Total Nacional	01 Andalucía	29 Málaga	2020M01	2,99
Total Nacional	01 Andalucía	29 Málaga	2019M12	2,84
Total Nacional	01 Andalucía	29 Málaga	2019M11	3,13
Total Nacional	01 Andalucía	29 Málaga	2019M10	3,66
Total Nacional	01 Andalucía	29 Málaga	2019M09	3,66
Total Nacional	01 Andalucía	29 Málaga	2019M08	4
Total Nacional	01 Andalucía	29 Málaga	2019M07	3,86
Total Nacional	01 Andalucía	29 Málaga	2019M06	3,54
Total Nacional	01 Andalucía	29 Málaga	2019M05	3,37
Total Nacional	01 Andalucía	29 Málaga	2019M04	3,32
Total Nacional	01 Andalucía	29 Málaga	2019M03	3,33
Total Nacional	01 Andalucía	29 Málaga	2019M02	3,05
Total Nacional	01 Andalucía	29 Málaga	2019M01	3,17
Total Nacional	01 Andalucía	29 Málaga	2018M12	2,97
Total Nacional	01 Andalucía	29 Málaga	2018M11	3,32
Total Nacional	01 Andalucía	29 Málaga	2018M10	3,73
Total Nacional	01 Andalucía	29 Málaga	2018M09	3,79
Total Nacional	01 Andalucía	29 Málaga	2018M08	4,12
Total Nacional	01 Andalucía	29 Málaga	2018M07	4,03
Total Nacional	01 Andalucía	29 Málaga	2018M06	3,68
Total Nacional	01 Andalucía	29 Málaga	2018M05	3,53
Total Nacional	01 Andalucía	29 Málaga	2018M04	3,38
Total Nacional	01 Andalucía	29 Málaga	2018M03	3,49
Total Nacional	01 Andalucía	29 Málaga	2018M02	3,2
Total Nacional	01 Andalucía	29 Málaga	2018M01	3,24
Total Nacional	01 Andalucía	29 Málaga	2017M12	2,9
Total Nacional	01 Andalucía	29 Málaga	2017M11	3,33
Total Nacional	01 Andalucía	29 Málaga	2017M10	3,77
Total Nacional	01 Andalucía	29 Málaga	2017M09	3,84
Total Nacional	01 Andalucía	29 Málaga	2017M08	4,23
Total Nacional	01 Andalucía	29 Málaga	2017M07	4,12
Total Nacional	01 Andalucía	29 Málaga	2017M06	3,77
Total Nacional	01 Andalucía	29 Málaga	2017M05	3,53
Total Nacional	01 Andalucía	29 Málaga	2017M04	3,46
Total Nacional	01 Andalucía	29 Málaga	2017M03	3,54
Total Nacional	01 Andalucía	29 Málaga	2017M02	3,27
Total Nacional	01 Andalucía	29 Málaga	2017M01	3,3
Total Nacional	01 Andalucía	29 Málaga	2016M12	3,2
Total Nacional	01 Andalucía	29 Málaga	2016M11	3,65
Total Nacional	01 Andalucía	29 Málaga	2016M10	3,89
Total Nacional	01 Andalucía	29 Málaga	2016M09	3,93
Total Nacional	01 Andalucía	29 Málaga	2016M08	4,34
Total Nacional	01 Andalucía	29 Málaga	2016M07	4,16
Total Nacional	01 Andalucía	29 Málaga	2016M06	3,82
Total Nacional	01 Andalucía	29 Málaga	2016M05	3,6
Total Nacional	01 Andalucía	29 Málaga	2016M04	3,45
Total Nacional	01 Andalucía	29 Málaga	2016M03	3,67
Total Nacional	01 Andalucía	29 Málaga	2016M02	3,43
Total Nacional	01 Andalucía	29 Málaga	2016M01	3,53
Total Nacional	01 Andalucía	29 Málaga	2015M12	3,04
Total Nacional	01 Andalucía	29 Málaga	2015M11	3,33
Total Nacional	01 Andalucía	29 Málaga	2015M10	3,87
Total Nacional	01 Andalucía	29 Málaga	2015M09	3,88
Total Nacional	01 Andalucía	29 Málaga	2015M08	4,19
Total Nacional	01 Andalucía	29 Málaga	2015M07	4,2
Total Nacional	01 Andalucía	29 Málaga	2015M06	3,75
Total Nacional	01 Andalucía	29 Málaga	2015M05	3,5
Total Nacional	01 Andalucía	29 Málaga	2015M04	3,55
Total Nacional	01 Andalucía	29 Málaga	2015M03	3,67
Total Nacional	01 Andalucía	29 Málaga	2015M02	3,34
Total Nacional	01 Andalucía	29 Málaga	2015M01	3,53
Total Nacional	01 Andalucía	29 Málaga	2014M12	3,04
Total Nacional	01 Andalucía	29 Málaga	2014M11	3,44
Total Nacional	01 Andalucía	29 Málaga	2014M10	3,81
Total Nacional	01 Andalucía	29 Málaga	2014M09	3,92
Total Nacional	01 Andalucía	29 Málaga	2014M08	4,24
Total Nacional	01 Andalucía	29 Málaga	2014M07	4,26
Total Nacional	01 Andalucía	29 Málaga	2014M06	3,86
Total Nacional	01 Andalucía	29 Málaga	2014M05	3,59
Total Nacional	01 Andalucía	29 Málaga	2014M04	3,41
Total Nacional	01 Andalucía	29 Málaga	2014M03	3,74
Total Nacional	01 Andalucía	29 Málaga	2014M02	3,5
Total Nacional	01 Andalucía	29 Málaga	2014M01	3,76
Total Nacional	01 Andalucía	29 Málaga	2013M12	2,88
Total Nacional	01 Andalucía	29 Málaga	2013M11	3,22
Total Nacional	01 Andalucía	29 Málaga	2013M10	3,91
Total Nacional	01 Andalucía	29 Málaga	2013M09	4
Total Nacional	01 Andalucía	29 Málaga	2013M08	4,27
Total Nacional	01 Andalucía	29 Málaga	2013M07	4,25
Total Nacional	01 Andalucía	29 Málaga	2013M06	3,87
Total Nacional	01 Andalucía	29 Málaga	2013M05	3,45
Total Nacional	01 Andalucía	29 Málaga	2013M04	3,33
Total Nacional	01 Andalucía	29 Málaga	2013M03	3,43
Total Nacional	01 Andalucía	29 Málaga	2013M02	3,57
Total Nacional	01 Andalucía	29 Málaga	2013M01	3,46
Total Nacional	01 Andalucía	29 Málaga	2012M12	3,03
Total Nacional	01 Andalucía	29 Málaga	2012M11	3,25
Total Nacional	01 Andalucía	29 Málaga	2012M10	3,74
Total Nacional	01 Andalucía	29 Málaga	2012M09	3,83
Total Nacional	01 Andalucía	29 Málaga	2012M08	4,13
Total Nacional	01 Andalucía	29 Málaga	2012M07	4,2
Total Nacional	01 Andalucía	29 Málaga	2012M06	3,73
Total Nacional	01 Andalucía	29 Málaga	2012M05	3,47
Total Nacional	01 Andalucía	29 Málaga	2012M04	3,54
Total Nacional	01 Andalucía	29 Málaga	2012M03	3,57
Total Nacional	01 Andalucía	29 Málaga	2012M02	3,41
Total Nacional	01 Andalucía	29 Málaga	2012M01	3,46
Total Nacional	01 Andalucía	29 Málaga	2011M12	3,13
Total Nacional	01 Andalucía	29 Málaga	2011M11	3,49
Total Nacional	01 Andalucía	29 Málaga	2011M10	3,48
Total Nacional	01 Andalucía	29 Málaga	2011M09	3,86
Total Nacional	01 Andalucía	29 Málaga	2011M08	4,25
Total Nacional	01 Andalucía	29 Málaga	2011M07	4,06
Total Nacional	01 Andalucía	29 Málaga	2011M06	3,59
Total Nacional	01 Andalucía	29 Málaga	2011M05	3,31
Total Nacional	01 Andalucía	29 Málaga	2011M04	3,4
Total Nacional	01 Andalucía	29 Málaga	2011M03	3,46
Total Nacional	01 Andalucía	29 Málaga	2011M02	3,27
Total Nacional	01 Andalucía	29 Málaga	2011M01	3,67
Total Nacional	01 Andalucía	29 Málaga	2010M12	3,11
Total Nacional	01 Andalucía	29 Málaga	2010M11	3,46
Total Nacional	01 Andalucía	29 Málaga	2010M10	3,53
Total Nacional	01 Andalucía	29 Málaga	2010M09	3,85
Total Nacional	01 Andalucía	29 Málaga	2010M08	4,25
Total Nacional	01 Andalucía	29 Málaga	2010M07	4,07
Total Nacional	01 Andalucía	29 Málaga	2010M06	3,75
Total Nacional	01 Andalucía	29 Málaga	2010M05	3,43
Total Nacional	01 Andalucía	29 Málaga	2010M04	3,4
Total Nacional	01 Andalucía	29 Málaga	2010M03	3,61
Total Nacional	01 Andalucía	29 Málaga	2010M02	3,44
Total Nacional	01 Andalucía	29 Málaga	2010M01	3,85
Total Nacional	01 Andalucía	29 Málaga	2009M12	3,15
Total Nacional	01 Andalucía	29 Málaga	2009M11	3,5
Total Nacional	01 Andalucía	29 Málaga	2009M10	3,61
Total Nacional	01 Andalucía	29 Málaga	2009M09	3,88
Total Nacional	01 Andalucía	29 Málaga	2009M08	4,28
Total Nacional	01 Andalucía	29 Málaga	2009M07	4,03
Total Nacional	01 Andalucía	29 Málaga	2009M06	3,81
Total Nacional	01 Andalucía	29 Málaga	2009M05	3,47
Total Nacional	01 Andalucía	29 Málaga	2009M04	3,58
Total Nacional	01 Andalucía	29 Málaga	2009M03	3,57
Total Nacional	01 Andalucía	29 Málaga	2009M02	3,34
Total Nacional	01 Andalucía	29 Málaga	2009M01	3,91
Total Nacional	01 Andalucía	29 Málaga	2008M12	3,37
Total Nacional	01 Andalucía	29 Málaga	2008M11	3,43
Total Nacional	01 Andalucía	29 Málaga	2008M10	3,55
Total Nacional	01 Andalucía	29 Málaga	2008M09	3,57
Total Nacional	01 Andalucía	29 Málaga	2008M08	3,85
Total Nacional	01 Andalucía	29 Málaga	2008M07	3,94
Total Nacional	01 Andalucía	29 Málaga	2008M06	3,52
Total Nacional	01 Andalucía	29 Málaga	2008M05	3,4
Total Nacional	01 Andalucía	29 Málaga	2008M04	3,22
Total Nacional	01 Andalucía	29 Málaga	2008M03	3,35
Total Nacional	01 Andalucía	29 Málaga	2008M02	3,34
Total Nacional	01 Andalucía	29 Málaga	2008M01	3,54
Total Nacional	01 Andalucía	29 Málaga	2007M12	3,41
Total Nacional	01 Andalucía	29 Málaga	2007M11	3,35
Total Nacional	01 Andalucía	29 Málaga	2007M10	3,53
Total Nacional	01 Andalucía	29 Málaga	2007M09	3,55
Total Nacional	01 Andalucía	29 Málaga	2007M08	3,83
Total Nacional	01 Andalucía	29 Málaga	2007M07	3,88
Total Nacional	01 Andalucía	29 Málaga	2007M06	3,39
Total Nacional	01 Andalucía	29 Málaga	2007M05	3,31
Total Nacional	01 Andalucía	29 Málaga	2007M04	3,29
Total Nacional	01 Andalucía	29 Málaga	2007M03	3,29
Total Nacional	01 Andalucía	29 Málaga	2007M02	3,32
Total Nacional	01 Andalucía	29 Málaga	2007M01	3,79
Total Nacional	01 Andalucía	29 Málaga	2006M12	3,46
Total Nacional	01 Andalucía	29 Málaga	2006M11	3,49
Total Nacional	01 Andalucía	29 Málaga	2006M10	3,4
Total Nacional	01 Andalucía	29 Málaga	2006M09	3,7
Total Nacional	01 Andalucía	29 Málaga	2006M08	4,03
Total Nacional	01 Andalucía	29 Málaga	2006M07	3,92
Total Nacional	01 Andalucía	29 Málaga	2006M06	3,54
Total Nacional	01 Andalucía	29 Málaga	2006M05	3,36
Total Nacional	01 Andalucía	29 Málaga	2006M04	3,27
Total Nacional	01 Andalucía	29 Málaga	2006M03	3,39
Total Nacional	01 Andalucía	29 Málaga	2006M02	3,29
Total Nacional	01 Andalucía	29 Málaga	2006M01	3,87
Total Nacional	01 Andalucía	29 Málaga	2005M12	4
Total Nacional	01 Andalucía	29 Málaga	2005M11	3,78
Total Nacional	01 Andalucía	29 Málaga	2005M10	4,16
Total Nacional	01 Andalucía	29 Málaga	2005M09	4,28
Total Nacional	01 Andalucía	29 Málaga	2005M08	4,68
Total Nacional	01 Andalucía	29 Málaga	2005M07	4,54
Total Nacional	01 Andalucía	29 Málaga	2005M06	4,02
Total Nacional	01 Andalucía	29 Málaga	2005M05	3,66
Total Nacional	01 Andalucía	29 Málaga	2005M04	3,48
Total Nacional	01 Andalucía	29 Málaga	2005M03	3,86
Total Nacional	01 Andalucía	29 Málaga	2005M02	3,77
Total Nacional	01 Andalucía	29 Málaga	2005M01	4,41
Total Nacional	01 Andalucía	29 Málaga	2004M12	3,83
Total Nacional	01 Andalucía	29 Málaga	2004M11	3,9
Total Nacional	01 Andalucía	29 Málaga	2004M10	4,04
Total Nacional	01 Andalucía	29 Málaga	2004M09	4,18
Total Nacional	01 Andalucía	29 Málaga	2004M08	4,8
Total Nacional	01 Andalucía	29 Málaga	2004M07	4,75
Total Nacional	01 Andalucía	29 Málaga	2004M06	4,26
Total Nacional	01 Andalucía	29 Málaga	2004M05	3,92
Total Nacional	01 Andalucía	29 Málaga	2004M04	3,81
Total Nacional	01 Andalucía	29 Málaga	2004M03	4,08
Total Nacional	01 Andalucía	29 Málaga	2004M02	4,14
Total Nacional	01 Andalucía	29 Málaga	2004M01	4,44
Total Nacional	01 Andalucía	29 Málaga	2003M12	3,81
Total Nacional	01 Andalucía	29 Málaga	2003M11	4,05
Total Nacional	01 Andalucía	29 Málaga	2003M10	4,1
Total Nacional	01 Andalucía	29 Málaga	2003M09	4,28
Total Nacional	01 Andalucía	29 Málaga	2003M08	4,9
Total Nacional	01 Andalucía	29 Málaga	2003M07	4,76
Total Nacional	01 Andalucía	29 Málaga	2003M06	4,26
Total Nacional	01 Andalucía	29 Málaga	2003M05	3,98
Total Nacional	01 Andalucía	29 Málaga	2003M04	4,19
Total Nacional	01 Andalucía	29 Málaga	2003M03	4,35
Total Nacional	01 Andalucía	29 Málaga	2003M02	4,42
Total Nacional	01 Andalucía	29 Málaga	2003M01	4,46
Total Nacional	01 Andalucía	29 Málaga	2002M12	3,77
Total Nacional	01 Andalucía	29 Málaga	2002M11	3,95
Total Nacional	01 Andalucía	29 Málaga	2002M10	4,26
Total Nacional	01 Andalucía	29 Málaga	2002M09	4,84
Total Nacional	01 Andalucía	29 Málaga	2002M08	5,11
Total Nacional	01 Andalucía	29 Málaga	2002M07	5,1
Total Nacional	01 Andalucía	29 Málaga	2002M06	4,54
Total Nacional	01 Andalucía	29 Málaga	2002M05	4,12
Total Nacional	01 Andalucía	29 Málaga	2002M04	3,97
Total Nacional	01 Andalucía	29 Málaga	2002M03	3,99
Total Nacional	01 Andalucía	29 Málaga	2002M02	4,24
Total Nacional	01 Andalucía	29 Málaga	2002M01	4,87
Total Nacional	01 Andalucía	29 Málaga	2001M12	4,16
Total Nacional	01 Andalucía	29 Málaga	2001M11	4,4
Total Nacional	01 Andalucía	29 Málaga	2001M10	4,39
Total Nacional	01 Andalucía	29 Málaga	2001M09	4,83
Total Nacional	01 Andalucía	29 Málaga	2001M08	5,5
Total Nacional	01 Andalucía	29 Málaga	2001M07	5,24
Total Nacional	01 Andalucía	29 Málaga	2001M06	4,69
Total Nacional	01 Andalucía	29 Málaga	2001M05	4,27
Total Nacional	01 Andalucía	29 Málaga	2001M04	3,96
Total Nacional	01 Andalucía	29 Málaga	2001M03	4,24
Total Nacional	01 Andalucía	29 Málaga	2001M02	4,48
Total Nacional	01 Andalucía	29 Málaga	2001M01	4,49
Total Nacional	01 Andalucía	29 Málaga	2000M12	4,1
Total Nacional	01 Andalucía	29 Málaga	2000M11	4,4
Total Nacional	01 Andalucía	29 Málaga	2000M10	4,2
Total Nacional	01 Andalucía	29 Málaga	2000M09	4,5
Total Nacional	01 Andalucía	29 Málaga	2000M08	5,3
Total Nacional	01 Andalucía	29 Málaga	2000M07	5,2
Total Nacional	01 Andalucía	29 Málaga	2000M06	4,7
Total Nacional	01 Andalucía	29 Málaga	2000M05	4,1
Total Nacional	01 Andalucía	29 Málaga	2000M04	4,1
Total Nacional	01 Andalucía	29 Málaga	2000M03	4,6
Total Nacional	01 Andalucía	29 Málaga	2000M02	4,7
