RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;;Viajero;2012M02;4.762.348
Total;;Viajero;2012M01;4.034.869
Total;;Viajero;2011M12;4.594.592
Total;;Viajero;2011M11;4.902.197
Total;;Viajero;2011M10;7.673.432
Total;;Viajero;2011M09;8.916.593
Total;;Viajero;2011M08;10.608.293
Total;;Viajero;2011M07;10.051.429
Total;;Viajero;2011M06;8.809.958
Total;;Viajero;2011M05;7.797.227
Total;;Viajero;2011M04;7.423.129
Total;;Viajero;2011M03;5.829.113
Total;;Viajero;2011M02;4.831.381
Total;;Viajero;2011M01;3.929.632
Total;;Viajero;2010M12;4.650.521
Total;;Viajero;2010M11;4.976.017
Total;;Viajero;2010M10;7.679.996
Total;;Viajero;2010M09;8.400.100
Total;;Viajero;2010M08;10.014.468
Total;;Viajero;2010M07;9.399.554
Total;;Viajero;2010M06;8.087.317
Total;;Viajero;2010M05;7.810.020
Total;;Viajero;2010M04;6.786.265
Total;;Viajero;2010M03;5.706.500
Total;;Viajero;2010M02;4.610.953
Total;;Viajero;2010M01;3.767.159
Total;;Viajero;2009M12;4.435.027
Total;;Viajero;2009M11;4.710.822
Total;;Viajero;2009M10;7.011.612
Total;;Viajero;2009M09;7.827.994
Total;;Viajero;2009M08;9.423.345
Total;;Viajero;2009M07;8.712.905
Total;;Viajero;2009M06;7.630.129
Total;;Viajero;2009M05;7.378.804
Total;;Viajero;2009M04;6.542.718
Total;;Viajero;2009M03;5.303.127
Total;;Viajero;2009M02;4.447.323
Total;;Viajero;2009M01;3.716.510
Total;;Viajero;2008M12;4.326.374
Total;;Viajero;2008M11;4.870.882
Total;;Viajero;2008M10;7.035.977
Total;;Viajero;2008M09;8.359.855
Total;;Viajero;2008M08;9.954.774
Total;;Viajero;2008M07;9.219.035
Total;;Viajero;2008M06;8.280.336
Total;;Viajero;2008M05;8.109.904
Total;;Viajero;2008M04;6.656.665
Total;;Viajero;2008M03;6.614.348
Total;;Viajero;2008M02;5.242.247
Total;;Viajero;2008M01;4.328.480
Total;;Viajero;2007M12;4.771.361
Total;;Viajero;2007M11;5.534.255
Total;;Viajero;2007M10;7.540.505
Total;;Viajero;2007M09;8.621.798
Total;;Viajero;2007M08;10.025.687
Total;;Viajero;2007M07;9.176.950
Total;;Viajero;2007M06;8.555.535
Total;;Viajero;2007M05;7.639.348
Total;;Viajero;2007M04;7.394.418
Total;;Viajero;2007M03;6.151.952
Total;;Viajero;2007M02;4.853.246
Total;;Viajero;2007M01;4.158.378
Total;;Viajero;2006M12;4.672.741
Total;;Viajero;2006M11;5.114.939
Total;;Viajero;2006M10;7.357.196
Total;;Viajero;2006M09;8.420.366
Total;;Viajero;2006M08;9.713.364
Total;;Viajero;2006M07;9.057.841
Total;;Viajero;2006M06;8.156.578
Total;;Viajero;2006M05;7.591.789
Total;;Viajero;2006M04;7.293.282
Total;;Viajero;2006M03;5.763.835
Total;;Viajero;2006M02;4.709.293
Total;;Viajero;2006M01;4.004.676
Total;;Viajero;2005M12;4.030.203
Total;;Viajero;2005M11;4.511.989
Total;;Viajero;2005M10;6.414.668
Total;;Viajero;2005M09;7.442.751
Total;;Viajero;2005M08;8.555.081
Total;;Viajero;2005M07;7.795.374
Total;;Viajero;2005M06;6.971.240
Total;;Viajero;2005M05;6.737.689
Total;;Viajero;2005M04;5.516.765
Total;;Viajero;2005M03;5.247.632
Total;;Viajero;2005M02;4.048.915
Total;;Viajero;2005M01;3.356.718
Total;;Viajero;2004M12;3.877.669
Total;;Viajero;2004M11;4.135.114
Total;;Viajero;2004M10;6.227.271
Total;;Viajero;2004M09;6.996.313
Total;;Viajero;2004M08;8.174.422
Total;;Viajero;2004M07;7.232.976
