RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Austria;Pernoctaciones;2024M02;120.959
Total;Austria;Pernoctaciones;2024M01;92.645
Total;Austria;Pernoctaciones;2023M12;86.582
Total;Austria;Pernoctaciones;2023M11;121.654
Total;Austria;Pernoctaciones;2023M10;212.340
Total;Austria;Pernoctaciones;2023M09;260.577
Total;Austria;Pernoctaciones;2023M08;299.893
Total;Austria;Pernoctaciones;2023M07;289.721
Total;Austria;Pernoctaciones;2023M06;230.713
Total;Austria;Pernoctaciones;2023M05;260.933
Total;Austria;Pernoctaciones;2023M04;194.998
Total;Austria;Pernoctaciones;2023M03;112.131
Total;Austria;Pernoctaciones;2023M02;109.134
Total;Austria;Pernoctaciones;2023M01;95.171
Total;Austria;Pernoctaciones;2022M12;78.147
Total;Austria;Pernoctaciones;2022M11;93.936
Total;Austria;Pernoctaciones;2022M10;178.167
Total;Austria;Pernoctaciones;2022M09;223.951
Total;Austria;Pernoctaciones;2022M08;262.337
Total;Austria;Pernoctaciones;2022M07;276.350
Total;Austria;Pernoctaciones;2022M06;207.640
Total;Austria;Pernoctaciones;2022M05;227.901
Total;Austria;Pernoctaciones;2022M04;175.205
Total;Austria;Pernoctaciones;2022M03;89.770
Total;Austria;Pernoctaciones;2022M02;80.963
Total;Austria;Pernoctaciones;2022M01;62.706
Total;Austria;Pernoctaciones;2021M12;65.451
Total;Austria;Pernoctaciones;2021M11;76.687
Total;Austria;Pernoctaciones;2021M10;137.334
Total;Austria;Pernoctaciones;2021M09;134.532
Total;Austria;Pernoctaciones;2021M08;159.145
Total;Austria;Pernoctaciones;2021M07;130.987
Total;Austria;Pernoctaciones;2021M06;55.829
Total;Austria;Pernoctaciones;2021M05;22.840
Total;Austria;Pernoctaciones;2021M04;13.920
Total;Austria;Pernoctaciones;2021M03;9.997
Total;Austria;Pernoctaciones;2021M02;6.567
Total;Austria;Pernoctaciones;2021M01;7.487
Total;Austria;Pernoctaciones;2020M12;13.176
Total;Austria;Pernoctaciones;2020M11;11.164
Total;Austria;Pernoctaciones;2020M10;8.613
Total;Austria;Pernoctaciones;2020M09;8.195
Total;Austria;Pernoctaciones;2020M08;27.272
Total;Austria;Pernoctaciones;2020M07;24.533
Total;Austria;Pernoctaciones;2020M06;.
Total;Austria;Pernoctaciones;2020M05;.
Total;Austria;Pernoctaciones;2020M04;0
Total;Austria;Pernoctaciones;2020M03;46.634
Total;Austria;Pernoctaciones;2020M02;107.347
Total;Austria;Pernoctaciones;2020M01;90.098
Total;Austria;Pernoctaciones;2019M12;83.896
Total;Austria;Pernoctaciones;2019M11;105.806
Total;Austria;Pernoctaciones;2019M10;174.033
Total;Austria;Pernoctaciones;2019M09;230.633
Total;Austria;Pernoctaciones;2019M08;267.388
Total;Austria;Pernoctaciones;2019M07;282.897
Total;Austria;Pernoctaciones;2019M06;241.958
Total;Austria;Pernoctaciones;2019M05;202.458
Total;Austria;Pernoctaciones;2019M04;175.603
Total;Austria;Pernoctaciones;2019M03;122.521
Total;Austria;Pernoctaciones;2019M02;113.628
Total;Austria;Pernoctaciones;2019M01;90.446
Total;Austria;Pernoctaciones;2018M12;88.431
Total;Austria;Pernoctaciones;2018M11;115.382
Total;Austria;Pernoctaciones;2018M10;192.700
Total;Austria;Pernoctaciones;2018M09;244.768
Total;Austria;Pernoctaciones;2018M08;293.780
Total;Austria;Pernoctaciones;2018M07;290.679
Total;Austria;Pernoctaciones;2018M06;230.526
Total;Austria;Pernoctaciones;2018M05;201.852
Total;Austria;Pernoctaciones;2018M04;140.082
Total;Austria;Pernoctaciones;2018M03;125.837
Total;Austria;Pernoctaciones;2018M02;92.874
Total;Austria;Pernoctaciones;2018M01;87.892
Total;Austria;Pernoctaciones;2017M12;77.673
Total;Austria;Pernoctaciones;2017M11;108.554
Total;Austria;Pernoctaciones;2017M10;181.543
Total;Austria;Pernoctaciones;2017M09;244.436
Total;Austria;Pernoctaciones;2017M08;262.429
Total;Austria;Pernoctaciones;2017M07;287.883
Total;Austria;Pernoctaciones;2017M06;224.717
Total;Austria;Pernoctaciones;2017M05;226.136
Total;Austria;Pernoctaciones;2017M04;162.106
Total;Austria;Pernoctaciones;2017M03;107.835
Total;Austria;Pernoctaciones;2017M02;98.587
Total;Austria;Pernoctaciones;2017M01;88.061
Total;Austria;Pernoctaciones;2016M12;79.417
Total;Austria;Pernoctaciones;2016M11;105.321
Total;Austria;Pernoctaciones;2016M10;184.778
Total;Austria;Pernoctaciones;2016M09;257.206
Total;Austria;Pernoctaciones;2016M08;265.556
Total;Austria;Pernoctaciones;2016M07;287.182
Total;Austria;Pernoctaciones;2016M06;225.147
Total;Austria;Pernoctaciones;2016M05;201.370
Total;Austria;Pernoctaciones;2016M04;170.381
Total;Austria;Pernoctaciones;2016M03;129.748
Total;Austria;Pernoctaciones;2016M02;98.858
Total;Austria;Pernoctaciones;2016M01;83.470
Total;Austria;Pernoctaciones;2015M12;83.364
Total;Austria;Pernoctaciones;2015M11;99.200
Total;Austria;Pernoctaciones;2015M10;150.327
Total;Austria;Pernoctaciones;2015M09;238.240
Total;Austria;Pernoctaciones;2015M08;252.070
Total;Austria;Pernoctaciones;2015M07;267.420
Total;Austria;Pernoctaciones;2015M06;230.389
Total;Austria;Pernoctaciones;2015M05;195.351
Total;Austria;Pernoctaciones;2015M04;160.195
Total;Austria;Pernoctaciones;2015M03;116.062
Total;Austria;Pernoctaciones;2015M02;95.412
Total;Austria;Pernoctaciones;2015M01;86.856
Total;Austria;Pernoctaciones;2014M12;78.733
Total;Austria;Pernoctaciones;2014M11;100.807
Total;Austria;Pernoctaciones;2014M10;148.027
Total;Austria;Pernoctaciones;2014M09;209.747
Total;Austria;Pernoctaciones;2014M08;230.509
Total;Austria;Pernoctaciones;2014M07;247.752
Total;Austria;Pernoctaciones;2014M06;192.425
Total;Austria;Pernoctaciones;2014M05;180.605
Total;Austria;Pernoctaciones;2014M04;150.165
Total;Austria;Pernoctaciones;2014M03;101.115
Total;Austria;Pernoctaciones;2014M02;105.188
Total;Austria;Pernoctaciones;2014M01;80.314
Total;Austria;Pernoctaciones;2013M12;73.112
Total;Austria;Pernoctaciones;2013M11;101.911
Total;Austria;Pernoctaciones;2013M10;137.411
Total;Austria;Pernoctaciones;2013M09;188.913
Total;Austria;Pernoctaciones;2013M08;224.944
Total;Austria;Pernoctaciones;2013M07;244.570
Total;Austria;Pernoctaciones;2013M06;178.191
Total;Austria;Pernoctaciones;2013M05;156.069
Total;Austria;Pernoctaciones;2013M04;114.540
Total;Austria;Pernoctaciones;2013M03;124.652
Total;Austria;Pernoctaciones;2013M02;90.479
Total;Austria;Pernoctaciones;2013M01;71.224
Total;Austria;Pernoctaciones;2012M12;61.367
Total;Austria;Pernoctaciones;2012M11;91.723
Total;Austria;Pernoctaciones;2012M10;149.993
Total;Austria;Pernoctaciones;2012M09;189.328
Total;Austria;Pernoctaciones;2012M08;235.758
Total;Austria;Pernoctaciones;2012M07;263.144
Total;Austria;Pernoctaciones;2012M06;208.572
Total;Austria;Pernoctaciones;2012M05;184.415
Total;Austria;Pernoctaciones;2012M04;163.292
Total;Austria;Pernoctaciones;2012M03;119.748
Total;Austria;Pernoctaciones;2012M02;100.634
Total;Austria;Pernoctaciones;2012M01;75.587
Total;Austria;Pernoctaciones;2011M12;66.518
Total;Austria;Pernoctaciones;2011M11;96.514
Total;Austria;Pernoctaciones;2011M10;143.776
Total;Austria;Pernoctaciones;2011M09;187.022
Total;Austria;Pernoctaciones;2011M08;227.393
Total;Austria;Pernoctaciones;2011M07;246.020
Total;Austria;Pernoctaciones;2011M06;181.906
Total;Austria;Pernoctaciones;2011M05;192.224
Total;Austria;Pernoctaciones;2011M04;166.912
Total;Austria;Pernoctaciones;2011M03;103.966
Total;Austria;Pernoctaciones;2011M02;92.005
Total;Austria;Pernoctaciones;2011M01;66.807
Total;Austria;Pernoctaciones;2010M12;58.960
Total;Austria;Pernoctaciones;2010M11;83.127
Total;Austria;Pernoctaciones;2010M10;121.030
Total;Austria;Pernoctaciones;2010M09;159.837
Total;Austria;Pernoctaciones;2010M08;178.005
Total;Austria;Pernoctaciones;2010M07;193.572
Total;Austria;Pernoctaciones;2010M06;147.938
Total;Austria;Pernoctaciones;2010M05;142.951
Total;Austria;Pernoctaciones;2010M04;114.938
Total;Austria;Pernoctaciones;2010M03;120.847
Total;Austria;Pernoctaciones;2010M02;79.290
Total;Austria;Pernoctaciones;2010M01;61.763
Total;Austria;Pernoctaciones;2009M12;55.753
Total;Austria;Pernoctaciones;2009M11;69.840
Total;Austria;Pernoctaciones;2009M10;99.889
Total;Austria;Pernoctaciones;2009M09;127.183
Total;Austria;Pernoctaciones;2009M08;143.843
Total;Austria;Pernoctaciones;2009M07;149.938
Total;Austria;Pernoctaciones;2009M06;127.167
Total;Austria;Pernoctaciones;2009M05;120.438
Total;Austria;Pernoctaciones;2009M04;102.863
Total;Austria;Pernoctaciones;2009M03;79.876
Total;Austria;Pernoctaciones;2009M02;67.536
Total;Austria;Pernoctaciones;2009M01;61.211
Total;Austria;Pernoctaciones;2008M12;55.276
Total;Austria;Pernoctaciones;2008M11;76.171
Total;Austria;Pernoctaciones;2008M10;100.259
Total;Austria;Pernoctaciones;2008M09;130.553
Total;Austria;Pernoctaciones;2008M08;156.652
Total;Austria;Pernoctaciones;2008M07;175.990
Total;Austria;Pernoctaciones;2008M06;126.965
Total;Austria;Pernoctaciones;2008M05;199.667
Total;Austria;Pernoctaciones;2008M04;138.415
Total;Austria;Pernoctaciones;2008M03;93.145
Total;Austria;Pernoctaciones;2008M02;75.005
Total;Austria;Pernoctaciones;2008M01;59.406
Total;Austria;Pernoctaciones;2007M12;58.754
Total;Austria;Pernoctaciones;2007M11;85.651
Total;Austria;Pernoctaciones;2007M10;108.788
Total;Austria;Pernoctaciones;2007M09;117.886
Total;Austria;Pernoctaciones;2007M08;135.835
Total;Austria;Pernoctaciones;2007M07;156.873
Total;Austria;Pernoctaciones;2007M06;130.485
Total;Austria;Pernoctaciones;2007M05;141.659
Total;Austria;Pernoctaciones;2007M04;148.538
Total;Austria;Pernoctaciones;2007M03;78.977
Total;Austria;Pernoctaciones;2007M02;69.435
Total;Austria;Pernoctaciones;2007M01;64.921
Total;Austria;Pernoctaciones;2006M12;53.632
Total;Austria;Pernoctaciones;2006M11;82.640
Total;Austria;Pernoctaciones;2006M10;135.076
Total;Austria;Pernoctaciones;2006M09;134.584
Total;Austria;Pernoctaciones;2006M08;138.420
Total;Austria;Pernoctaciones;2006M07;155.553
Total;Austria;Pernoctaciones;2006M06;126.690
Total;Austria;Pernoctaciones;2006M05;131.736
Total;Austria;Pernoctaciones;2006M04;112.018
Total;Austria;Pernoctaciones;2006M03;71.746
Total;Austria;Pernoctaciones;2006M02;60.385
Total;Austria;Pernoctaciones;2006M01;56.485
Total;Austria;Pernoctaciones;2005M12;43.381
Total;Austria;Pernoctaciones;2005M11;62.541
Total;Austria;Pernoctaciones;2005M10;91.392
Total;Austria;Pernoctaciones;2005M09;103.656
Total;Austria;Pernoctaciones;2005M08;109.009
Total;Austria;Pernoctaciones;2005M07;161.807
Total;Austria;Pernoctaciones;2005M06;103.562
Total;Austria;Pernoctaciones;2005M05;91.528
Total;Austria;Pernoctaciones;2005M04;66.372
Total;Austria;Pernoctaciones;2005M03;58.852
Total;Austria;Pernoctaciones;2005M02;58.748
Total;Austria;Pernoctaciones;2005M01;54.094
Total;Austria;Pernoctaciones;2004M12;43.902
Total;Austria;Pernoctaciones;2004M11;54.951
Total;Austria;Pernoctaciones;2004M10;71.934
Total;Austria;Pernoctaciones;2004M09;101.820
Total;Austria;Pernoctaciones;2004M08;114.334
Total;Austria;Pernoctaciones;2004M07;115.688
Total;Austria;Pernoctaciones;2004M06;89.382
Total;Austria;Pernoctaciones;2004M05;86.932
Total;Austria;Pernoctaciones;2004M04;106.189
Total;Austria;Pernoctaciones;2004M03;59.254
Total;Austria;Pernoctaciones;2004M02;60.776
Total;Austria;Pernoctaciones;2004M01;53.478
Total;Austria;Pernoctaciones;2003M12;39.940
Total;Austria;Pernoctaciones;2003M11;62.394
Total;Austria;Pernoctaciones;2003M10;80.105
Total;Austria;Pernoctaciones;2003M09;99.588
Total;Austria;Pernoctaciones;2003M08;112.654
Total;Austria;Pernoctaciones;2003M07;124.242
Total;Austria;Pernoctaciones;2003M06;118.595
Total;Austria;Pernoctaciones;2003M05;82.024
Total;Austria;Pernoctaciones;2003M04;150.742
Total;Austria;Pernoctaciones;2003M03;63.310
Total;Austria;Pernoctaciones;2003M02;56.476
Total;Austria;Pernoctaciones;2003M01;48.874
Total;Austria;Pernoctaciones;2002M12;40.928
Total;Austria;Pernoctaciones;2002M11;58.519
Total;Austria;Pernoctaciones;2002M10;71.926
Total;Austria;Pernoctaciones;2002M09;87.389
Total;Austria;Pernoctaciones;2002M08;91.335
Total;Austria;Pernoctaciones;2002M07;103.524
Total;Austria;Pernoctaciones;2002M06;84.273
Total;Austria;Pernoctaciones;2002M05;63.399
Total;Austria;Pernoctaciones;2002M04;74.957
Total;Austria;Pernoctaciones;2002M03;71.374
Total;Austria;Pernoctaciones;2002M02;56.661
Total;Austria;Pernoctaciones;2002M01;44.794
Total;Austria;Pernoctaciones;2001M12;35.750
Total;Austria;Pernoctaciones;2001M11;55.094
Total;Austria;Pernoctaciones;2001M10;81.642
Total;Austria;Pernoctaciones;2001M09;95.701
Total;Austria;Pernoctaciones;2001M08;112.861
Total;Austria;Pernoctaciones;2001M07;103.216
Total;Austria;Pernoctaciones;2001M06;95.579
Total;Austria;Pernoctaciones;2001M05;78.120
Total;Austria;Pernoctaciones;2001M04;83.773
Total;Austria;Pernoctaciones;2001M03;77.761
Total;Austria;Pernoctaciones;2001M02;66.524
Total;Austria;Pernoctaciones;2001M01;51.635
Total;Austria;Pernoctaciones;2000M12;45.350
Total;Austria;Pernoctaciones;2000M11;63.199
Total;Austria;Pernoctaciones;2000M10;90.557
Total;Austria;Pernoctaciones;2000M09;106.535
Total;Austria;Pernoctaciones;2000M08;108.953
Total;Austria;Pernoctaciones;2000M07;99.319
Total;Austria;Pernoctaciones;2000M06;95.433
Total;Austria;Pernoctaciones;2000M05;103.741
Total;Austria;Pernoctaciones;2000M04;145.937
Total;Austria;Pernoctaciones;2000M03;78.046
Total;Austria;Pernoctaciones;2000M02;75.111
Total;Austria;Pernoctaciones;2000M01;55.749
Total;Austria;Pernoctaciones;1999M12;50.830
Total;Austria;Pernoctaciones;1999M11;60.256
Total;Austria;Pernoctaciones;1999M10;109.225
Total;Austria;Pernoctaciones;1999M09;136.055
Total;Austria;Pernoctaciones;1999M08;147.942
Total;Austria;Pernoctaciones;1999M07;161.932
Total;Austria;Pernoctaciones;1999M06;112.807
Total;Austria;Pernoctaciones;1999M05;95.416
Total;Austria;Pernoctaciones;1999M04;92.020
Total;Austria;Pernoctaciones;1999M03;82.786
Total;Austria;Pernoctaciones;1999M02;74.747
Total;Austria;Pernoctaciones;1999M01;68.665
Total;Bélgica;Viajero;2025M04;140.222
Total;Bélgica;Viajero;2025M03;95.955
Total;Bélgica;Viajero;2025M02;75.893
Total;Bélgica;Viajero;2025M01;62.490
Total;Bélgica;Viajero;2024M12;71.807
Total;Bélgica;Viajero;2024M11;80.633
Total;Bélgica;Viajero;2024M10;141.419
Total;Bélgica;Viajero;2024M09;166.823
Total;Bélgica;Viajero;2024M08;187.875
Total;Bélgica;Viajero;2024M07;239.254
Total;Bélgica;Viajero;2024M06;134.058
Total;Bélgica;Viajero;2024M05;153.471
Total;Bélgica;Viajero;2024M04;136.465
Total;Bélgica;Viajero;2024M03;96.694
Total;Bélgica;Viajero;2024M02;75.702
Total;Bélgica;Viajero;2024M01;63.212
Total;Bélgica;Viajero;2023M12;67.538
Total;Bélgica;Viajero;2023M11;78.287
Total;Bélgica;Viajero;2023M10;135.392
Total;Bélgica;Viajero;2023M09;164.049
Total;Bélgica;Viajero;2023M08;173.132
Total;Bélgica;Viajero;2023M07;227.444
Total;Bélgica;Viajero;2023M06;114.500
Total;Bélgica;Viajero;2023M05;150.287
Total;Bélgica;Viajero;2023M04;119.211
Total;Bélgica;Viajero;2023M03;76.888
Total;Bélgica;Viajero;2023M02;66.352
Total;Bélgica;Viajero;2023M01;59.982
Total;Bélgica;Viajero;2022M12;59.495
Total;Bélgica;Viajero;2022M11;69.020
Total;Bélgica;Viajero;2022M10;129.151
Total;Bélgica;Viajero;2022M09;159.125
Total;Bélgica;Viajero;2022M08;164.690
Total;Bélgica;Viajero;2022M07;233.125
Total;Bélgica;Viajero;2022M06;123.255
Total;Bélgica;Viajero;2022M05;128.810
Total;Bélgica;Viajero;2022M04;119.332
Total;Bélgica;Viajero;2022M03;78.803
Total;Bélgica;Viajero;2022M02;64.593
Total;Bélgica;Viajero;2022M01;54.596
Total;Bélgica;Viajero;2021M12;59.926
Total;Bélgica;Viajero;2021M11;80.428
Total;Bélgica;Viajero;2021M10;124.807
Total;Bélgica;Viajero;2021M09;143.391
Total;Bélgica;Viajero;2021M08;129.313
Total;Bélgica;Viajero;2021M07;126.358
Total;Bélgica;Viajero;2021M06;56.606
Total;Bélgica;Viajero;2021M05;33.384
Total;Bélgica;Viajero;2021M04;11.564
Total;Bélgica;Viajero;2021M03;6.220
Total;Bélgica;Viajero;2021M02;4.093
Total;Bélgica;Viajero;2021M01;7.440
Total;Bélgica;Viajero;2020M12;12.764
Total;Bélgica;Viajero;2020M11;9.883
Total;Bélgica;Viajero;2020M10;16.113
Total;Bélgica;Viajero;2020M09;17.195
Total;Bélgica;Viajero;2020M08;51.171
Total;Bélgica;Viajero;2020M07;63.845
Total;Bélgica;Viajero;2020M06;.
Total;Bélgica;Viajero;2020M05;.
Total;Bélgica;Viajero;2020M04;0
Total;Bélgica;Viajero;2020M03;32.002
Total;Bélgica;Viajero;2020M02;70.229
Total;Bélgica;Viajero;2020M01;59.462
Total;Bélgica;Viajero;2019M12;61.859
Total;Bélgica;Viajero;2019M11;69.703
Total;Bélgica;Viajero;2019M10;122.159
Total;Bélgica;Viajero;2019M09;152.631
Total;Bélgica;Viajero;2019M08;161.421
Total;Bélgica;Viajero;2019M07;195.795
Total;Bélgica;Viajero;2019M06;140.343
Total;Bélgica;Viajero;2019M05;135.524
Total;Bélgica;Viajero;2019M04;124.768
Total;Bélgica;Viajero;2019M03;85.292
Total;Bélgica;Viajero;2019M02;61.971
Total;Bélgica;Viajero;2019M01;60.079
Total;Bélgica;Viajero;2018M12;62.834
Total;Bélgica;Viajero;2018M11;69.361
Total;Bélgica;Viajero;2018M10;127.037
Total;Bélgica;Viajero;2018M09;155.337
Total;Bélgica;Viajero;2018M08;162.362
Total;Bélgica;Viajero;2018M07;205.169
Total;Bélgica;Viajero;2018M06;131.462
Total;Bélgica;Viajero;2018M05;134.670
Total;Bélgica;Viajero;2018M04;125.654
Total;Bélgica;Viajero;2018M03;85.634
Total;Bélgica;Viajero;2018M02;71.431
Total;Bélgica;Viajero;2018M01;61.184
Total;Bélgica;Viajero;2017M12;58.854
Total;Bélgica;Viajero;2017M11;70.446
Total;Bélgica;Viajero;2017M10;122.468
Total;Bélgica;Viajero;2017M09;161.441
Total;Bélgica;Viajero;2017M08;164.992
Total;Bélgica;Viajero;2017M07;220.642
Total;Bélgica;Viajero;2017M06;125.801
Total;Bélgica;Viajero;2017M05;135.577
Total;Bélgica;Viajero;2017M04;120.987
Total;Bélgica;Viajero;2017M03;76.956
Total;Bélgica;Viajero;2017M02;63.387
Total;Bélgica;Viajero;2017M01;58.788
Total;Bélgica;Viajero;2016M12;53.359
Total;Bélgica;Viajero;2016M11;73.303
Total;Bélgica;Viajero;2016M10;123.820
Total;Bélgica;Viajero;2016M09;152.221
Total;Bélgica;Viajero;2016M08;167.357
Total;Bélgica;Viajero;2016M07;218.932
Total;Bélgica;Viajero;2016M06;123.775
Total;Bélgica;Viajero;2016M05;129.238
Total;Bélgica;Viajero;2016M04;97.974
Total;Bélgica;Viajero;2016M03;88.859
Total;Bélgica;Viajero;2016M02;63.032
Total;Bélgica;Viajero;2016M01;55.103
Total;Bélgica;Viajero;2015M12;55.327
Total;Bélgica;Viajero;2015M11;73.559
Total;Bélgica;Viajero;2015M10;101.339
Total;Bélgica;Viajero;2015M09;146.969
Total;Bélgica;Viajero;2015M08;156.937
Total;Bélgica;Viajero;2015M07;206.309
Total;Bélgica;Viajero;2015M06;124.630
Total;Bélgica;Viajero;2015M05;122.472
Total;Bélgica;Viajero;2015M04;115.587
Total;Bélgica;Viajero;2015M03;67.791
Total;Bélgica;Viajero;2015M02;54.367
Total;Bélgica;Viajero;2015M01;51.250
Total;Bélgica;Viajero;2014M12;51.348
Total;Bélgica;Viajero;2014M11;61.152
Total;Bélgica;Viajero;2014M10;106.247
Total;Bélgica;Viajero;2014M09;133.786
Total;Bélgica;Viajero;2014M08;155.301
Total;Bélgica;Viajero;2014M07;177.099
Total;Bélgica;Viajero;2014M06;110.736
Total;Bélgica;Viajero;2014M05;110.734
Total;Bélgica;Viajero;2014M04;103.891
Total;Bélgica;Viajero;2014M03;71.370
Total;Bélgica;Viajero;2014M02;48.777
Total;Bélgica;Viajero;2014M01;46.899
Total;Bélgica;Viajero;2013M12;48.223
Total;Bélgica;Viajero;2013M11;59.998
Total;Bélgica;Viajero;2013M10;95.024
Total;Bélgica;Viajero;2013M09;122.634
Total;Bélgica;Viajero;2013M08;142.285
Total;Bélgica;Viajero;2013M07;169.277
Total;Bélgica;Viajero;2013M06;112.229
Total;Bélgica;Viajero;2013M05;113.345
Total;Bélgica;Viajero;2013M04;97.593
Total;Bélgica;Viajero;2013M03;67.001
Total;Bélgica;Viajero;2013M02;52.684
Total;Bélgica;Viajero;2013M01;41.100
Total;Bélgica;Viajero;2012M12;44.353
Total;Bélgica;Viajero;2012M11;52.936
Total;Bélgica;Viajero;2012M10;86.646
Total;Bélgica;Viajero;2012M09;125.122
Total;Bélgica;Viajero;2012M08;132.601
Total;Bélgica;Viajero;2012M07;175.795
Total;Bélgica;Viajero;2012M06;106.868
Total;Bélgica;Viajero;2012M05;102.923
Total;Bélgica;Viajero;2012M04;86.481
Total;Bélgica;Viajero;2012M03;62.284
Total;Bélgica;Viajero;2012M02;54.141
Total;Bélgica;Viajero;2012M01;45.080
Total;Bélgica;Viajero;2011M12;39.203
Total;Bélgica;Viajero;2011M11;55.104
Total;Bélgica;Viajero;2011M10;84.388
Total;Bélgica;Viajero;2011M09;123.196
Total;Bélgica;Viajero;2011M08;120.725
Total;Bélgica;Viajero;2011M07;173.600
Total;Bélgica;Viajero;2011M06;95.878
Total;Bélgica;Viajero;2011M05;96.096
Total;Bélgica;Viajero;2011M04;96.280
Total;Bélgica;Viajero;2011M03;68.047
Total;Bélgica;Viajero;2011M02;47.087
Total;Bélgica;Viajero;2011M01;44.881
Total;Bélgica;Viajero;2010M12;37.005
Total;Bélgica;Viajero;2010M11;52.927
Total;Bélgica;Viajero;2010M10;77.753
Total;Bélgica;Viajero;2010M09;108.538
Total;Bélgica;Viajero;2010M08;112.245
Total;Bélgica;Viajero;2010M07;162.497
Total;Bélgica;Viajero;2010M06;88.994
Total;Bélgica;Viajero;2010M05;90.587
Total;Bélgica;Viajero;2010M04;91.473
Total;Bélgica;Viajero;2010M03;45.116
Total;Bélgica;Viajero;2010M02;45.210
Total;Bélgica;Viajero;2010M01;37.452
Total;Bélgica;Viajero;2009M12;37.445
Total;Bélgica;Viajero;2009M11;50.031
Total;Bélgica;Viajero;2009M10;69.980
Total;Bélgica;Viajero;2009M09;107.687
Total;Bélgica;Viajero;2009M08;122.560
Total;Bélgica;Viajero;2009M07;162.774
Total;Bélgica;Viajero;2009M06;91.711
Total;Bélgica;Viajero;2009M05;95.159
Total;Bélgica;Viajero;2009M04;86.083
Total;Bélgica;Viajero;2009M03;51.607
Total;Bélgica;Viajero;2009M02;39.469
Total;Bélgica;Viajero;2009M01;36.457
Total;Bélgica;Viajero;2008M12;38.668
Total;Bélgica;Viajero;2008M11;45.717
Total;Bélgica;Viajero;2008M10;80.352
Total;Bélgica;Viajero;2008M09;110.077
Total;Bélgica;Viajero;2008M08;125.530
Total;Bélgica;Viajero;2008M07;155.149
Total;Bélgica;Viajero;2008M06;96.924
Total;Bélgica;Viajero;2008M05;96.066
Total;Bélgica;Viajero;2008M04;72.688
Total;Bélgica;Viajero;2008M03;69.344
Total;Bélgica;Viajero;2008M02;51.137
Total;Bélgica;Viajero;2008M01;41.954
Total;Bélgica;Viajero;2007M12;44.605
Total;Bélgica;Viajero;2007M11;49.550
Total;Bélgica;Viajero;2007M10;89.495
Total;Bélgica;Viajero;2007M09;104.461
Total;Bélgica;Viajero;2007M08;117.764
Total;Bélgica;Viajero;2007M07;150.904
Total;Bélgica;Viajero;2007M06;96.908
Total;Bélgica;Viajero;2007M05;96.587
Total;Bélgica;Viajero;2007M04;89.417
Total;Bélgica;Viajero;2007M03;52.517
Total;Bélgica;Viajero;2007M02;42.457
Total;Bélgica;Viajero;2007M01;41.328
Total;Bélgica;Viajero;2006M12;37.393
Total;Bélgica;Viajero;2006M11;45.771
Total;Bélgica;Viajero;2006M10;83.498
Total;Bélgica;Viajero;2006M09;115.797
Total;Bélgica;Viajero;2006M08;125.634
Total;Bélgica;Viajero;2006M07;162.519
Total;Bélgica;Viajero;2006M06;105.493
Total;Bélgica;Viajero;2006M05;100.007
Total;Bélgica;Viajero;2006M04;95.251
Total;Bélgica;Viajero;2006M03;55.465
Total;Bélgica;Viajero;2006M02;43.878
Total;Bélgica;Viajero;2006M01;44.353
Total;Bélgica;Viajero;2005M12;33.573
Total;Bélgica;Viajero;2005M11;45.515
Total;Bélgica;Viajero;2005M10;76.313
Total;Bélgica;Viajero;2005M09;100.170
Total;Bélgica;Viajero;2005M08;95.348
Total;Bélgica;Viajero;2005M07;139.801
Total;Bélgica;Viajero;2005M06;85.510
Total;Bélgica;Viajero;2005M05;87.533
Total;Bélgica;Viajero;2005M04;66.820
Total;Bélgica;Viajero;2005M03;46.776
Total;Bélgica;Viajero;2005M02;38.409
Total;Bélgica;Viajero;2005M01;39.446
Total;Bélgica;Viajero;2004M12;29.645
Total;Bélgica;Viajero;2004M11;42.454
Total;Bélgica;Viajero;2004M10;77.112
Total;Bélgica;Viajero;2004M09;109.066
Total;Bélgica;Viajero;2004M08;115.456
Total;Bélgica;Viajero;2004M07;141.752
Total;Bélgica;Viajero;2004M06;83.762
Total;Bélgica;Viajero;2004M05;91.323
Total;Bélgica;Viajero;2004M04;79.464
Total;Bélgica;Viajero;2004M03;44.383
Total;Bélgica;Viajero;2004M02;40.693
Total;Bélgica;Viajero;2004M01;31.749
Total;Bélgica;Viajero;2003M12;32.522
Total;Bélgica;Viajero;2003M11;36.276
Total;Bélgica;Viajero;2003M10;77.682
Total;Bélgica;Viajero;2003M09;104.972
Total;Bélgica;Viajero;2003M08;121.767
Total;Bélgica;Viajero;2003M07;151.195
Total;Bélgica;Viajero;2003M06;107.522
Total;Bélgica;Viajero;2003M05;91.343
Total;Bélgica;Viajero;2003M04;90.291
Total;Bélgica;Viajero;2003M03;50.507
Total;Bélgica;Viajero;2003M02;35.049
Total;Bélgica;Viajero;2003M01;32.031
Total;Bélgica;Viajero;2002M12;32.103
Total;Bélgica;Viajero;2002M11;39.097
Total;Bélgica;Viajero;2002M10;79.195
Total;Bélgica;Viajero;2002M09;105.907
Total;Bélgica;Viajero;2002M08;113.604
Total;Bélgica;Viajero;2002M07;146.465
Total;Bélgica;Viajero;2002M06;95.872
Total;Bélgica;Viajero;2002M05;92.984
Total;Bélgica;Viajero;2002M04;76.686
Total;Bélgica;Viajero;2002M03;53.553
Total;Bélgica;Viajero;2002M02;40.836
