Establecimientos y personal empleado (plazas);Periodo;Total
Grado de ocupación por plazas;2025M03;-3,75
Grado de ocupación por plazas;2025M02;1,68
Grado de ocupación por plazas;2025M01;1,19
Grado de ocupación por plazas;2024M12;-1,3
Grado de ocupación por plazas;2024M11;2,37
Grado de ocupación por plazas;2024M10;2,44
Grado de ocupación por plazas;2024M09;1,32
Grado de ocupación por plazas;2024M08;1,91
Grado de ocupación por plazas;2024M07;0,96
Grado de ocupación por plazas;2024M06;3,67
Grado de ocupación por plazas;2024M05;7,81
Grado de ocupación por plazas;2024M04;-4,84
Grado de ocupación por plazas;2024M03;6,76
Grado de ocupación por plazas;2024M02;3,09
Grado de ocupación por plazas;2024M01;3,84
Grado de ocupación por plazas;2023M12;5,01
Grado de ocupación por plazas;2023M11;4,92
Grado de ocupación por plazas;2023M10;4,64
Grado de ocupación por plazas;2023M09;3,26
Grado de ocupación por plazas;2023M08;-0,64
Grado de ocupación por plazas;2023M07;0,79
Grado de ocupación por plazas;2023M06;0,99
Grado de ocupación por plazas;2023M05;4,74
Grado de ocupación por plazas;2023M04;6,84
Grado de ocupación por plazas;2023M03;11,03
Grado de ocupación por plazas;2023M02;15,75
Grado de ocupación por plazas;2023M01;36,88
Grado de ocupación por plazas;2022M12;18,04
Grado de ocupación por plazas;2022M11;10,22
Grado de ocupación por plazas;2022M10;9,71
Grado de ocupación por plazas;2022M09;22,72
Grado de ocupación por plazas;2022M08;15,39
Grado de ocupación por plazas;2022M07;32,33
Grado de ocupación por plazas;2022M06;67,09
Grado de ocupación por plazas;2022M05;89,65
Grado de ocupación por plazas;2022M04;163,41
Grado de ocupación por plazas;2022M03;140,06
Grado de ocupación por plazas;2022M02;168,59
Grado de ocupación por plazas;2022M01;129,63
Grado de ocupación por plazas;2021M12;125,48
Grado de ocupación por plazas;2021M11;188,09
Grado de ocupación por plazas;2021M10;152,67
Grado de ocupación por plazas;2021M09;95,73
Grado de ocupación por plazas;2021M08;47,88
Grado de ocupación por plazas;2021M07;46,94
Grado de ocupación por plazas;2021M06;99,47
Grado de ocupación por plazas;2021M05;134,04
Grado de ocupación por plazas;2021M04;..
Grado de ocupación por plazas;2021M03;-33,8
Grado de ocupación por plazas;2021M02;-67,39
Grado de ocupación por plazas;2021M01;-68,47
Grado de ocupación por plazas;2020M12;-62,58
Grado de ocupación por plazas;2020M11;-68,99
Grado de ocupación por plazas;2020M10;-64,24
Grado de ocupación por plazas;2020M09;-60,35
Grado de ocupación por plazas;2020M08;-42,75
Grado de ocupación por plazas;2020M07;-49,89
Grado de ocupación por plazas;2020M06;-71,44
Grado de ocupación por plazas;2020M05;-78,61
Grado de ocupación por plazas;2020M04;-100
Grado de ocupación por plazas;2020M03;-44,66
Grado de ocupación por plazas;2020M02;2,14
Grado de ocupación por plazas;2020M01;2,27
Grado de ocupación por plazas;2019M12;0,65
Grado de ocupación por plazas;2019M11;-1,26
Grado de ocupación por plazas;2019M10;-2,73
Grado de ocupación por plazas;2019M09;-1,21
Grado de ocupación por plazas;2019M08;0,98
Grado de ocupación por plazas;2019M07;0,41
Grado de ocupación por plazas;2019M06;1,57
Grado de ocupación por plazas;2019M05;-1,16
Grado de ocupación por plazas;2019M04;3,86
Grado de ocupación por plazas;2019M03;-1,27
Grado de ocupación por plazas;2019M02;-1,47
Grado de ocupación por plazas;2019M01;-1,54
Grado de ocupación por plazas;2018M12;0,56
Grado de ocupación por plazas;2018M11;1,87
Grado de ocupación por plazas;2018M10;-1,04
Grado de ocupación por plazas;2018M09;-1,66
Grado de ocupación por plazas;2018M08;-1,39
Grado de ocupación por plazas;2018M07;-2,69
Grado de ocupación por plazas;2018M06;-2,42
Grado de ocupación por plazas;2018M05;0,16
Grado de ocupación por plazas;2018M04;-8,26
Grado de ocupación por plazas;2018M03;3,38
Grado de ocupación por plazas;2018M02;0,82
Grado de ocupación por plazas;2018M01;1,15
Grado de ocupación por plazas;2017M12;1,06
Grado de ocupación por plazas;2017M11;1,51
Grado de ocupación por plazas;2017M10;-0,3
Grado de ocupación por plazas;2017M09;0,94
Grado de ocupación por plazas;2017M08;-0,76
Grado de ocupación por plazas;2017M07;0,19
Grado de ocupación por plazas;2017M06;5
Grado de ocupación por plazas;2017M05;1,55
Grado de ocupación por plazas;2017M04;15
Grado de ocupación por plazas;2017M03;-3,87
Grado de ocupación por plazas;2017M02;1,97
Grado de ocupación por plazas;2017M01;4,31
Grado de ocupación por plazas;2016M12;4,37
Grado de ocupación por plazas;2016M11;5,91
Grado de ocupación por plazas;2016M10;6,63
Grado de ocupación por plazas;2016M09;4,68
Grado de ocupación por plazas;2016M08;1,9
Grado de ocupación por plazas;2016M07;5,62
Grado de ocupación por plazas;2016M06;5,16
Grado de ocupación por plazas;2016M05;6,33
Grado de ocupación por plazas;2016M04;0,03
Grado de ocupación por plazas;2016M03;11,73
Grado de ocupación por plazas;2016M02;7,52
Grado de ocupación por plazas;2016M01;7,04
Grado de ocupación por plazas;2015M12;6,97
Grado de ocupación por plazas;2015M11;5,01
Grado de ocupación por plazas;2015M10;5
Grado de ocupación por plazas;2015M09;2,92
Grado de ocupación por plazas;2015M08;3,48
Grado de ocupación por plazas;2015M07;4,83
Grado de ocupación por plazas;2015M06;1,54
Grado de ocupación por plazas;2015M05;4,8
Grado de ocupación por plazas;2015M04;2,63
Grado de ocupación por plazas;2015M03;4
Grado de ocupación por plazas;2015M02;4,83
Grado de ocupación por plazas;2015M01;5,41
Grado de ocupación por plazas;2014M12;3,94
Grado de ocupación por plazas;2014M11;0,65
Grado de ocupación por plazas;2014M10;4,04
Grado de ocupación por plazas;2014M09;3,01
Grado de ocupación por plazas;2014M08;2,53
Grado de ocupación por plazas;2014M07;0,43
Grado de ocupación por plazas;2014M06;1,9
Grado de ocupación por plazas;2014M05;0,5
Grado de ocupación por plazas;2014M04;13,97
Grado de ocupación por plazas;2014M03;-0,71
Grado de ocupación por plazas;2014M02;5,66
Grado de ocupación por plazas;2014M01;7,39
Grado de ocupación por plazas;2013M12;9,43
Grado de ocupación por plazas;2013M11;8,92
Grado de ocupación por plazas;2013M10;3,92
Grado de ocupación por plazas;2013M09;1,52
Grado de ocupación por plazas;2013M08;2,41
Grado de ocupación por plazas;2013M07;0,05
Grado de ocupación por plazas;2013M06;0,79
Grado de ocupación por plazas;2013M05;5,66
Grado de ocupación por plazas;2013M04;-8,48
Grado de ocupación por plazas;2013M03;5,42
Grado de ocupación por plazas;2013M02;-1,59
Grado de ocupación por plazas;2013M01;-4,1
Grado de ocupación por plazas;2012M12;-4,06
Grado de ocupación por plazas;2012M11;-3,74
Grado de ocupación por plazas;2012M10;-3,24
Grado de ocupación por plazas;2012M09;-1,33
Grado de ocupación por plazas;2012M08;-3,28
Grado de ocupación por plazas;2012M07;-2,72
Grado de ocupación por plazas;2012M06;-2,04
Grado de ocupación por plazas;2012M05;-0,63
Grado de ocupación por plazas;2012M04;-6,13
Grado de ocupación por plazas;2012M03;-4,35
Grado de ocupación por plazas;2012M02;-3,73
Grado de ocupación por plazas;2012M01;3,01
Grado de ocupación por plazas;2011M12;2,09
Grado de ocupación por plazas;2011M11;1
Grado de ocupación por plazas;2011M10;2,06
Grado de ocupación por plazas;2011M09;5,56
Grado de ocupación por plazas;2011M08;3,73
Grado de ocupación por plazas;2011M07;5,6
Grado de ocupación por plazas;2011M06;8,35
Grado de ocupación por plazas;2011M05;0,79
Grado de ocupación por plazas;2011M04;10,46
Grado de ocupación por plazas;2011M03;4,51
Grado de ocupación por plazas;2011M02;4,95
Grado de ocupación por plazas;2011M01;4,23
Grado de ocupación por plazas;2010M12;2,54
Grado de ocupación por plazas;2010M11;4,1
Grado de ocupación por plazas;2010M10;6,46
Grado de ocupación por plazas;2010M09;5,11
Grado de ocupación por plazas;2010M08;3,69
Grado de ocupación por plazas;2010M07;3,53
Grado de ocupación por plazas;2010M06;2,68
Grado de ocupación por plazas;2010M05;2,76
Grado de ocupación por plazas;2010M04;-0,52
Grado de ocupación por plazas;2010M03;4,73
Grado de ocupación por plazas;2010M02;1,87
Grado de ocupación por plazas;2010M01;-1,55
Grado de ocupación por plazas;2009M12;-0,74
Grado de ocupación por plazas;2009M11;-4,15
Grado de ocupación por plazas;2009M10;-3,95
Grado de ocupación por plazas;2009M09;-8,09
Grado de ocupación por plazas;2009M08;-6,04
Grado de ocupación por plazas;2009M07;-6,97
Grado de ocupación por plazas;2009M06;-7,79
Grado de ocupación por plazas;2009M05;-11,08
Grado de ocupación por plazas;2009M04;-2,77
Grado de ocupación por plazas;2009M03;-17,38
Grado de ocupación por plazas;2009M02;-14,18
Grado de ocupación por plazas;2009M01;-13,47
Grado de ocupación por plazas;2008M12;-12,62
Grado de ocupación por plazas;2008M11;-13,28
Grado de ocupación por plazas;2008M10;-7,57
Grado de ocupación por plazas;2008M09;-5,8
Grado de ocupación por plazas;2008M08;-3,15
Grado de ocupación por plazas;2008M07;-2,7
Grado de ocupación por plazas;2008M06;-5,79
Grado de ocupación por plazas;2008M05;3,77
Grado de ocupación por plazas;2008M04;-11,41
Grado de ocupación por plazas;2008M03;1,05
Grado de ocupación por plazas;2008M02;1,77
Grado de ocupación por plazas;2008M01;-0,15
Grado de ocupación por plazas;2007M12;-1,41
Grado de ocupación por plazas;2007M11;3,92
Grado de ocupación por plazas;2007M10;-1,71
Grado de ocupación por plazas;2007M09;-0,76
Grado de ocupación por plazas;2007M08;-0,23
Grado de ocupación por plazas;2007M07;-0,38
Grado de ocupación por plazas;2007M06;0,31
Grado de ocupación por plazas;2007M05;-3,74
Grado de ocupación por plazas;2007M04;-1,05
Grado de ocupación por plazas;2007M03;2,71
Grado de ocupación por plazas;2007M02;-1,11
Grado de ocupación por plazas;2007M01;-1,45
Grado de ocupación por plazas;2006M12;2,44
Grado de ocupación por plazas;2006M11;0,54
Grado de ocupación por plazas;2006M10;1,72
Grado de ocupación por plazas;2006M09;-0,14
Grado de ocupación por plazas;2006M08;1,18
Grado de ocupación por plazas;2006M07;4,56
Grado de ocupación por plazas;2006M06;6,19
Grado de ocupación por plazas;2006M05;3,02
Grado de ocupación por plazas;2006M04;16,33
Grado de ocupación por plazas;2006M03;-2,34
Grado de ocupación por plazas;2006M02;-0,59
Grado de ocupación por plazas;2006M01;1,68
Grado de ocupación por plazas;2005M12;-1,61
Grado de ocupación por plazas;2005M11;4,12
Grado de ocupación por plazas;2005M10;1,13
Grado de ocupación por plazas;2005M09;2,29
Grado de ocupación por plazas;2005M08;0,94
Grado de ocupación por plazas;2005M07;2,82
Grado de ocupación por plazas;2005M06;2
Grado de ocupación por plazas;2005M05;4,86
Grado de ocupación por plazas;2005M04;-6,04
Grado de ocupación por plazas;2005M03;4,19
Grado de ocupación por plazas;2005M02;0,44
Grado de ocupación por plazas;2005M01;1,33
Grado de ocupación por plazas;2004M12;2,46
Grado de ocupación por plazas;2004M11;-0,87
Grado de ocupación por plazas;2004M10;1
Grado de ocupación por plazas;2004M09;-0,1
Grado de ocupación por plazas;2004M08;-1,56
Grado de ocupación por plazas;2004M07;-1,29
Grado de ocupación por plazas;2004M06;-4,24
Grado de ocupación por plazas;2004M05;-5,05
Grado de ocupación por plazas;2004M04;-5,57
Grado de ocupación por plazas;2004M03;-2,71
Grado de ocupación por plazas;2004M02;1,51
Grado de ocupación por plazas;2004M01;-0,97
Grado de ocupación por plazas;2003M12;-2,14
Grado de ocupación por plazas;2003M11;-3,01
Grado de ocupación por plazas;2003M10;-1,71
Grado de ocupación por plazas;2003M09;-2,59
Grado de ocupación por plazas;2003M08;-0,19
Grado de ocupación por plazas;2003M07;-1,69
Grado de ocupación por plazas;2003M06;0,61
Grado de ocupación por plazas;2003M05;-1,74
Grado de ocupación por plazas;2003M04;6,46
Grado de ocupación por plazas;2003M03;-9,72
Grado de ocupación por plazas;2003M02;-5,36
Grado de ocupación por plazas;2003M01;1,15
Grado de ocupación por plazas;2002M12;-0,67
Grado de ocupación por plazas;2002M11;-5,63
Grado de ocupación por plazas;2002M10;-3,83
Grado de ocupación por plazas;2002M09;-6,26
Grado de ocupación por plazas;2002M08;-2,37
Grado de ocupación por plazas;2002M07;-5,6
Grado de ocupación por plazas;2002M06;-6,92
Grado de ocupación por plazas;2002M05;-4,83
Grado de ocupación por plazas;2002M04;-12,33
Grado de ocupación por plazas;2002M03;2,94
Grado de ocupación por plazas;2002M02;-4,19
Grado de ocupación por plazas;2002M01;-5,46
Grado de ocupación por plazas;2001M12;-5,21
Grado de ocupación por plazas;2001M11;-2,38
Grado de ocupación por plazas;2001M10;-5,27
Grado de ocupación por plazas;2001M09;-0,94
Grado de ocupación por plazas;2001M08;0,64
Grado de ocupación por plazas;2001M07;0,43
Grado de ocupación por plazas;2001M06;-1,18
Grado de ocupación por plazas;2001M05;-1,47
Grado de ocupación por plazas;2001M04;-2,55
Grado de ocupación por plazas;2001M03;-2,87
Grado de ocupación por plazas;2001M02;2,92
Grado de ocupación por plazas;2001M01;0,97
Grado de ocupación por plazas;2000M12;1,3
Grado de ocupación por plazas;2000M11;-2,8
Grado de ocupación por plazas;2000M10;-4,7
Grado de ocupación por plazas;2000M09;-3,3
Grado de ocupación por plazas;2000M08;-2,9
Grado de ocupación por plazas;2000M07;-2,4
Grado de ocupación por plazas;2000M06;-3,1
Grado de ocupación por plazas;2000M05;-6,6
Grado de ocupación por plazas;2000M04;-0,6
Grado de ocupación por plazas;2000M03;-0,7
Grado de ocupación por plazas;2000M02;-5
Grado de ocupación por plazas;2000M01;-8,6
Grado de ocupación por plazas;1999M12;..
Grado de ocupación por plazas;1999M11;..
Grado de ocupación por plazas;1999M10;..
Grado de ocupación por plazas;1999M09;..
Grado de ocupación por plazas;1999M08;..
Grado de ocupación por plazas;1999M07;..
Grado de ocupación por plazas;1999M06;..
Grado de ocupación por plazas;1999M05;..
Grado de ocupación por plazas;1999M04;..
Grado de ocupación por plazas;1999M03;..
Grado de ocupación por plazas;1999M02;..
Grado de ocupación por plazas;1999M01;..
Grado de ocupación por plazas en fin de semana;2025M04;3,93
Grado de ocupación por plazas en fin de semana;2025M03;-2,12
Grado de ocupación por plazas en fin de semana;2025M02;4,32
Grado de ocupación por plazas en fin de semana;2025M01;3,22
Grado de ocupación por plazas en fin de semana;2024M12;3,33
Grado de ocupación por plazas en fin de semana;2024M11;-0,11
Grado de ocupación por plazas en fin de semana;2024M10;2,47
Grado de ocupación por plazas en fin de semana;2024M09;2,41
Grado de ocupación por plazas en fin de semana;2024M08;-0,65
Grado de ocupación por plazas en fin de semana;2024M07;2,08
Grado de ocupación por plazas en fin de semana;2024M06;2,99
Grado de ocupación por plazas en fin de semana;2024M05;5,69
Grado de ocupación por plazas en fin de semana;2024M04;-4,27
Grado de ocupación por plazas en fin de semana;2024M03;3,06
Grado de ocupación por plazas en fin de semana;2024M02;0,46
Grado de ocupación por plazas en fin de semana;2024M01;1,45
Grado de ocupación por plazas en fin de semana;2023M12;7,55
Grado de ocupación por plazas en fin de semana;2023M11;3,42
Grado de ocupación por plazas en fin de semana;2023M10;4,76
Grado de ocupación por plazas en fin de semana;2023M09;0,92
Grado de ocupación por plazas en fin de semana;2023M08;-1
Grado de ocupación por plazas en fin de semana;2023M07;0,98
Grado de ocupación por plazas en fin de semana;2023M06;-1,83
Grado de ocupación por plazas en fin de semana;2023M05;0,56
Grado de ocupación por plazas en fin de semana;2023M04;7,56
Grado de ocupación por plazas en fin de semana;2023M03;7,15
Grado de ocupación por plazas en fin de semana;2023M02;8,89
Grado de ocupación por plazas en fin de semana;2023M01;29,81
Grado de ocupación por plazas en fin de semana;2022M12;17,52
Grado de ocupación por plazas en fin de semana;2022M11;7,55
Grado de ocupación por plazas en fin de semana;2022M10;8,16
Grado de ocupación por plazas en fin de semana;2022M09;14,27
Grado de ocupación por plazas en fin de semana;2022M08;13,6
Grado de ocupación por plazas en fin de semana;2022M07;27,83
Grado de ocupación por plazas en fin de semana;2022M06;45,43
Grado de ocupación por plazas en fin de semana;2022M05;66,06
Grado de ocupación por plazas en fin de semana;2022M04;140,02
Grado de ocupación por plazas en fin de semana;2022M03;139,64
Grado de ocupación por plazas en fin de semana;2022M02;200,08
Grado de ocupación por plazas en fin de semana;2022M01;147,47
Grado de ocupación por plazas en fin de semana;2021M12;134,78
Grado de ocupación por plazas en fin de semana;2021M11;246,69
Grado de ocupación por plazas en fin de semana;2021M10;132,5
Grado de ocupación por plazas en fin de semana;2021M09;77
Grado de ocupación por plazas en fin de semana;2021M08;46,57
Grado de ocupación por plazas en fin de semana;2021M07;41
Grado de ocupación por plazas en fin de semana;2021M06;132,96
Grado de ocupación por plazas en fin de semana;2021M05;384,81
Grado de ocupación por plazas en fin de semana;2021M04;..
Grado de ocupación por plazas en fin de semana;2021M03;-29,41
Grado de ocupación por plazas en fin de semana;2021M02;-69,51
Grado de ocupación por plazas en fin de semana;2021M01;-69,21
Grado de ocupación por plazas en fin de semana;2020M12;-66,85
Grado de ocupación por plazas en fin de semana;2020M11;-72,88
Grado de ocupación por plazas en fin de semana;2020M10;-61,84
Grado de ocupación por plazas en fin de semana;2020M09;-52,4
Grado de ocupación por plazas en fin de semana;2020M08;-39,67
Grado de ocupación por plazas en fin de semana;2020M07;-46,72
Grado de ocupación por plazas en fin de semana;2020M06;-71,36
Grado de ocupación por plazas en fin de semana;2020M05;-87,59
Grado de ocupación por plazas en fin de semana;2020M04;-100
Grado de ocupación por plazas en fin de semana;2020M03;-46,58
Grado de ocupación por plazas en fin de semana;2020M02;5,3
Grado de ocupación por plazas en fin de semana;2020M01;4,09
Grado de ocupación por plazas en fin de semana;2019M12;3,13
Grado de ocupación por plazas en fin de semana;2019M11;-2,62
Grado de ocupación por plazas en fin de semana;2019M10;-2,99
Grado de ocupación por plazas en fin de semana;2019M09;-0,48
Grado de ocupación por plazas en fin de semana;2019M08;-0,25
Grado de ocupación por plazas en fin de semana;2019M07;0,46
Grado de ocupación por plazas en fin de semana;2019M06;2,82
Grado de ocupación por plazas en fin de semana;2019M05;-0,94
Grado de ocupación por plazas en fin de semana;2019M04;5,45
Grado de ocupación por plazas en fin de semana;2019M03;1,18
Grado de ocupación por plazas en fin de semana;2019M02;-1,56
Grado de ocupación por plazas en fin de semana;2019M01;-0,08
Grado de ocupación por plazas en fin de semana;2018M12;3,59
Grado de ocupación por plazas en fin de semana;2018M11;1,82
Grado de ocupación por plazas en fin de semana;2018M10;1,82
Grado de ocupación por plazas en fin de semana;2018M09;-0,22
Grado de ocupación por plazas en fin de semana;2018M08;-2,44
Grado de ocupación por plazas en fin de semana;2018M07;-1,12
Grado de ocupación por plazas en fin de semana;2018M06;-1,79
Grado de ocupación por plazas en fin de semana;2018M05;-1,85
Grado de ocupación por plazas en fin de semana;2018M04;-9,37
Grado de ocupación por plazas en fin de semana;2018M03;2,01
Grado de ocupación por plazas en fin de semana;2018M02;0,34
Grado de ocupación por plazas en fin de semana;2018M01;0,9
Grado de ocupación por plazas en fin de semana;2017M12;4,29
Grado de ocupación por plazas en fin de semana;2017M11;2,19
Grado de ocupación por plazas en fin de semana;2017M10;2,52
Grado de ocupación por plazas en fin de semana;2017M09;-0,94
Grado de ocupación por plazas en fin de semana;2017M08;-0,63
Grado de ocupación por plazas en fin de semana;2017M07;1,34
Grado de ocupación por plazas en fin de semana;2017M06;3,62
Grado de ocupación por plazas en fin de semana;2017M05;2,19
Grado de ocupación por plazas en fin de semana;2017M04;15,71
Grado de ocupación por plazas en fin de semana;2017M03;-3,35
Grado de ocupación por plazas en fin de semana;2017M02;-0,14
Grado de ocupación por plazas en fin de semana;2017M01;-0,77
Grado de ocupación por plazas en fin de semana;2016M12;6,35
Grado de ocupación por plazas en fin de semana;2016M11;5,55
Grado de ocupación por plazas en fin de semana;2016M10;6,2
Grado de ocupación por plazas en fin de semana;2016M09;2,8
Grado de ocupación por plazas en fin de semana;2016M08;4,06
Grado de ocupación por plazas en fin de semana;2016M07;5,08
Grado de ocupación por plazas en fin de semana;2016M06;2,97
Grado de ocupación por plazas en fin de semana;2016M05;2,67
Grado de ocupación por plazas en fin de semana;2016M04;-2,92
Grado de ocupación por plazas en fin de semana;2016M03;11,27
Grado de ocupación por plazas en fin de semana;2016M02;6,28
Grado de ocupación por plazas en fin de semana;2016M01;8,37
Grado de ocupación por plazas en fin de semana;2015M12;1,29
Grado de ocupación por plazas en fin de semana;2015M11;8,94
Grado de ocupación por plazas en fin de semana;2015M10;1,34
Grado de ocupación por plazas en fin de semana;2015M09;2,76
Grado de ocupación por plazas en fin de semana;2015M08;4,24
Grado de ocupación por plazas en fin de semana;2015M07;2,81
Grado de ocupación por plazas en fin de semana;2015M06;2,65
Grado de ocupación por plazas en fin de semana;2015M05;6,12
Grado de ocupación por plazas en fin de semana;2015M04;3,81
Grado de ocupación por plazas en fin de semana;2015M03;5,8
Grado de ocupación por plazas en fin de semana;2015M02;6,99
Grado de ocupación por plazas en fin de semana;2015M01;9,13
Grado de ocupación por plazas en fin de semana;2014M12;-1,16
Grado de ocupación por plazas en fin de semana;2014M11;-1,54
Grado de ocupación por plazas en fin de semana;2014M10;2,96
Grado de ocupación por plazas en fin de semana;2014M09;4,52
Grado de ocupación por plazas en fin de semana;2014M08;1,79
Grado de ocupación por plazas en fin de semana;2014M07;-0,34
Grado de ocupación por plazas en fin de semana;2014M06;2,26
Grado de ocupación por plazas en fin de semana;2014M05;2,79
Grado de ocupación por plazas en fin de semana;2014M04;15,52
Grado de ocupación por plazas en fin de semana;2014M03;-2,54
Grado de ocupación por plazas en fin de semana;2014M02;10,14
Grado de ocupación por plazas en fin de semana;2014M01;10,12
Grado de ocupación por plazas en fin de semana;2013M12;13,48
Grado de ocupación por plazas en fin de semana;2013M11;8,49
Grado de ocupación por plazas en fin de semana;2013M10;2,56
Grado de ocupación por plazas en fin de semana;2013M09;3,01
Grado de ocupación por plazas en fin de semana;2013M08;0,34
Grado de ocupación por plazas en fin de semana;2013M07;0,27
Grado de ocupación por plazas en fin de semana;2013M06;2,17
Grado de ocupación por plazas en fin de semana;2013M05;4,37
Grado de ocupación por plazas en fin de semana;2013M04;-10,21
Grado de ocupación por plazas en fin de semana;2013M03;8,25
Grado de ocupación por plazas en fin de semana;2013M02;-4,23
Grado de ocupación por plazas en fin de semana;2013M01;-5,71
Grado de ocupación por plazas en fin de semana;2012M12;0,79
Grado de ocupación por plazas en fin de semana;2012M11;-2,38
Grado de ocupación por plazas en fin de semana;2012M10;1,95
Grado de ocupación por plazas en fin de semana;2012M09;-3,57
Grado de ocupación por plazas en fin de semana;2012M08;-3,72
Grado de ocupación por plazas en fin de semana;2012M07;0,57
Grado de ocupación por plazas en fin de semana;2012M06;-4,33
Grado de ocupación por plazas en fin de semana;2012M05;0,41
Grado de ocupación por plazas en fin de semana;2012M04;-2,59
Grado de ocupación por plazas en fin de semana;2012M03;-7,92
Grado de ocupación por plazas en fin de semana;2012M02;-6,5
Grado de ocupación por plazas en fin de semana;2012M01;2,2
Grado de ocupación por plazas en fin de semana;2011M12;5,4
Grado de ocupación por plazas en fin de semana;2011M11;-0,08
Grado de ocupación por plazas en fin de semana;2011M10;3,42
Grado de ocupación por plazas en fin de semana;2011M09;3,09
Grado de ocupación por plazas en fin de semana;2011M08;2,67
Grado de ocupación por plazas en fin de semana;2011M07;5,37
Grado de ocupación por plazas en fin de semana;2011M06;6,7
Grado de ocupación por plazas en fin de semana;2011M05;-1,39
Grado de ocupación por plazas en fin de semana;2011M04;3,91
Grado de ocupación por plazas en fin de semana;2011M03;5,07
Grado de ocupación por plazas en fin de semana;2011M02;4,67
Grado de ocupación por plazas en fin de semana;2011M01;-0,43
Grado de ocupación por plazas en fin de semana;2010M12;1,08
Grado de ocupación por plazas en fin de semana;2010M11;4,52
Grado de ocupación por plazas en fin de semana;2010M10;2,56
Grado de ocupación por plazas en fin de semana;2010M09;4,84
Grado de ocupación por plazas en fin de semana;2010M08;4,7
Grado de ocupación por plazas en fin de semana;2010M07;1,05
Grado de ocupación por plazas en fin de semana;2010M06;3,17
Grado de ocupación por plazas en fin de semana;2010M05;0,51
Grado de ocupación por plazas en fin de semana;2010M04;3,8
Grado de ocupación por plazas en fin de semana;2010M03;3,58
Grado de ocupación por plazas en fin de semana;2010M02;3,93
Grado de ocupación por plazas en fin de semana;2010M01;4,14
Grado de ocupación por plazas en fin de semana;2009M12;-5,09
Grado de ocupación por plazas en fin de semana;2009M11;-0,54
Grado de ocupación por plazas en fin de semana;2009M10;-3,76
Grado de ocupación por plazas en fin de semana;2009M09;-5,06
Grado de ocupación por plazas en fin de semana;2009M08;-2,56
Grado de ocupación por plazas en fin de semana;2009M07;-6,72
Grado de ocupación por plazas en fin de semana;2009M06;-6,33
Grado de ocupación por plazas en fin de semana;2009M05;-7,63
Grado de ocupación por plazas en fin de semana;2009M04;-0,66
Grado de ocupación por plazas en fin de semana;2009M03;-13,47
Grado de ocupación por plazas en fin de semana;2009M02;-9,62
Grado de ocupación por plazas en fin de semana;2009M01;-11,02
Grado de ocupación por plazas en fin de semana;2008M12;-14,73
Grado de ocupación por plazas en fin de semana;2008M11;-18,22
Grado de ocupación por plazas en fin de semana;2008M10;-10,99
Grado de ocupación por plazas en fin de semana;2008M09;-3,98
Grado de ocupación por plazas en fin de semana;2008M08;-6,71
Grado de ocupación por plazas en fin de semana;2008M07;-2,93
Grado de ocupación por plazas en fin de semana;2008M06;-3,2
Grado de ocupación por plazas en fin de semana;2008M05;4,88
Grado de ocupación por plazas en fin de semana;2008M04;-15,18
Grado de ocupación por plazas en fin de semana;2008M03;2,52
Grado de ocupación por plazas en fin de semana;2008M02;0,19
Grado de ocupación por plazas en fin de semana;2008M01;0,58
Grado de ocupación por plazas en fin de semana;2007M12;0,58
Grado de ocupación por plazas en fin de semana;2007M11;5,62
Grado de ocupación por plazas en fin de semana;2007M10;0,91
Grado de ocupación por plazas en fin de semana;2007M09;0,2
Grado de ocupación por plazas en fin de semana;2007M08;-1,6
Grado de ocupación por plazas en fin de semana;2007M07;0,12
Grado de ocupación por plazas en fin de semana;2007M06;0,02
Grado de ocupación por plazas en fin de semana;2007M05;-3,68
Grado de ocupación por plazas en fin de semana;2007M04;-1,64
Grado de ocupación por plazas en fin de semana;2007M03;0,6
Grado de ocupación por plazas en fin de semana;2007M02;-1,05
Grado de ocupación por plazas en fin de semana;2007M01;-3,79
Grado de ocupación por plazas en fin de semana;2006M12;8,59
Grado de ocupación por plazas en fin de semana;2006M11;1,41
Grado de ocupación por plazas en fin de semana;2006M10;5,79
Grado de ocupación por plazas en fin de semana;2006M09;-0,9
Grado de ocupación por plazas en fin de semana;2006M08;0,79
Grado de ocupación por plazas en fin de semana;2006M07;5,53
Grado de ocupación por plazas en fin de semana;2006M06;3,99
Grado de ocupación por plazas en fin de semana;2006M05;1,07
Grado de ocupación por plazas en fin de semana;2006M04;18,96
Grado de ocupación por plazas en fin de semana;2006M03;-5,63
Grado de ocupación por plazas en fin de semana;2006M02;-0,94
Grado de ocupación por plazas en fin de semana;2006M01;1,36
Grado de ocupación por plazas en fin de semana;2005M12;3,21
Grado de ocupación por plazas en fin de semana;2005M11;5,35
Grado de ocupación por plazas en fin de semana;2005M10;1,73
Grado de ocupación por plazas en fin de semana;2005M09;0,29
Grado de ocupación por plazas en fin de semana;2005M08;1,33
Grado de ocupación por plazas en fin de semana;2005M07;2,77
Grado de ocupación por plazas en fin de semana;2005M06;1,71
Grado de ocupación por plazas en fin de semana;2005M05;4,21
Grado de ocupación por plazas en fin de semana;2005M04;-4,11
Grado de ocupación por plazas en fin de semana;2005M03;5,65
Grado de ocupación por plazas en fin de semana;2005M02;-0,84
Grado de ocupación por plazas en fin de semana;2005M01;-1,66
Grado de ocupación por plazas en fin de semana;2004M12;-4,92
