Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Periodo;Total
Viajero;Total;Residentes en España;2022M10;0,7
Viajero;Total;Residentes en España;2022M09;0,63
Viajero;Total;Residentes en España;2022M08;0,55
Viajero;Total;Residentes en España;2022M07;0,58
Viajero;Total;Residentes en España;2022M06;0,68
Viajero;Total;Residentes en España;2022M05;0,68
Viajero;Total;Residentes en España;2022M04;0,59
Viajero;Total;Residentes en España;2022M03;0,67
Viajero;Total;Residentes en España;2022M02;0,69
Viajero;Total;Residentes en España;2022M01;0,91
Viajero;Total;Residentes en España;2021M12;0,65
Viajero;Total;Residentes en España;2021M11;0,56
Viajero;Total;Residentes en España;2021M10;0,57
Viajero;Total;Residentes en España;2021M09;0,54
Viajero;Total;Residentes en España;2021M08;0,5
Viajero;Total;Residentes en España;2021M07;0,51
Viajero;Total;Residentes en España;2021M06;0,55
Viajero;Total;Residentes en España;2021M05;0,6
Viajero;Total;Residentes en España;2021M04;0,8
Viajero;Total;Residentes en España;2021M03;0,84
Viajero;Total;Residentes en España;2021M02;1,07
Viajero;Total;Residentes en España;2021M01;1,23
Viajero;Total;Residentes en España;2020M12;1,14
Viajero;Total;Residentes en España;2020M11;1,14
Viajero;Total;Residentes en España;2020M10;0,77
Viajero;Total;Residentes en España;2020M09;0,65
Viajero;Total;Residentes en España;2020M08;0,62
Viajero;Total;Residentes en España;2020M07;0,67
Viajero;Total;Residentes en España;2020M06;1,23
Viajero;Total;Residentes en España;2020M05;3,9
Viajero;Total;Residentes en España;2020M04;..
Viajero;Total;Residentes en España;2020M03;1,88
Viajero;Total;Residentes en España;2020M02;0,65
Viajero;Total;Residentes en España;2020M01;0,82
Viajero;Total;Residentes en España;2019M12;0,79
Viajero;Total;Residentes en España;2019M11;0,56
Viajero;Total;Residentes en España;2019M10;0,6
Viajero;Total;Residentes en España;2019M09;0,53
Viajero;Total;Residentes en España;2019M08;0,51
Viajero;Total;Residentes en España;2019M07;0,56
Viajero;Total;Residentes en España;2019M06;0,62
Viajero;Total;Residentes en España;2019M05;0,6
Viajero;Total;Residentes en España;2019M04;0,68
Viajero;Total;Residentes en España;2019M03;0,62
Viajero;Total;Residentes en España;2019M02;0,63
Viajero;Total;Residentes en España;2019M01;0,75
Viajero;Total;Residentes en España;2018M12;0,75
Viajero;Total;Residentes en España;2018M11;0,66
Viajero;Total;Residentes en España;2018M10;0,56
Viajero;Total;Residentes en España;2018M09;0,59
Viajero;Total;Residentes en España;2018M08;0,51
Viajero;Total;Residentes en España;2018M07;0,57
Viajero;Total;Residentes en España;2018M06;0,61
Viajero;Total;Residentes en España;2018M05;0,65
Viajero;Total;Residentes en España;2018M04;0,6
Viajero;Total;Residentes en España;2018M03;0,56
Viajero;Total;Residentes en España;2018M02;0,6
Viajero;Total;Residentes en España;2018M01;0,69
Viajero;Total;Residentes en España;2017M12;0,71
Viajero;Total;Residentes en España;2017M11;0,67
Viajero;Total;Residentes en España;2017M10;0,62
Viajero;Total;Residentes en España;2017M09;0,61
Viajero;Total;Residentes en España;2017M08;0,53
Viajero;Total;Residentes en España;2017M07;0,62
Viajero;Total;Residentes en España;2017M06;0,67
Viajero;Total;Residentes en España;2017M05;0,65
Viajero;Total;Residentes en España;2017M04;0,61
Viajero;Total;Residentes en España;2017M03;0,55
Viajero;Total;Residentes en España;2017M02;0,55
Viajero;Total;Residentes en España;2017M01;0,67
Viajero;Total;Residentes en España;2016M12;0,63
Viajero;Total;Residentes en España;2016M11;0,51
Viajero;Total;Residentes en España;2016M10;0,55
Viajero;Total;Residentes en España;2016M09;0,54
Viajero;Total;Residentes en España;2016M08;0,48
Viajero;Total;Residentes en España;2016M07;0,52
Viajero;Total;Residentes en España;2016M06;0,59
Viajero;Total;Residentes en España;2016M05;0,57
Viajero;Total;Residentes en España;2016M04;0,57
Viajero;Total;Residentes en España;2016M03;0,49
Viajero;Total;Residentes en España;2016M02;0,52
Viajero;Total;Residentes en España;2016M01;0,59
Viajero;Total;Residentes en España;2015M12;0,58
Viajero;Total;Residentes en España;2015M11;0,58
Viajero;Total;Residentes en España;2015M10;0,53
Viajero;Total;Residentes en España;2015M09;0,51
Viajero;Total;Residentes en España;2015M08;0,48
Viajero;Total;Residentes en España;2015M07;0,54
Viajero;Total;Residentes en España;2015M06;0,57
Viajero;Total;Residentes en España;2015M05;0,56
Viajero;Total;Residentes en España;2015M04;0,54
Viajero;Total;Residentes en España;2015M03;0,51
Viajero;Total;Residentes en España;2015M02;0,54
Viajero;Total;Residentes en España;2015M01;0,66
Viajero;Total;Residentes en España;2014M12;0,58
Viajero;Total;Residentes en España;2014M11;0,55
Viajero;Total;Residentes en España;2014M10;0,53
Viajero;Total;Residentes en España;2014M09;0,53
Viajero;Total;Residentes en España;2014M08;0,52
Viajero;Total;Residentes en España;2014M07;0,53
Viajero;Total;Residentes en España;2014M06;0,53
Viajero;Total;Residentes en España;2014M05;0,52
Viajero;Total;Residentes en España;2014M04;0,54
Viajero;Total;Residentes en España;2014M03;0,55
Viajero;Total;Residentes en España;2014M02;0,53
Viajero;Total;Residentes en España;2014M01;0,64
Viajero;Total;Residentes en el Extranjero;2025M04;""
Viajero;Total;Residentes en el Extranjero;2025M03;""
Viajero;Total;Residentes en el Extranjero;2025M02;""
Viajero;Total;Residentes en el Extranjero;2025M01;""
Viajero;Total;Residentes en el Extranjero;2024M12;0,73
Viajero;Total;Residentes en el Extranjero;2024M11;0,78
Viajero;Total;Residentes en el Extranjero;2024M10;0,71
